recommender,shrink,topk,similarity,normalization,MAP
ItemKNNCFRecommender,1288.1614027439796,5321,cosine,bm25plus,0.0008768446401509403
ItemKNNCFRecommender,856.12200544559,5446,cosine,bm25plus,0.0008711537986932889
ItemKNNCFRecommender,1222.489136137663,4025,rp3beta,tfidf,0.003427244800562663
ItemKNNCFRecommender,565.066726491292,3572,cosine,tfidf,0.0007397537614009549
ItemKNNCFRecommender,1699.33011842923,1415,jaccard,tfidf,0.0007770276098317826
ItemKNNCFRecommender,945.8876468888998,4595,dice,bm25,0.0005453127240950336
ItemKNNCFRecommender,1528.3011697375266,3803,rp3beta,tfidf,0.003403438405778163
ItemKNNCFRecommender,639.5112990569377,2334,asym,bm25,0.0004645416278451391
ItemKNNCFRecommender,1658.6780618404648,3015,rp3beta,bm25,0.003368021518951627
ItemKNNCFRecommender,1529.9310259991655,5961,jaccard,bm25plus,0.0009101804252207611
ItemKNNCFRecommender,1219.7686807606174,1289,rp3beta,tfidf,0.0034272447802134354
ItemKNNCFRecommender,1209.286346087445,668,rp3beta,tfidf,0.0034260429980160806
ItemKNNCFRecommender,1206.2689162952815,2176,rp3beta,tfidf,0.0034309717511959207
ItemKNNCFRecommender,1982.5234067332958,2498,rp3beta,tfidf,0.0033876664938316775
ItemKNNCFRecommender,1003.9190150504919,4086,dice,tfidf,0.0007867645329596103
ItemKNNCFRecommender,1358.1134123272052,2196,asym,tfidf,0.0007419634530380521
ItemKNNCFRecommender,1119.228786800476,3078,rp3beta,tfidf,0.0034321903842777345
ItemKNNCFRecommender,776.263776409691,2982,rp3beta,tfidf,0.0034706964350254793
ItemKNNCFRecommender,746.1538265946938,3037,rp3beta,bm25plus,0.0034697976601182462
ItemKNNCFRecommender,748.2030575964643,4438,jaccard,bm25plus,0.0008727011312568087
ItemKNNCFRecommender,502.82693737987427,3089,dice,bm25plus,0.0008380968877463255
ItemKNNCFRecommender,1027.8844886359554,2833,rp3beta,bm25plus,0.003444660180343097
ItemKNNCFRecommender,757.3328400026443,2701,rp3beta,bm25plus,0.003467702391511504
ItemKNNCFRecommender,765.230241103377,1561,rp3beta,bm25plus,0.00346357515483094
ItemKNNCFRecommender,692.9363258356047,3452,rp3beta,bm25plus,0.0034722467965375508
ItemKNNCFRecommender,633.1176750748843,3369,asym,bm25plus,0.0008571371240554442
ItemKNNCFRecommender,921.2215556245872,1762,rp3beta,bm25plus,0.00344493889810873
ItemKNNCFRecommender,843.2042204500001,4886,rp3beta,bm25,0.003452142458976996
ItemKNNCFRecommender,683.1784649769086,3714,rp3beta,bm25plus,0.0034731429722336857
ItemKNNCFRecommender,644.4884933407343,3752,cosine,bm25plus,0.0008666917592866492
ItemKNNCFRecommender,563.4253309513513,4411,dice,bm25plus,0.0008453697865075716
ItemKNNCFRecommender,713.4922674629439,3310,rp3beta,bm25plus,0.003473690007784799
ItemKNNCFRecommender,809.394929220003,3349,rp3beta,bm25plus,0.003448506792880347
ItemKNNCFRecommender,690.7175606266288,3993,cosine,bm25plus,0.0008656710686456495
ItemKNNCFRecommender,915.02518592607,4926,rp3beta,bm25plus,0.0034439025941754194
ItemKNNCFRecommender,505.8939180154946,3556,rp3beta,bm25plus,0.0035020839692041714
ItemKNNCFRecommender,517.6222649263093,3566,jaccard,bm25plus,0.0008579449262230976
ItemKNNCFRecommender,600.3121481799905,4047,cosine,bm25plus,0.0008642581927708275
ItemKNNCFRecommender,670.3507509506298,3563,rp3beta,bm25plus,0.003470835385908992
ItemKNNCFRecommender,887.9570334198348,4281,asym,bm25,0.00047267279773095957
