recommender,topK,epochs,lambda_i,lambda_j,MAP
SLIM_BPR_Recommender,2045,22,0.004539343817080842,0.002404071285735009,0.0036664058850709794
SLIM_BPR_Recommender,3717,26,0.00492579355090649,0.002480542352685496,0.003693700050481615
SLIM_BPR_Recommender,2124,79,0.00206790373777682,0.0052497087027239394,0.0037584595451743397
SLIM_BPR_Recommender,451,98,0.002866887435619489,2.4356271239419253e-05,0.0037646402538945717
SLIM_BPR_Recommender,4880,93,0.00035041991375714236,0.0041016843753181875,0.003742464931337692
SLIM_BPR_Recommender,3399,71,0.0031353401008956433,0.009204142264312364,0.003772910606377075
SLIM_BPR_Recommender,2795,10,0.0032994929331110418,0.006815063778007114,0.0035841907921236823
SLIM_BPR_Recommender,1805,82,0.002329950818848291,0.0011428493448186925,0.0037299688140411268
SLIM_BPR_Recommender,2932,13,0.008863104307513713,0.0005700370167182793,0.003634362528936216
SLIM_BPR_Recommender,2915,15,0.007610093326192504,0.007811835913606259,0.0037197416217594234
SLIM_BPR_Recommender,4605,53,0.006136981896887264,0.009780141090840815,0.003757892406020447
SLIM_BPR_Recommender,99,57,2.8363116756357186e-05,0.00955086827922625,0.003647770008446761
SLIM_BPR_Recommender,478,98,0.0033910372889264418,0.005430594275090964,0.0037555477651872635
SLIM_BPR_Recommender,955,64,0.0018094289853512763,0.00780681920746313,0.0037449675822843393
SLIM_BPR_Recommender,3718,74,0.003942213152729653,0.0037067182860107415,0.003775837825680098
SLIM_BPR_Recommender,3788,69,0.006280680660408187,0.003284778842032277,0.003768792367862055
SLIM_BPR_Recommender,3826,43,0.0041803976777584325,0.006502405607181371,0.0037117555828572843
SLIM_BPR_Recommender,3399,81,0.005903655575513973,0.004129118926517547,0.003768442146583664
SLIM_BPR_Recommender,4071,41,0.0010797881783482684,0.008665827068992946,0.0037760261319478156
SLIM_BPR_Recommender,4664,39,0.0012426867954267184,0.006281221182359319,0.003725729741716772
SLIM_BPR_Recommender,4261,40,0.007592371422261295,0.00820052755619224,0.0037267266212588084
SLIM_BPR_Recommender,3370,69,0.0010427870429662598,0.009222125761912,0.0037709465784737557
SLIM_BPR_Recommender,4249,49,0.0038499790287510535,0.008670495087121914,0.003762754856619618
SLIM_BPR_Recommender,4245,75,0.0027236790278324023,0.004160557124675373,0.003785438227224517
SLIM_BPR_Recommender,4183,31,0.0011855039261980376,0.004449150377227372,0.0037670536588568873
SLIM_BPR_Recommender,4975,86,0.0052893784680179586,0.00288085078674259,0.0038094242050072586
SLIM_BPR_Recommender,4580,89,0.005314910257637292,0.0024999456674185904,0.0037812368593194245
SLIM_BPR_Recommender,4930,91,0.007168347632760711,0.0019501049269951437,0.003757688174432087
SLIM_BPR_Recommender,4663,89,0.005505814245669618,0.0014578756264759462,0.003777102256452293
SLIM_BPR_Recommender,4514,86,0.0047983454852643945,0.0029057449651080833,0.0037977043839020792
SLIM_BPR_Recommender,4960,62,0.009974820192617109,0.0027848634124986596,0.0037451759482682195
SLIM_BPR_Recommender,4473,87,0.004950301697202493,0.0032491847653446154,0.0037811965440006884
SLIM_BPR_Recommender,4439,85,0.004642005196062006,0.002175177631903779,0.0038135660489493056
SLIM_BPR_Recommender,3954,78,0.005011903678259905,0.0017839804142187885,0.0037745465885695266
SLIM_BPR_Recommender,1608,100,0.0044496545859611415,0.004642443802134764,0.0037413443642550968
