recommender,shrink,topk,similarity,normalization,MAP
ItemKNNCFRecommender,906.5077361115592,2366,dice,bm25plus,0.009423029956073923
ItemKNNCFRecommender,908.2089538578132,1843,dice,bm25,0.009608643887544536
ItemKNNCFRecommender,232.2770859982523,5757,cosine,tfidf,0.009122779997272405
ItemKNNCFRecommender,715.6600938721933,611,cosine,bm25plus,0.009327803364898381
ItemKNNCFRecommender,545.9202028544796,3687,rp3beta,bm25,0.00782098835690812
ItemKNNCFRecommender,541.3165750727514,1078,rp3beta,bm25,0.0078108822609608275
ItemKNNCFRecommender,588.3688682321123,2443,dice,tfidf,0.00878937257099233
ItemKNNCFRecommender,211.37026035124674,4111,cosine,bm25plus,0.009575158976484564
ItemKNNCFRecommender,825.6828234250602,2359,cosine,bm25plus,0.009589384322639082
ItemKNNCFRecommender,942.651447625658,3477,dice,bm25plus,0.009448695166001119
ItemKNNCFRecommender,727.2506599136625,4958,dice,bm25,0.009556733771861115
ItemKNNCFRecommender,821.9023781224265,2164,cosine,bm25,0.009731593860550745
ItemKNNCFRecommender,991.1643778368372,1643,cosine,bm25,0.009721541817287746
ItemKNNCFRecommender,999.2416046205445,1767,cosine,bm25,0.009733272317317689
ItemKNNCFRecommender,775.0943515567733,3110,cosine,bm25,0.009750083151805746
ItemKNNCFRecommender,433.1863939351668,3179,cosine,bm25,0.009740402522384502
ItemKNNCFRecommender,408.3620979537584,3050,cosine,bm25,0.00972901132231361
ItemKNNCFRecommender,407.5660465157176,4470,rp3beta,tfidf,0.008199293101670134
ItemKNNCFRecommender,381.58488504336447,3097,cosine,bm25,0.009729795475834174
ItemKNNCFRecommender,675.9651295806432,5120,cosine,bm25,0.009736915533385284
ItemKNNCFRecommender,495.03463667141244,3927,rp3beta,tfidf,0.008043031707475296
ItemKNNCFRecommender,677.5587068871432,5875,cosine,bm25,0.00973524791218255
ItemKNNCFRecommender,651.2231204497498,4865,cosine,bm25,0.009735895306493022
ItemKNNCFRecommender,786.6665709154087,2989,cosine,bm25,0.009748623598494937
ItemKNNCFRecommender,796.7513359327284,2803,cosine,bm25,0.009745423862005739
ItemKNNCFRecommender,801.9321667696207,2845,cosine,bm25,0.0097466646709372
ItemKNNCFRecommender,769.8517029516249,2807,cosine,bm25,0.009738245572679851
ItemKNNCFRecommender,864.8135462550582,3560,cosine,bm25,0.009751675366789714
ItemKNNCFRecommender,842.9811605152589,4153,cosine,bm25,0.00975321148314343
ItemKNNCFRecommender,864.8000267780716,4313,rp3beta,tfidf,0.007710353846859523
ItemKNNCFRecommender,892.3808987403941,3614,dice,bm25plus,0.009439615663518457
ItemKNNCFRecommender,875.4227506142543,3383,cosine,bm25,0.009753824302485833
ItemKNNCFRecommender,934.1463582641055,3894,cosine,bm25,0.009752817562414607
ItemKNNCFRecommender,872.6288875456015,4683,cosine,bm25,0.009750044018232337
ItemKNNCFRecommender,927.3413855730729,3742,cosine,bm25,0.009751164450427802
ItemKNNCFRecommender,941.4702974961103,4153,cosine,bm25,0.009752605243603728
ItemKNNCFRecommender,951.4247779198633,5242,cosine,bm25,0.009758303588806628
ItemKNNCFRecommender,968.8148984424155,5545,dice,tfidf,0.008887029180045686
ItemKNNCFRecommender,918.4660292085355,5378,rp3beta,bm25,0.007583750638507849
ItemKNNCFRecommender,732.2662363200745,4565,cosine,bm25plus,0.009599612045015578
ItemKNNCFRecommender,841.7017728941497,3964,cosine,bm25,0.009750670071282117
ItemKNNCFRecommender,949.385813150274,4239,cosine,bm25,0.009754018700925954
ItemKNNCFRecommender,905.6508909048381,5228,cosine,bm25,0.00975217105582322
ItemKNNCFRecommender,962.0464991423574,4280,cosine,bm25,0.009752022981240581
ItemKNNCFRecommender,904.095824609735,3865,cosine,bm25,0.00975150344337884
ItemKNNCFRecommender,999.4871262991305,3324,dice,bm25plus,0.009446432235197833
ItemKNNCFRecommender,312.5991863226452,4805,cosine,bm25,0.009706934200062437
ItemKNNCFRecommender,956.8028172800289,4419,cosine,bm25,0.009755369618568734
ItemKNNCFRecommender,837.6210408217305,5530,cosine,bm25,0.009753364432515886
ItemKNNCFRecommender,957.345962985827,5405,rp3beta,tfidf,0.007664181265299695
ItemKNNCFRecommender,883.3968324851247,5637,dice,bm25,0.009600223012695664
ItemKNNCFRecommender,846.2496610084866,5028,cosine,bm25,0.009750587226188557
ItemKNNCFRecommender,752.1749429413367,5947,cosine,bm25,0.009745473173494137
ItemKNNCFRecommender,820.4510717708407,4438,cosine,bm25,0.009752425982848796
ItemKNNCFRecommender,980.2768439820112,4700,cosine,bm25,0.00975677735012902
ItemKNNCFRecommender,967.5168971625196,5245,cosine,bm25,0.00975869220177344
ItemKNNCFRecommender,980.3668652829509,4750,cosine,bm25plus,0.009604698782138496
ItemKNNCFRecommender,954.7226109765543,5196,cosine,bm25,0.009757199409840635
ItemKNNCFRecommender,966.2939716626588,5238,cosine,bm25,0.009758138311611687
ItemKNNCFRecommender,983.1170069758692,5090,cosine,bm25,0.009758580369386646
ItemKNNCFRecommender,985.7257120435689,5171,cosine,bm25,0.009756451047735617
ItemKNNCFRecommender,988.4721281175296,5235,cosine,bm25,0.009758607607073257
ItemKNNCFRecommender,919.0292828865395,5766,cosine,bm25,0.009753737449478689
ItemKNNCFRecommender,996.0957708776485,5308,cosine,bm25,0.009760121260999776
ItemKNNCFRecommender,993.3776878497401,5349,cosine,bm25,0.009757185365817373
ItemKNNCFRecommender,939.0301927688033,4978,cosine,bm25,0.009753977457177323
ItemKNNCFRecommender,551.0398152728677,5748,rp3beta,tfidf,0.007990275259566939
ItemKNNCFRecommender,900.6393212492367,5191,cosine,bm25,0.009750636715177376
ItemKNNCFRecommender,962.0584868481416,1036,cosine,bm25,0.009678597111419971
ItemKNNCFRecommender,996.7929724990523,5024,cosine,bm25,0.009755888991324155
ItemKNNCFRecommender,926.2085897242127,5305,dice,bm25plus,0.009427895080882497
ItemKNNCFRecommender,977.3118183278059,5516,cosine,bm25,0.00975810938502598
ItemKNNCFRecommender,973.9074907847184,5556,cosine,bm25,0.009758748160752742
ItemKNNCFRecommender,977.1908559123115,5651,cosine,bm25,0.009760022715735067
ItemKNNCFRecommender,932.7878553435314,5719,cosine,bm25,0.009757270670454737
ItemKNNCFRecommender,998.4794655124568,4894,cosine,bm25,0.009756243357876821
ItemKNNCFRecommender,891.4589667636648,5876,cosine,bm25,0.009751582173999514
ItemKNNCFRecommender,964.8993203697967,5478,cosine,bm25,0.009758385280351426
ItemKNNCFRecommender,912.0115753774248,5527,cosine,tfidf,0.009224166268310383
ItemKNNCFRecommender,938.0205002594931,5997,rp3beta,bm25,0.007573977745376126
ItemKNNCFRecommender,977.311382097496,5388,cosine,bm25,0.00975755392725503
ItemKNNCFRecommender,966.6167460771371,5663,cosine,bm25,0.009759946024722934
ItemKNNCFRecommender,633.5293155382824,5613,cosine,bm25,0.00973046399867561
ItemKNNCFRecommender,945.7936969693603,5791,cosine,bm25,0.00975946521626216
ItemKNNCFRecommender,858.8960997263702,5783,cosine,bm25,0.009748607650666177
ItemKNNCFRecommender,923.2365674731001,5446,cosine,bm25,0.009753618266382996
ItemKNNCFRecommender,964.8016695554923,5065,cosine,bm25,0.009757916325332757
ItemKNNCFRecommender,479.13716610401065,5640,cosine,bm25,0.009727257456581434
ItemKNNCFRecommender,887.432521701738,5831,dice,bm25,0.009606855068035628
ItemKNNCFRecommender,940.7863976631278,2074,cosine,bm25plus,0.009575777342140206
ItemKNNCFRecommender,240.56875982706663,5953,cosine,bm25,0.009692607396639996
ItemKNNCFRecommender,946.5301722640396,5442,cosine,bm25,0.009757840025789942
ItemKNNCFRecommender,978.9032255100909,5660,cosine,bm25,0.00976015097667903
ItemKNNCFRecommender,979.2161090087682,5722,cosine,bm25,0.009758257310605437
ItemKNNCFRecommender,997.0883604949225,5570,cosine,bm25,0.009757684817386713
ItemKNNCFRecommender,911.4485352339951,5102,cosine,bm25,0.009751075785301301
ItemKNNCFRecommender,976.8108064049092,5300,cosine,bm25,0.009760448808086918
ItemKNNCFRecommender,983.2592112628856,5665,cosine,bm25,0.009759236385007515
ItemKNNCFRecommender,952.869475498609,5630,rp3beta,tfidf,0.00766563674893649
ItemKNNCFRecommender,928.2722484627288,5312,cosine,bm25,0.009754151179285419
