recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.512811641191035,0.5678035631027786,215,0.009557848905157528
RP3betaRecommender,0.5589463267523794,0.7416079366412276,358,0.007277992857991832
RP3betaRecommender,0.1915363862474635,0.2594255015072109,713,0.009270847448828326
RP3betaRecommender,0.5943598472336468,0.48161449680087653,371,0.00993180375360903
RP3betaRecommender,0.3310578615497425,0.342713419475284,737,0.009622898783550715
RP3betaRecommender,0.10522241709264711,0.24768645894678434,879,0.009055542660046339
RP3betaRecommender,0.29764458362247914,0.586728868892646,589,0.009292781638186436
RP3betaRecommender,0.15364788674643937,0.5887050286661365,285,0.009060179601282808
RP3betaRecommender,0.8955474412306091,0.7994114876540432,423,0.004670938856571933
RP3betaRecommender,0.18203812640614514,0.6595456578242829,513,0.008274491197785555
RP3betaRecommender,0.7192335442809608,0.4089011582057003,73,0.009860758167223071
RP3betaRecommender,0.7058559246622498,0.3872893661846524,56,0.009856160023326151
RP3betaRecommender,0.7064972954870886,0.43683367198864653,88,0.009847753886902599
RP3betaRecommender,0.684667019260777,0.14383738188857775,200,0.009659925899972957
RP3betaRecommender,0.887747127192269,0.49527024313024487,460,0.00952870586643533
RP3betaRecommender,0.6152142616434987,0.33123355067596705,192,0.009992071099654937
RP3betaRecommender,0.4237998459681957,0.129415057693002,323,0.00937238086882138
RP3betaRecommender,0.612531391112378,0.30067354757914466,188,0.010012864279890158
RP3betaRecommender,0.7991794011345068,0.2892624139529707,197,0.00993665694359711
RP3betaRecommender,0.4118443772477191,0.17721259632066172,997,0.008927166608939508
RP3betaRecommender,0.5983998628271036,0.32457308631694437,604,0.009662842094762767
RP3betaRecommender,0.7759299809629331,0.26825948226714563,178,0.009932851105139142
RP3betaRecommender,0.8367169726113071,0.2179764690031412,255,0.009741415811273035
RP3betaRecommender,0.6373761646351725,0.3206621364859916,138,0.010007870571854316
RP3betaRecommender,0.6458302262458272,0.35471478769273124,112,0.009996291887434288
RP3betaRecommender,0.471317100016262,0.37309889823235504,128,0.009984163191167806
RP3betaRecommender,0.654110628931692,0.43355287799868203,125,0.00989443147893433
RP3betaRecommender,0.5295598862191414,0.20199041879281693,129,0.009962527429567868
RP3betaRecommender,0.6420037170224294,0.2992256097534004,263,0.009907202310616264
RP3betaRecommender,0.4810064237933782,0.5490129746225451,294,0.009775212067591249
