recommender,alpha,l1_ratio,TopK,MAP
SLIMElasticNetRecommender,0.11101390137186462,0.17861575697626797,238,0.009170113298183912
SLIMElasticNetRecommender,0.06578211020608082,0.03379635551330484,214,0.009978998171840364
SLIMElasticNetRecommender,0.41955692093386576,0.29130509577064584,273,0.005761520856960897
SLIMElasticNetRecommender,0.3215101177962198,0.42108256452733495,186,0.005462198398079685
SLIMElasticNetRecommender,0.2639966520894045,0.13196979837618,226,0.00858715454656305
SLIMElasticNetRecommender,0.37988118056096876,0.3220428387390864,227,0.005766282201872891
SLIMElasticNetRecommender,0.3645836497082094,0.01916754369712076,129,0.009599187218150536
SLIMElasticNetRecommender,0.21202808629135173,0.08322324073175319,253,0.009237068324524872
SLIMElasticNetRecommender,0.11006317221282069,0.10037019324351582,273,0.009591923173093769
SLIMElasticNetRecommender,0.2606540312572907,0.13220870605265878,269,0.008598553032735117
SLIMElasticNetRecommender,0.0037726942456613732,0.47820046927805093,181,0.00909974945712416
SLIMElasticNetRecommender,0.49875408651319264,0.041380339598583414,120,0.008969045916860138
SLIMElasticNetRecommender,0.012512278714349442,0.006738353879341984,137,0.007765405019313522
SLIMElasticNetRecommender,0.15900404264709483,0.2132598481677388,190,0.008671079406069157
