recommender,shrink,topk,similarity,normalization,MAP
ItemKNNCFRecommender,73.22493054706129,180,rp3beta,bm25,0.01622755808847169
ItemKNNCFRecommender,147.66521336148512,381,rp3beta,bm25,0.014888673737403754
ItemKNNCFRecommender,30.351027708233268,250,cosine,bm25plus,0.017663023702820593
ItemKNNCFRecommender,49.52203012274544,468,rp3beta,bm25,0.016499337169020883
ItemKNNCFRecommender,170.47525228303877,157,cosine,tfidf,0.016927702526010995
ItemKNNCFRecommender,164.82211179043412,231,cosine,bm25,0.017889165617648955
ItemKNNCFRecommender,109.5404817880862,284,cosine,tfidf,0.016966668900530803
ItemKNNCFRecommender,69.51129435539676,368,rp3beta,bm25plus,0.016473552127229035
ItemKNNCFRecommender,61.73692450223442,111,rp3beta,tfidf,0.01677523909630403
ItemKNNCFRecommender,12.755395972186683,242,rp3beta,bm25plus,0.017528191912890484
ItemKNNCFRecommender,192.53477564891307,360,cosine,bm25,0.017922770906014275
ItemKNNCFRecommender,199.46312646825314,355,cosine,bm25,0.01793014569676988
ItemKNNCFRecommender,199.80470909183788,363,cosine,bm25,0.01790794814258583
ItemKNNCFRecommender,193.1378293167287,441,cosine,bm25,0.01791006179558177
ItemKNNCFRecommender,127.55296801331518,330,cosine,bm25,0.01790013113622409
ItemKNNCFRecommender,173.4092440378685,421,cosine,bm25,0.017905522756320135
ItemKNNCFRecommender,130.2111309347956,310,cosine,bm25,0.01789908939377484
ItemKNNCFRecommender,190.67590450814953,411,cosine,bm25,0.017900819638402506
ItemKNNCFRecommender,146.7319024687224,494,cosine,bm25plus,0.017644021910175244
ItemKNNCFRecommender,103.58820942367892,337,cosine,tfidf,0.0169802025470609
ItemKNNCFRecommender,182.25024576726923,289,cosine,bm25,0.017940706492301527
ItemKNNCFRecommender,186.46030250032544,280,cosine,bm25,0.017945185891290773
ItemKNNCFRecommender,173.0718430556166,282,cosine,bm25,0.0179368034537115
ItemKNNCFRecommender,159.1710061563757,276,cosine,bm25,0.017916884615664513
ItemKNNCFRecommender,146.39459978257912,205,cosine,bm25,0.01782786713567708
ItemKNNCFRecommender,176.44912356722838,305,cosine,bm25,0.01792003176021647
ItemKNNCFRecommender,181.5872615790226,267,cosine,bm25,0.017914369517605395
ItemKNNCFRecommender,125.28306021740215,213,cosine,bm25plus,0.0176761356753312
ItemKNNCFRecommender,156.21959511772664,317,cosine,bm25,0.01790500154523443
ItemKNNCFRecommender,105.82088761935677,165,rp3beta,tfidf,0.0160143664896471
ItemKNNCFRecommender,183.5536175953623,192,cosine,bm25,0.017833193566598588
ItemKNNCFRecommender,184.3236946354315,292,cosine,bm25,0.017936783001759375
ItemKNNCFRecommender,162.87327965597265,284,cosine,bm25,0.017928540076873927
ItemKNNCFRecommender,181.8369294082906,257,cosine,bm25,0.017934570912484328
ItemKNNCFRecommender,88.66697155421598,236,rp3beta,bm25,0.015927417905641485
ItemKNNCFRecommender,142.74958974130317,300,cosine,bm25,0.017908230588800762
ItemKNNCFRecommender,169.8581419008811,341,cosine,bm25,0.017904836501232025
ItemKNNCFRecommender,154.8198836883824,219,cosine,bm25,0.017857227784081445
ItemKNNCFRecommender,137.49431872315753,391,rp3beta,bm25plus,0.015427091561435244
ItemKNNCFRecommender,186.44607692136924,288,cosine,tfidf,0.01696420255140036
ItemKNNCFRecommender,170.32518308133788,256,cosine,bm25,0.017923845536338485
ItemKNNCFRecommender,180.33614495297354,260,cosine,bm25,0.01794236520283129
ItemKNNCFRecommender,177.54978109525044,264,cosine,bm25,0.017914456064452314
ItemKNNCFRecommender,163.9757577838624,293,cosine,bm25,0.01793091103879791
ItemKNNCFRecommender,36.61512830466961,325,cosine,bm25,0.017894899041644517
ItemKNNCFRecommender,194.43553646769092,235,rp3beta,bm25,0.014458478919800599
ItemKNNCFRecommender,185.08819452811878,139,cosine,bm25plus,0.017608498209042377
ItemKNNCFRecommender,199.36473571831718,250,cosine,tfidf,0.0170078878252884
