recommender,alpha,beta,MAP
RP3beta_ItemKNNCF_Hybrid,0.049467414240360164,0.04056477284813098,0.018824221721180836
RP3beta_ItemKNNCF_Hybrid,0.9533090925762322,0.3233130335449882,0.01836603237222093
RP3beta_ItemKNNCF_Hybrid,0.4923468780933933,0.7984511952932918,0.019020254918754902
RP3beta_ItemKNNCF_Hybrid,0.8914132742211553,0.5122939104302897,0.018642776346674418
RP3beta_ItemKNNCF_Hybrid,0.5879880799458104,0.5617173631279178,0.018882532706381985
RP3beta_ItemKNNCF_Hybrid,0.5690056949736231,0.7226078804604203,0.018997658373954018
RP3beta_ItemKNNCF_Hybrid,0.6085189694387462,0.8804283491185313,0.019030155375851253
RP3beta_ItemKNNCF_Hybrid,0.1399356823002167,0.5203392238354367,0.019112459146556623
RP3beta_ItemKNNCF_Hybrid,0.6065516587349074,0.6194106445970478,0.018920949971952542
RP3beta_ItemKNNCF_Hybrid,0.06596405035599961,0.022509695552743958,0.01837323433816623
RP3beta_ItemKNNCF_Hybrid,0.2747114462224778,0.29975498008644597,0.0189527869651776
RP3beta_ItemKNNCF_Hybrid,0.343238965540473,0.9958820026059455,0.019077683896134654
RP3beta_ItemKNNCF_Hybrid,0.2754895225418719,0.9974702397635886,0.01911496507721365
RP3beta_ItemKNNCF_Hybrid,0.20461696440201446,0.35705265255613683,0.01902311096662979
RP3beta_ItemKNNCF_Hybrid,0.1727384454613342,0.19994732817236133,0.018974895273286108
RP3beta_ItemKNNCF_Hybrid,0.41692547504207744,0.7271361428646954,0.019023357891439472
RP3beta_ItemKNNCF_Hybrid,0.013792065104039575,0.953076907507734,0.018950308626915758
RP3beta_ItemKNNCF_Hybrid,0.7829475718205585,0.44218410304112565,0.018634861453863213
RP3beta_ItemKNNCF_Hybrid,0.15402501627206938,0.6803765261707555,0.01909375237267162
RP3beta_ItemKNNCF_Hybrid,0.3174544234308691,0.16721617168425124,0.018591680538366354
RP3beta_ItemKNNCF_Hybrid,0.4151418349192647,0.8353568722273478,0.019032669196259122
RP3beta_ItemKNNCF_Hybrid,0.15317050535978807,0.6147920380027013,0.019108275083945577
RP3beta_ItemKNNCF_Hybrid,0.13108190815550153,0.4807361601575698,0.01911845392156055
RP3beta_ItemKNNCF_Hybrid,0.24698276346733727,0.43401338418491475,0.019030484442994978
RP3beta_ItemKNNCF_Hybrid,0.11861640775288765,0.44797703573201164,0.019109919428907055
RP3beta_ItemKNNCF_Hybrid,0.0944776082252298,0.16639106024035988,0.019027113959740164
RP3beta_ItemKNNCF_Hybrid,0.3914626576302114,0.5675789522646634,0.019031157027507618
RP3beta_ItemKNNCF_Hybrid,0.20796156338223637,0.24360712795102984,0.018975132964239038
RP3beta_ItemKNNCF_Hybrid,0.011180796875773169,0.9084963904991099,0.018943306429830064
RP3beta_ItemKNNCF_Hybrid,0.31491848690958485,0.08968179947803534,0.01830346989667226
RP3beta_ItemKNNCF_Hybrid,0.09623754381747948,0.777574124590332,0.019080889065867985
RP3beta_ItemKNNCF_Hybrid,0.11757282639662803,0.4341767522249955,0.019115674955871336
RP3beta_ItemKNNCF_Hybrid,0.2417860844559528,0.4956235165999495,0.0190453488297244
RP3beta_ItemKNNCF_Hybrid,0.07369039773423075,0.3878334365642082,0.019084852576218798
RP3beta_ItemKNNCF_Hybrid,0.004901434931219847,0.2671190886093776,0.0189606841199839
RP3beta_ItemKNNCF_Hybrid,0.14904582801248373,0.5055075956987485,0.0191082176796034
RP3beta_ItemKNNCF_Hybrid,0.2188914818412548,0.3812767967834746,0.01902319914325024
RP3beta_ItemKNNCF_Hybrid,0.75626714359908,0.5668527904661023,0.018781888810719526
RP3beta_ItemKNNCF_Hybrid,0.5155669196829236,0.7019186577101282,0.01901646852152379
RP3beta_ItemKNNCF_Hybrid,0.28588714765438794,0.6285309719306519,0.019077162631817152
RP3beta_ItemKNNCF_Hybrid,0.36907493562329774,0.5267242433771335,0.019024498510402846
RP3beta_ItemKNNCF_Hybrid,0.11499868946126973,0.4155589002682197,0.01911724713203564
RP3beta_ItemKNNCF_Hybrid,0.057022880211331325,0.3210682334036953,0.019075692719433924
RP3beta_ItemKNNCF_Hybrid,0.12370667979039648,0.40942767651185014,0.019093171935222763
RP3beta_ItemKNNCF_Hybrid,0.18608513867402318,0.4787446917708263,0.019075252232378853
RP3beta_ItemKNNCF_Hybrid,0.04346586980578486,0.08275374847804334,0.019035369155264836
RP3beta_ItemKNNCF_Hybrid,0.46417317379751094,0.3350353203345853,0.018754288799577634
RP3beta_ItemKNNCF_Hybrid,0.1036154860063686,0.6302731911010554,0.01909167948880293
RP3beta_ItemKNNCF_Hybrid,0.2773306290520591,0.28075339480177564,0.018905826332326178
RP3beta_ItemKNNCF_Hybrid,0.1739257267344033,0.7792076823771812,0.019097323838239838
