recommender,alpha,l1_ratio,TopK,MAP
SLIMElasticNetRecommender,0.665220194342626,0.9648854134501126,489,0.0028813195330979514
SLIMElasticNetRecommender,0.15544117040014138,0.7748712596013455,121,0.010970171880168375
SLIMElasticNetRecommender,0.8259342401077332,0.7598501194585053,134,0.0029253548050772963
SLIMElasticNetRecommender,0.20950039737242343,0.5944967091321849,206,0.010798577074815893
SLIMElasticNetRecommender,0.9862556450685587,0.6448133770929595,441,0.0029253548050772963
SLIMElasticNetRecommender,0.5107885251922768,0.9438012662644105,210,0.0044990107952781145
SLIMElasticNetRecommender,0.8238195079798216,0.18179942045669395,374,0.009832441545993545
SLIMElasticNetRecommender,0.5748047556853242,0.04432710297713405,173,0.015716070700927412
SLIMElasticNetRecommender,0.7279416191760391,0.7344107877288768,404,0.0035933199401420577
SLIMElasticNetRecommender,0.5017787619516102,0.09427604249881039,277,0.014480257225013877
SLIMElasticNetRecommender,0.324748945872376,0.3277518610455298,293,0.011605305862056027
SLIMElasticNetRecommender,0.45109976240455424,0.004796305093483916,254,0.017868647547367625
SLIMElasticNetRecommender,0.323935202176592,0.031263397519385616,206,0.017294669922735
SLIMElasticNetRecommender,0.3568702640648178,0.35212426551883225,244,0.010761562110064696
SLIMElasticNetRecommender,0.0007174037719474557,0.003049793165611374,342,0.01188983134763725
SLIMElasticNetRecommender,0.3808743298122656,0.2311217253912692,328,0.01243223597345959
SLIMElasticNetRecommender,0.16780073451783484,0.4582594391496759,245,0.013165983213943392
SLIMElasticNetRecommender,0.40825731884667815,0.15858494025572886,180,0.013605780626371649
SLIMElasticNetRecommender,0.27123545026316676,0.31820429373245207,247,0.012558370878957772
SLIMElasticNetRecommender,0.03965636779230247,0.4429610920353199,153,0.017315126837066538
SLIMElasticNetRecommender,0.020859005425696686,0.48102129302336055,144,0.018248571102569427
SLIMElasticNetRecommender,0.010975001075569505,0.48011657798419954,100,0.018704145440550952
SLIMElasticNetRecommender,0.07276600123887461,0.5417115968928278,105,0.01554446184617681
SLIMElasticNetRecommender,0.0687399094915042,0.38579572868291934,107,0.01649365617187035
SLIMElasticNetRecommender,0.13713248738029454,0.2522357759155298,157,0.015793862261184507
