recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.1261330356524053,0.7787452242709453,488,0.02614846296959461
RP3betaRecommender,0.2732246912208284,0.2699157719115274,338,0.036955546211426486
RP3betaRecommender,0.6590126165778085,0.5831517121086772,239,0.038880012149553785
RP3betaRecommender,0.17908174376312244,0.5554950845337018,177,0.038372997545004235
RP3betaRecommender,0.17921021888326338,0.31339072162897336,405,0.03694008534905843
RP3betaRecommender,0.8139756206616362,0.6612615928442936,260,0.03796687473056253
RP3betaRecommender,0.7705070502462992,0.8765281776726572,207,0.024660404240214744
RP3betaRecommender,0.8166772480331486,0.5336702028942986,457,0.03854290444989922
RP3betaRecommender,0.7700956865765335,0.18925865169031486,446,0.03471136951861973
RP3betaRecommender,0.5917150941371031,0.2618896818275491,438,0.035550697787112735
RP3betaRecommender,0.49252429432628514,0.4365301916699414,132,0.039803101396780866
RP3betaRecommender,0.4957092195959524,0.4229108775124165,139,0.03968270801954391
RP3betaRecommender,0.3841076314580144,0.4074190406936158,102,0.04001158689082531
RP3betaRecommender,0.3941044642705614,0.3841383957356603,104,0.04003421572627095
RP3betaRecommender,0.35128910836426147,0.13118548731242397,106,0.03948969114733338
RP3betaRecommender,0.3792599626035974,0.3699511033520157,309,0.037975435567309423
RP3betaRecommender,0.4004452010626698,0.6475904731055745,176,0.0368944701468816
RP3betaRecommender,0.28631023994132615,0.4615413221100312,113,0.03950497881253087
RP3betaRecommender,0.5898477335988493,0.36012959054350663,369,0.0370970506095726
RP3betaRecommender,0.44267059994323943,0.10707063262039185,167,0.038700817712364
RP3betaRecommender,0.31595705087123327,0.24883793526381154,231,0.037881158723797846
RP3betaRecommender,0.49606993728698856,0.4384832714636771,101,0.04000948049454347
RP3betaRecommender,0.5674554399991163,0.38051048617892586,100,0.04012174765054347
RP3betaRecommender,0.5961458327112794,0.356928434102015,152,0.039350616304075575
RP3betaRecommender,0.6684559691775473,0.49258683709481227,202,0.03940878188306818
RP3betaRecommender,0.24794867288954642,0.37891678866189865,137,0.03951542093106785
RP3betaRecommender,0.42893195750291263,0.6131947527538575,275,0.0380877965217142
RP3betaRecommender,0.5666827668760926,0.3125133943677627,194,0.038575098099795695
RP3betaRecommender,0.4484291887645918,0.188593300648552,129,0.0396234024875824
RP3betaRecommender,0.11211839028247328,0.740973076770488,100,0.02919513328133588
RP3betaRecommender,0.8864835938227953,0.4709496927101927,158,0.03921045169053921
RP3betaRecommender,0.5318682018629378,0.40373004379507194,104,0.04006688024119348
RP3betaRecommender,0.3447562815999304,0.4083853910304948,126,0.03964694274253479
RP3betaRecommender,0.5495707881283205,0.3264078865890673,151,0.03925992481074547
RP3betaRecommender,0.6603056631011808,0.5190656909966676,220,0.03922030407909169
RP3betaRecommender,0.5434420157777486,0.28537226555834594,180,0.03869630248501799
RP3betaRecommender,0.20271351121305475,0.5731993445061896,495,0.038066660119823396
RP3betaRecommender,0.6334132991638806,0.2269621793054675,120,0.03951281415804168
RP3betaRecommender,0.4502289228866972,0.3958849901108639,254,0.03851612254740051
RP3betaRecommender,0.7111304084799817,0.5092732014413018,325,0.03878073425325699
RP3betaRecommender,0.5239892123744603,0.34027449377431196,382,0.03688439336698193
RP3betaRecommender,0.4862546209021829,0.4245885903364351,106,0.040005372154520547
RP3betaRecommender,0.3926189701618197,0.4524047059447242,104,0.03983950888659252
RP3betaRecommender,0.48719565563110523,0.29230391139771655,140,0.0394588590784001
RP3betaRecommender,0.524755771691226,0.5482702132556245,124,0.039202021285546174
RP3betaRecommender,0.6274407169909406,0.3985708902172662,100,0.04004775040455363
RP3betaRecommender,0.6927014305967855,0.4035039997199183,186,0.03906664786740499
RP3betaRecommender,0.6341633224656027,0.48829325457630945,160,0.03961623437509381
RP3betaRecommender,0.7208363026959401,0.2126871734593782,119,0.03940884937235576
RP3betaRecommender,0.34943188890731325,0.32380724632446867,143,0.03951057118302315
