recommender,shrink,topk,similarity,normalization,MAP
ItemKNNCFRecommender,42.16264850159337,2452,rp3beta,bm25,0.004458210132952555
ItemKNNCFRecommender,173.75387939692754,2408,cosine,bm25,0.0038743847340215296
ItemKNNCFRecommender,171.1331532402883,1791,cosine,tfidf,0.0034874780261335407
ItemKNNCFRecommender,144.63839329218908,1331,cosine,bm25plus,0.003810151747589316
ItemKNNCFRecommender,74.07099529640566,2665,rp3beta,tfidf,0.004508568246842278
ItemKNNCFRecommender,159.92660692528625,2200,rp3beta,tfidf,0.004489797517149798
ItemKNNCFRecommender,53.10314834115078,1831,rp3beta,tfidf,0.004508676918192546
ItemKNNCFRecommender,91.85879548414802,1605,rp3beta,bm25plus,0.004495947684078336
ItemKNNCFRecommender,133.92992016315998,2856,dice,tfidf,0.0029667159656042545
ItemKNNCFRecommender,140.83465652584925,2997,dice,tfidf,0.0029686534857826553
ItemKNNCFRecommender,10.252120545823402,1074,rp3beta,bm25,0.004222549052727456
ItemKNNCFRecommender,76.52397759047557,2036,rp3beta,tfidf,0.004500230853756294
ItemKNNCFRecommender,58.92855685815208,2609,rp3beta,tfidf,0.0045003772704832875
ItemKNNCFRecommender,109.64881977293487,1635,rp3beta,tfidf,0.004507957671941661
ItemKNNCFRecommender,36.10528703651552,2069,rp3beta,tfidf,0.004469416669730217
ItemKNNCFRecommender,109.18638132270902,2710,dice,bm25plus,0.003340171825110925
ItemKNNCFRecommender,198.7243005149091,1857,rp3beta,tfidf,0.004456950835698275
ItemKNNCFRecommender,66.6697405606728,2328,rp3beta,tfidf,0.004511594953866275
ItemKNNCFRecommender,10.908746863361259,2247,dice,bm25,0.0032280187537507108
ItemKNNCFRecommender,37.723347883485275,1407,cosine,bm25plus,0.0038060259237817713
ItemKNNCFRecommender,59.016297475550516,2305,rp3beta,tfidf,0.004499361347358729
ItemKNNCFRecommender,82.49203663356384,2653,rp3beta,tfidf,0.004499821456075865
ItemKNNCFRecommender,67.00330026405167,2446,rp3beta,tfidf,0.004509448363249037
ItemKNNCFRecommender,95.00445398080606,1903,rp3beta,tfidf,0.0044974830338468785
ItemKNNCFRecommender,57.5964951811707,2442,rp3beta,tfidf,0.004504948295661496
ItemKNNCFRecommender,52.11276735864898,2125,rp3beta,tfidf,0.004504190442546816
ItemKNNCFRecommender,27.058908838051412,1659,rp3beta,tfidf,0.004426486206783036
ItemKNNCFRecommender,120.18983060590321,2325,rp3beta,tfidf,0.004503141817869584
ItemKNNCFRecommender,70.29867652657283,2507,cosine,bm25plus,0.0038539339851209353
ItemKNNCFRecommender,28.19969330810906,1984,dice,bm25,0.00324046043515739
ItemKNNCFRecommender,93.48011355441972,2814,rp3beta,bm25,0.00450490480245495
ItemKNNCFRecommender,72.68573304765431,2549,rp3beta,tfidf,0.0045107423571493855
ItemKNNCFRecommender,46.23670090565962,2425,rp3beta,tfidf,0.004501345195185782
ItemKNNCFRecommender,63.53980698443826,2538,rp3beta,tfidf,0.004509810166907828
ItemKNNCFRecommender,68.29550498012709,2598,cosine,tfidf,0.0034941583065295025
ItemKNNCFRecommender,83.41739309838945,2517,rp3beta,tfidf,0.004500306414664677
ItemKNNCFRecommender,64.96669353522199,2368,rp3beta,tfidf,0.004512984365256483
ItemKNNCFRecommender,83.80172703780724,2787,cosine,bm25,0.0038338766978973995
ItemKNNCFRecommender,101.33239402745673,2203,rp3beta,tfidf,0.004510660820049828
ItemKNNCFRecommender,121.64159028329173,2182,rp3beta,bm25plus,0.004492309870540327
ItemKNNCFRecommender,101.55584295359213,2357,rp3beta,tfidf,0.004511847225546718
ItemKNNCFRecommender,95.43259329870479,2306,rp3beta,tfidf,0.00450078137891678
ItemKNNCFRecommender,104.5667092681324,2342,rp3beta,tfidf,0.004514108191083996
ItemKNNCFRecommender,119.45250696724636,2360,rp3beta,tfidf,0.004503686425233188
ItemKNNCFRecommender,104.02829594903938,2141,rp3beta,tfidf,0.004518558216575285
ItemKNNCFRecommender,149.967396905862,2072,rp3beta,tfidf,0.004494468317085886
ItemKNNCFRecommender,134.16373161575405,1945,dice,tfidf,0.00293994144084937
ItemKNNCFRecommender,103.03513280936745,2150,rp3beta,tfidf,0.004517266900662144
ItemKNNCFRecommender,105.24690564766325,2188,rp3beta,tfidf,0.004515677396947246
ItemKNNCFRecommender,112.27746420321857,1723,cosine,bm25plus,0.003840303464339135
ItemKNNCFRecommender,131.04155337363116,2106,rp3beta,tfidf,0.0044986762047410185
ItemKNNCFRecommender,103.0857589090107,2233,rp3beta,tfidf,0.004514224495804259
ItemKNNCFRecommender,112.33766926663313,2227,rp3beta,tfidf,0.004502599375027404
ItemKNNCFRecommender,126.49349693928478,2022,rp3beta,tfidf,0.004504306816063186
ItemKNNCFRecommender,104.20730402983736,2144,rp3beta,tfidf,0.0045166052862889204
ItemKNNCFRecommender,104.20440742975474,2137,rp3beta,tfidf,0.004518118786712701
ItemKNNCFRecommender,88.8094203633853,1792,dice,bm25,0.0032595242404393422
ItemKNNCFRecommender,141.91939960777947,2154,rp3beta,tfidf,0.004496564192645917
ItemKNNCFRecommender,115.96484215754828,1954,rp3beta,tfidf,0.0045104427375242465
ItemKNNCFRecommender,106.93506502869951,2271,rp3beta,tfidf,0.004513400500390009
ItemKNNCFRecommender,99.07317662146673,1904,rp3beta,tfidf,0.004500989489206609
ItemKNNCFRecommender,105.99092864275231,2136,rp3beta,tfidf,0.004512487092691195
ItemKNNCFRecommender,88.96271538971334,2016,rp3beta,tfidf,0.004492655770017155
ItemKNNCFRecommender,78.26452694049593,958,rp3beta,tfidf,0.004484852376751976
ItemKNNCFRecommender,125.26518148233225,2250,rp3beta,tfidf,0.0045039386033614145
ItemKNNCFRecommender,102.99162000904099,2087,rp3beta,bm25plus,0.004510134086351013
ItemKNNCFRecommender,111.49422973534989,1501,rp3beta,tfidf,0.004503209634686087
ItemKNNCFRecommender,96.09464973162535,2197,dice,tfidf,0.002941115413767228
ItemKNNCFRecommender,88.71843110662077,1852,rp3beta,tfidf,0.004496080869854206
ItemKNNCFRecommender,184.2879237217101,2049,cosine,bm25,0.0038800519958004324
ItemKNNCFRecommender,135.48056963027454,2396,rp3beta,tfidf,0.004499582435196345
ItemKNNCFRecommender,106.83668296062153,2256,rp3beta,tfidf,0.004512798450207677
ItemKNNCFRecommender,114.63694325587434,2287,rp3beta,tfidf,0.004507225175872832
ItemKNNCFRecommender,106.04825013263832,2158,rp3beta,tfidf,0.004513708848462653
ItemKNNCFRecommender,117.99711859610011,2172,rp3beta,tfidf,0.0045081561705187624
ItemKNNCFRecommender,79.61938882914902,2114,rp3beta,tfidf,0.004492003534718367
ItemKNNCFRecommender,99.09768442619955,2461,rp3beta,tfidf,0.004508485862934115
ItemKNNCFRecommender,124.85291036881557,1983,rp3beta,tfidf,0.004500140487253207
ItemKNNCFRecommender,86.62817558700063,2157,rp3beta,bm25plus,0.004503351798024492
ItemKNNCFRecommender,92.71877986127024,2224,rp3beta,tfidf,0.004494470628311947
ItemKNNCFRecommender,104.34386199480909,1228,dice,tfidf,0.002864122959956364
ItemKNNCFRecommender,107.5815700227112,2263,rp3beta,tfidf,0.004512276998484038
ItemKNNCFRecommender,99.32768748717679,2314,rp3beta,tfidf,0.004509893446329279
ItemKNNCFRecommender,110.40924290289205,2392,rp3beta,tfidf,0.004510030333851857
ItemKNNCFRecommender,94.95694465816229,2056,rp3beta,tfidf,0.0045003905102072314
ItemKNNCFRecommender,104.42142548326188,1905,rp3beta,tfidf,0.004509982389031149
ItemKNNCFRecommender,115.13106049263514,2474,cosine,bm25,0.0038483273688242996
ItemKNNCFRecommender,123.31565930300127,2341,rp3beta,tfidf,0.004501462728629839
ItemKNNCFRecommender,129.02316225788311,2099,rp3beta,tfidf,0.004503174332109988
ItemKNNCFRecommender,108.59602104506597,2194,rp3beta,tfidf,0.004512873507427415
ItemKNNCFRecommender,119.47828540836764,2274,rp3beta,tfidf,0.004502112943576283
ItemKNNCFRecommender,99.55270441121021,2374,rp3beta,tfidf,0.004510390697483164
ItemKNNCFRecommender,92.83488495035705,2591,rp3beta,tfidf,0.004497459853160017
ItemKNNCFRecommender,83.36781342070321,2142,rp3beta,tfidf,0.004492574652278197
