recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.5347770659263466,0.22900169962782357,629,0.00431809998469515
RP3betaRecommender,0.4689691281086791,0.6052024403589438,783,0.0030852057059973827
RP3betaRecommender,0.4726614715736014,0.6114969862473373,945,0.002816693330547589
RP3betaRecommender,0.6770675972646804,0.26565099464105507,242,0.004400268330481217
RP3betaRecommender,0.583345331537413,0.22914219826540583,527,0.0043363945130720045
RP3betaRecommender,0.16401575339184066,0.12079888052614063,643,0.004203577727125967
RP3betaRecommender,0.5978540185030191,0.13157895590164392,247,0.004402142510806278
RP3betaRecommender,0.28008227501902694,0.8687040931617299,999,0.0008247838817662514
RP3betaRecommender,0.7349308010343666,0.7496965615529593,650,0.0015036787764028568
RP3betaRecommender,0.8138331539585685,0.2447544842070406,609,0.00424049222829688
RP3betaRecommender,0.8765525543805665,0.434033223472829,52,0.003889746521672198
RP3betaRecommender,0.6994514076329621,0.40420512268098113,259,0.0042515589030947725
RP3betaRecommender,0.6427758757826368,0.10359425110839932,301,0.004366408910683473
RP3betaRecommender,0.3627804491157061,0.32980171579746975,327,0.004351336943254947
RP3betaRecommender,0.72803835735437,0.32177064933250116,106,0.004221312898764733
RP3betaRecommender,0.59694568326374,0.16838133367489538,411,0.004422262149601702
RP3betaRecommender,0.3812870420100039,0.12915414001048586,432,0.00432511788202903
RP3betaRecommender,0.5781862029615418,0.5348833909712171,393,0.003848787483638415
RP3betaRecommender,0.4253737137318626,0.1878315901036615,190,0.004326366069060125
RP3betaRecommender,0.27987065708202785,0.35678275250947855,425,0.0043332533692703205
RP3betaRecommender,0.6047129661044613,0.49053987262615273,154,0.003978605245692137
RP3betaRecommender,0.6905170720676475,0.27308427088193094,217,0.004414650721183841
RP3betaRecommender,0.7991760687962466,0.17113636175627073,352,0.00440754990850274
RP3betaRecommender,0.8010705855730091,0.19104131350289857,507,0.004331354083171174
RP3betaRecommender,0.800569576325634,0.2910448084559709,371,0.004332070138341225
RP3betaRecommender,0.7636358384134859,0.1755533242773942,509,0.004338808186484414
RP3betaRecommender,0.8789549026716801,0.4209856986138436,330,0.004076409549603907
RP3betaRecommender,0.651947775137155,0.36594172034229344,184,0.004288517591220674
RP3betaRecommender,0.8401268591218527,0.1915904246984878,120,0.004298287633358439
RP3betaRecommender,0.5270236074338284,0.27493025820451383,458,0.004389297405844071
RP3betaRecommender,0.7659637898050445,0.17163923100769804,570,0.004314606931858975
RP3betaRecommender,0.6151238872804118,0.13841146028361498,250,0.004392551541470163
RP3betaRecommender,0.5291998263640894,0.22397961938425276,291,0.004422395585914001
RP3betaRecommender,0.5243384604490023,0.2223185631011818,747,0.00427888937242238
RP3betaRecommender,0.4637777067821998,0.2972168431901033,317,0.004377107716979873
RP3betaRecommender,0.6853565516652291,0.2519962407556153,367,0.004364214084298439
RP3betaRecommender,0.5004503620767511,0.2269667041362074,214,0.004397557370569784
RP3betaRecommender,0.5477285253775717,0.6525871383262265,471,0.0030434368360637673
RP3betaRecommender,0.10509633865404694,0.1574197652470418,286,0.004249967232488518
RP3betaRecommender,0.5639485509707591,0.37838198282595237,381,0.004334464374122718
RP3betaRecommender,0.6473234316925007,0.4882978621524806,844,0.0035849623970487334
RP3betaRecommender,0.7155884450457306,0.10416380087214129,229,0.004385588222033843
RP3betaRecommender,0.6121301193691877,0.2156007110423116,143,0.004337836098733237
RP3betaRecommender,0.670261199527,0.1461985264100869,270,0.004416143137880288
RP3betaRecommender,0.6789704253938164,0.2586546620999307,285,0.004365562425618576
RP3betaRecommender,0.7405792798380745,0.1498491363165887,86,0.004177763831658933
RP3betaRecommender,0.8339565356449922,0.303594562489311,351,0.00429133049398586
RP3betaRecommender,0.46548613326764143,0.8960552273102,282,0.0013475650174046502
RP3betaRecommender,0.6495156325415771,0.2173716673747788,560,0.004314270529597785
RP3betaRecommender,0.7543513769884708,0.11031990158306978,418,0.004398309219353015
RP3betaRecommender,0.8968902989491028,0.8043742587130219,183,0.0017399447787748348
RP3betaRecommender,0.5932655373748719,0.1466399054004724,255,0.004381104366623038
RP3betaRecommender,0.7026813223226223,0.19886829520038377,331,0.00440062254457366
RP3betaRecommender,0.6224141542685806,0.1343762316819219,223,0.004382747338160132
RP3betaRecommender,0.5635233640464212,0.2475001140881706,398,0.00437576488942107
RP3betaRecommender,0.49368754067862775,0.33514951372792534,469,0.004353752211002738
RP3betaRecommender,0.41947119604214933,0.16792501462006193,197,0.004324619767954591
RP3betaRecommender,0.6556123756225347,0.6271750324010207,71,0.003353686861368603
RP3betaRecommender,0.7073974570541529,0.12325564643783887,150,0.004318425047621557
RP3betaRecommender,0.5909617366610114,0.27191731500273497,264,0.004387517033277583
RP3betaRecommender,0.32158908839076517,0.1954059544153448,318,0.004356172809169827
RP3betaRecommender,0.7847473688319354,0.1965549542926636,337,0.004407897374214673
RP3betaRecommender,0.804002888913425,0.2337756245269978,341,0.004340781559859307
RP3betaRecommender,0.7816707707176103,0.17252304536560298,293,0.00441840178689111
RP3betaRecommender,0.7719882632014206,0.163340389703111,442,0.0043975540492917796
RP3betaRecommender,0.8337572587155003,0.20518153569966674,394,0.00435802784625641
RP3betaRecommender,0.7855032705797201,0.28365576584374697,353,0.0043643651487733325
RP3betaRecommender,0.7385280458701088,0.10004863190202579,291,0.004385551776924973
RP3betaRecommender,0.6745336097063613,0.17361111039461252,308,0.004426474040944729
RP3betaRecommender,0.6814951426417158,0.24236085139203556,306,0.004374787936791291
RP3betaRecommender,0.6247271609698356,0.13929180775019495,173,0.004362639659710756
RP3betaRecommender,0.7246848920847219,0.1853251871104266,256,0.00443763565098939
RP3betaRecommender,0.6633659072067656,0.18710441320358154,243,0.004415564847919628
RP3betaRecommender,0.7237716581039295,0.18295847317601766,216,0.004381514294593329
RP3betaRecommender,0.6679697752919019,0.3119847840241312,255,0.004353893331458494
RP3betaRecommender,0.6925946141840895,0.5639868146122051,237,0.003705365011948526
RP3betaRecommender,0.6358166475963728,0.45861587165715645,270,0.004169696677431725
