recommender,shrink,topk,similarity,normalization,MAP
ItemKNNCFRecommender,16.50947016040737,357,cosine,tfidf,0.03202735920596293
ItemKNNCFRecommender,44.099147154134535,156,cosine,bm25,0.03332229113202818
ItemKNNCFRecommender,22.208409437331344,229,cosine,bm25,0.03337260147168157
ItemKNNCFRecommender,75.1937583726316,455,cosine,bm25plus,0.0327845374209
ItemKNNCFRecommender,35.29864618420126,427,rp3beta,tfidf,0.03134926158285919
ItemKNNCFRecommender,194.863492107204,318,rp3beta,tfidf,0.027191578471709405
ItemKNNCFRecommender,72.24736339366697,248,cosine,bm25plus,0.032763313285379785
ItemKNNCFRecommender,156.39711779548463,253,cosine,bm25,0.03334641150949275
ItemKNNCFRecommender,138.17894728943517,319,cosine,bm25plus,0.032728949241321
ItemKNNCFRecommender,107.00342462197699,385,rp3beta,bm25plus,0.028952180390993575
ItemKNNCFRecommender,10.028239857052762,108,rp3beta,bm25,0.03209301371605422
ItemKNNCFRecommender,170.3243329638797,214,cosine,bm25,0.03334672932376374
ItemKNNCFRecommender,199.5500772509231,213,cosine,bm25,0.03336029131486905
ItemKNNCFRecommender,109.17377266771227,180,cosine,bm25,0.033345554167588186
ItemKNNCFRecommender,129.03993298631423,262,cosine,bm25,0.03334306215308649
ItemKNNCFRecommender,76.7147470674885,124,cosine,bm25,0.033312160990177246
ItemKNNCFRecommender,198.4656607887179,197,cosine,bm25,0.033327800553592926
ItemKNNCFRecommender,51.16390043897113,497,cosine,bm25,0.033251774096611605
ItemKNNCFRecommender,173.43230029020268,275,rp3beta,bm25,0.02692934757127905
ItemKNNCFRecommender,131.87625325617012,225,cosine,tfidf,0.03192922504600369
ItemKNNCFRecommender,96.87865964830009,170,cosine,bm25,0.03330711239303184
ItemKNNCFRecommender,172.94897794751216,202,cosine,bm25,0.03332107551943877
ItemKNNCFRecommender,170.15176705091346,225,cosine,bm25,0.033367075851075644
ItemKNNCFRecommender,188.7332815279909,287,cosine,bm25,0.03333604345736413
ItemKNNCFRecommender,152.49246252667044,142,cosine,bm25,0.033313167389033956
ItemKNNCFRecommender,182.94808463912904,229,cosine,bm25,0.033362200539267604
ItemKNNCFRecommender,152.16998358772295,301,cosine,bm25,0.033339985629715
ItemKNNCFRecommender,179.34319517851222,236,rp3beta,bm25plus,0.027538331226726404
ItemKNNCFRecommender,117.2352378974385,343,cosine,tfidf,0.03202791519826444
ItemKNNCFRecommender,29.01811335522227,184,cosine,bm25,0.03332627592893066
ItemKNNCFRecommender,89.54855065418114,145,cosine,tfidf,0.03183828270887377
ItemKNNCFRecommender,185.5986798539349,226,cosine,bm25,0.03336720053277618
ItemKNNCFRecommender,159.1632444468705,235,cosine,bm25,0.033365320312169544
ItemKNNCFRecommender,166.84219781673175,280,cosine,bm25,0.03333908547180004
ItemKNNCFRecommender,142.33335604631404,161,cosine,bm25,0.03331903806040849
ItemKNNCFRecommender,164.2656716570361,254,cosine,bm25,0.033342924017096584
