recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.881752799515224,0.6350597064159064,172,0.04565633899694099
RP3betaRecommender,0.1811276957501308,0.5651211956546911,481,0.044321524314230386
RP3betaRecommender,0.45740023218754644,0.22013912037660788,381,0.042377019982758286
RP3betaRecommender,0.6120493037045711,0.8657802368319769,108,0.02800430052326398
RP3betaRecommender,0.6912842210213259,0.35880246808697325,419,0.042929844172980215
RP3betaRecommender,0.7714323866235081,0.7996098439109446,194,0.033421764456969864
RP3betaRecommender,0.3976310103026056,0.33743428106026896,170,0.04715070174851709
RP3betaRecommender,0.25317041312031496,0.20770330293787823,349,0.04304081484789773
RP3betaRecommender,0.15818503030677286,0.51769013182737,392,0.04543254433040245
RP3betaRecommender,0.18081711557374308,0.7106189056728431,391,0.036303226193767676
RP3betaRecommender,0.40662851236771635,0.39699140570376407,239,0.046300607775972245
RP3betaRecommender,0.39936678709621565,0.412421713603168,243,0.046318480771200175
RP3betaRecommender,0.3237644100909454,0.37938070783790656,272,0.04571469795209485
RP3betaRecommender,0.5954197303739668,0.13902318238752354,100,0.04772350332117639
RP3betaRecommender,0.5797986300112421,0.10512206939565402,107,0.047231998218803216
RP3betaRecommender,0.5494177723364447,0.10158474397288136,102,0.04717614897331735
RP3betaRecommender,0.5964126758140456,0.13492894904647246,145,0.046760615771797666
RP3betaRecommender,0.7076717328252045,0.25040383220478213,311,0.043099427079363116
RP3betaRecommender,0.5164623971153267,0.2709455512659048,216,0.045702746589382476
RP3betaRecommender,0.8251773242757929,0.15489240901148565,136,0.04652968983487273
RP3betaRecommender,0.6675261662951057,0.47325308013467166,138,0.047606033620687625
RP3betaRecommender,0.6752287792529693,0.46157546797330706,135,0.04761376962937585
RP3betaRecommender,0.6734598660127813,0.6155264441574508,146,0.045267561155827786
RP3betaRecommender,0.7643939387844575,0.47181545220991694,194,0.04677559681704566
RP3betaRecommender,0.6476419321634264,0.44768330674774653,137,0.04763330494415164
RP3betaRecommender,0.7669420080214769,0.3018330917695943,166,0.04658569335098902
RP3betaRecommender,0.475744995972169,0.672087971335577,290,0.04260873060424646
RP3betaRecommender,0.6182789291494675,0.549919728439827,208,0.046363974741044645
RP3betaRecommender,0.5161680994587983,0.44070046006050834,118,0.04778467536397946
RP3betaRecommender,0.8933752544348434,0.7496471309580481,168,0.038293437095193956
RP3betaRecommender,0.5244534555592163,0.6011624001693017,116,0.04542737632122803
RP3betaRecommender,0.6244148776692089,0.4133734099710087,122,0.047593021102886934
RP3betaRecommender,0.7276392788340424,0.47174717661573307,164,0.04735125404457179
RP3betaRecommender,0.5559835744663377,0.5658290931300433,460,0.045633492355347215
RP3betaRecommender,0.45167125058796376,0.4442259013566031,131,0.0478243548978989
RP3betaRecommender,0.4571775353340649,0.32549753962282424,103,0.04815980444041127
RP3betaRecommender,0.4370384474672842,0.18718869446555775,100,0.048026015639927006
RP3betaRecommender,0.33505583650389426,0.3292437473980526,188,0.046762654480942766
RP3betaRecommender,0.4422187229414353,0.21997512688061108,158,0.04679343970908715
RP3betaRecommender,0.3258152019390802,0.3034465059254898,122,0.04777911987285786
RP3betaRecommender,0.2330828376264386,0.19201721752869685,231,0.04507996899857608
RP3betaRecommender,0.3347955658342722,0.29067022267574055,122,0.0478225456453723
RP3betaRecommender,0.4421153087457191,0.25536557638657137,187,0.04621670188969087
RP3betaRecommender,0.3504807626587866,0.3512250600590324,122,0.047915086743202745
RP3betaRecommender,0.2891067882716222,0.3552238983527253,101,0.04826583518380289
RP3betaRecommender,0.2407766546355145,0.33891002671082343,103,0.048032954483620625
RP3betaRecommender,0.12343305073570146,0.3533217687147622,106,0.04770091660793289
RP3betaRecommender,0.2698365856724768,0.18099902804790374,152,0.04709320240743615
RP3betaRecommender,0.37023813098364466,0.3792297836519093,340,0.04453801534777358
RP3betaRecommender,0.22136557103463805,0.3310863781271254,178,0.04697882973260709
RP3betaRecommender,0.2768302941256679,0.23601523655814727,101,0.04812516686039533
RP3betaRecommender,0.2757007039754609,0.24815868824232262,100,0.048144668668520636
RP3betaRecommender,0.28261443050001056,0.2358899715594256,103,0.048032673443406414
RP3betaRecommender,0.28077668303082015,0.24137129697479168,103,0.04797476444478943
RP3betaRecommender,0.19740762993045566,0.8789501437442693,152,0.023705096464888237
RP3betaRecommender,0.29809987723927506,0.2803224907144535,417,0.042768704384921356
RP3betaRecommender,0.1418291362046745,0.228710862117391,114,0.0477421528506027
RP3betaRecommender,0.17599064470439046,0.31393107421510463,100,0.04813029153747239
RP3betaRecommender,0.18074411744197894,0.31343609569235237,134,0.04756501584524231
RP3betaRecommender,0.24802156684297225,0.38744078772977053,499,0.04385878771511148
RP3betaRecommender,0.20145041477064096,0.15429884709711328,149,0.04710396392484958
RP3betaRecommender,0.2946628223898349,0.269398120212861,103,0.048252711542513094
RP3betaRecommender,0.10361406824463375,0.27263996285846137,127,0.04733463016074685
RP3betaRecommender,0.30282310270977736,0.41807704408720586,101,0.04780854696303768
RP3betaRecommender,0.1553666827248631,0.36383017170174253,261,0.045772171728700885
RP3betaRecommender,0.371628212019434,0.32342042519889735,114,0.04795865212881096
RP3betaRecommender,0.25104801740703075,0.26053195539137164,139,0.047368141823279274
RP3betaRecommender,0.20748207670902535,0.20030995538080748,116,0.0478060021376929
RP3betaRecommender,0.17296231474982363,0.27918583495408417,142,0.047378247220606594
RP3betaRecommender,0.40021438126854103,0.8408227514165838,205,0.028083555065441412
RP3betaRecommender,0.30178297646543045,0.16823498015493046,127,0.04760770272484142
RP3betaRecommender,0.23206987273359925,0.23503674488033818,102,0.04819871767284689
RP3betaRecommender,0.2311867686095306,0.3055194557384651,113,0.047896927685703604
RP3betaRecommender,0.2607521407122121,0.21637298709730368,110,0.047954428348810106
RP3betaRecommender,0.37771061698779634,0.1303675510942722,100,0.04731244097265346
RP3betaRecommender,0.21895763805816357,0.5013877768030179,134,0.046632437632172806
RP3betaRecommender,0.31212459932919046,0.25385792562793963,127,0.04777866070496464
RP3betaRecommender,0.15111359885631132,0.3382084933105255,160,0.04696631481665139
RP3betaRecommender,0.48570259353160045,0.21081926752146807,111,0.048047695788513305
RP3betaRecommender,0.4270455101853237,0.2050866577165233,113,0.04776541271719706
RP3betaRecommender,0.4925898221753745,0.2894241714521319,178,0.04661505111682875
RP3betaRecommender,0.3491941986360583,0.23473393023231565,100,0.04827491716481419
RP3betaRecommender,0.351853252035026,0.23583076585866283,143,0.047312554291925935
RP3betaRecommender,0.4208056900473075,0.1665938608038111,123,0.04767601900681881
RP3betaRecommender,0.4654404414129942,0.21661980909402398,110,0.04802739867907604
RP3betaRecommender,0.27555021759337306,0.25460562992528446,131,0.04758877300253641
RP3betaRecommender,0.5467975023459722,0.29314064264094336,100,0.04812568857713387
RP3betaRecommender,0.5270535867048103,0.3696744117239858,353,0.044081113606730886
RP3betaRecommender,0.5642885556586469,0.2999444574426837,156,0.047065307160355584
RP3betaRecommender,0.34445606544800367,0.4011113293524537,121,0.047805383907623906
RP3betaRecommender,0.2929526987669083,0.2757127862896879,144,0.04734135642073095
RP3betaRecommender,0.5058401439654889,0.18784042418740798,111,0.04786763173161859
RP3betaRecommender,0.5827930732541036,0.3159464217024103,107,0.048182338075833143
RP3betaRecommender,0.6125412473164019,0.31042702360859586,100,0.0482494903120537
RP3betaRecommender,0.5881203742518679,0.32076742535126646,121,0.047814201637507346
RP3betaRecommender,0.5637203090956892,0.3498570436245104,100,0.04817452420749452
RP3betaRecommender,0.6444071853205162,0.34023719577214206,128,0.04751088698683841
RP3betaRecommender,0.6135927266725847,0.31256957310116973,108,0.04809124280106447
RP3betaRecommender,0.6372273928738346,0.3589000916035098,135,0.04754625794844483
RP3betaRecommender,0.5993766532288507,0.2636249541986872,118,0.04780793240566677
RP3betaRecommender,0.5670974538628973,0.3738907681128123,100,0.04792789928892538
RP3betaRecommender,0.5764242813479974,0.4231925236793976,111,0.04774635667357582
RP3betaRecommender,0.5469881097046005,0.2960399120711224,107,0.048204540492381716
RP3betaRecommender,0.5367269521909115,0.39180940910571516,120,0.04772710200267996
RP3betaRecommender,0.542309433165163,0.3481023130290177,107,0.04792714363790151
RP3betaRecommender,0.6924752106498624,0.32379438141528566,130,0.047406965369812565
RP3betaRecommender,0.6004695670315955,0.2922631633659227,149,0.047132630816638384
RP3betaRecommender,0.6610880356909956,0.26971656154677615,107,0.04795100457146628
RP3betaRecommender,0.26355894252860446,0.23927925462951155,139,0.0472239977927091
RP3betaRecommender,0.6255176223844995,0.28652278445209595,116,0.04774237874522338
RP3betaRecommender,0.31674568589462926,0.3204019374355883,125,0.047818284956623526
RP3betaRecommender,0.5475835891214599,0.29890376693610976,102,0.0480966284642945
RP3betaRecommender,0.578743956613128,0.2505234695932877,101,0.048184694765373765
RP3betaRecommender,0.5788447147681586,0.2711225945904658,117,0.04794657249317761
RP3betaRecommender,0.5051518418543932,0.24735209487652968,292,0.043901520132158
RP3betaRecommender,0.18984568935833665,0.22518097219626762,100,0.04803416270288797
RP3betaRecommender,0.22688286121652357,0.33431401903029423,109,0.04789448933170303
RP3betaRecommender,0.52404574608175,0.3084766467900524,132,0.04763618853785508
RP3betaRecommender,0.21230680753648357,0.2540145781937637,461,0.04211395819868765
RP3betaRecommender,0.16886391505909615,0.28047161696092887,317,0.04426444506657825
RP3betaRecommender,0.24435782442023113,0.36532668607040564,121,0.0476616214882419
RP3betaRecommender,0.5625084591316692,0.29743965393857325,102,0.048097904370631106
RP3betaRecommender,0.5990672835566472,0.3541915491205211,100,0.04806460975353071
RP3betaRecommender,0.6298738384661713,0.3137194511738376,109,0.047994713366322155
RP3betaRecommender,0.54576857195954,0.20334181919357547,118,0.047828100660437266
RP3betaRecommender,0.5810291705051233,0.26510374525053115,110,0.047993193523041884
RP3betaRecommender,0.4662013422143668,0.6657282894628687,128,0.042433959303438164
RP3betaRecommender,0.2889645111945627,0.24384295304869208,114,0.048000716810898014
RP3betaRecommender,0.6152232447184962,0.22889635755696688,137,0.04715399178033735
RP3betaRecommender,0.6548511240377101,0.3296897894087111,100,0.048042306191095625
RP3betaRecommender,0.3816313356857951,0.2887477697496205,126,0.047649955511754445
RP3betaRecommender,0.32739768906269073,0.26147218465342226,108,0.04819989358448897
RP3betaRecommender,0.32201057078656764,0.26535014468857493,107,0.048232577964262634
RP3betaRecommender,0.32730780437831597,0.2636036073938848,109,0.048216554281394874
RP3betaRecommender,0.3282176037514381,0.2599548677363806,116,0.04800404577003781
RP3betaRecommender,0.36523161855852443,0.21900008131105697,109,0.04803912320462104
RP3betaRecommender,0.3180435389682355,0.181724884403833,119,0.04771997901340327
RP3betaRecommender,0.34501984968837374,0.23892432169645844,108,0.04806547275876768
RP3betaRecommender,0.3604017334311257,0.27515466008078215,128,0.0477950588062358
RP3betaRecommender,0.31019545443289986,0.2522077149883935,108,0.04800001253072481
RP3betaRecommender,0.3323001535351893,0.2305514373448361,142,0.047227167896951604
RP3betaRecommender,0.29104398812587756,0.30740484292229536,117,0.047833650394233325
RP3betaRecommender,0.8608185784168234,0.34341978620668256,108,0.047548586693226653
RP3betaRecommender,0.26865906099169634,0.2801222783647632,100,0.04822608641437693
RP3betaRecommender,0.2539816495496542,0.27622653527612745,100,0.0482170992875585
RP3betaRecommender,0.2769722102127278,0.27408152349464854,115,0.0479163280099195
RP3betaRecommender,0.3081205234284613,0.28479960422712447,230,0.045779577572674146
RP3betaRecommender,0.25756980048377975,0.20779568389549702,123,0.047830778836793354
RP3betaRecommender,0.3835850175391602,0.263332739071854,266,0.04471755375191983
RP3betaRecommender,0.23751804964260373,0.2989130805386717,100,0.048194027111689325
RP3betaRecommender,0.2395225722674056,0.2987367987418753,107,0.048178033725619566
RP3betaRecommender,0.24924977314331642,0.29926332433520764,108,0.04811592753647925
RP3betaRecommender,0.25504946920589017,0.5433270992022948,101,0.04604765507832703
RP3betaRecommender,0.23101761230853857,0.2861667601839815,115,0.04793367882374091
RP3betaRecommender,0.26674831821401673,0.2630557388897551,125,0.04788250766991478
RP3betaRecommender,0.29329076233038476,0.31684559067328616,100,0.04858649540392457
RP3betaRecommender,0.2968728720657518,0.30975752962322534,134,0.04771725964424405
RP3betaRecommender,0.2804879028645867,0.24494646420567173,108,0.04795160852803293
RP3betaRecommender,0.2332900301970053,0.27527149693295955,121,0.04786158858618803
RP3betaRecommender,0.19899413601280275,0.323556654848389,100,0.04816309632042511
RP3betaRecommender,0.21418951791226462,0.2998377906867609,113,0.04791733934532757
RP3betaRecommender,0.3312643832288556,0.33992399065093937,106,0.04817347570321567
RP3betaRecommender,0.30412712230017913,0.28502778463677025,114,0.04798709533998479
RP3betaRecommender,0.2686114246648027,0.25289720008258104,100,0.04820163536405784
RP3betaRecommender,0.27139562802906575,0.22048666072458692,106,0.04806639796024912
RP3betaRecommender,0.24285331635449636,0.25748386082967456,100,0.04821972736406702
RP3betaRecommender,0.25751886076415964,0.254878949061242,100,0.04817992606986515
RP3betaRecommender,0.31904782754058625,0.239200896621715,382,0.04280712984369212
RP3betaRecommender,0.2876118571122709,0.26492883442525983,118,0.04792744684186009
RP3betaRecommender,0.26635379892947675,0.22821653201174008,126,0.04777599567779697
RP3betaRecommender,0.29755748317381525,0.24965691852613742,114,0.04806322932153257
RP3betaRecommender,0.24969578851810223,0.1949486083262462,100,0.04801773183843482
RP3betaRecommender,0.34573395879374186,0.2571540077220239,108,0.048178640809582875
RP3betaRecommender,0.26105034735939825,0.2750848032002147,100,0.04824886071721194
