recommender,alpha,beta,MAP
ItemKNN+RP3beta,0.21482210741726548,0.922553506420454,0.017435362361939464
ItemKNN+RP3beta,0.6774239999159978,0.702792009042678,0.0174419558997886
ItemKNN+RP3beta,0.6248327167999206,0.913227903520665,0.017435481584578586
ItemKNN+RP3beta,0.6633126216123432,0.09427101575354047,0.017413266057779386
ItemKNN+RP3beta,0.3728648203293543,0.5407435545481503,0.017436567744095962
ItemKNN+RP3beta,0.9072244134849548,0.4913730885760025,0.017419233779283453
ItemKNN+RP3beta,0.20725587449876504,0.6358928843508406,0.0174456386072354
ItemKNN+RP3beta,0.7009921569229288,0.8553497457770033,0.017442386032568136
ItemKNN+RP3beta,0.7640244414915147,0.30578206978397793,0.01742261565601236
ItemKNN+RP3beta,0.9981748419125551,0.17091644458446376,0.017414582842860068
ItemKNN+RP3beta,0.09460060789601471,0.6386774480327057,0.017393018635400912
ItemKNN+RP3beta,0.4099369115206455,0.7670905063247231,0.01743014617575522
ItemKNN+RP3beta,0.2444664254358236,0.8129533428108334,0.017439641022409875
ItemKNN+RP3beta,0.43450008612557556,0.40466513828525996,0.017438604449994073
ItemKNN+RP3beta,0.05002538572413867,0.9942802050262055,0.017188298969374984
ItemKNN+RP3beta,0.5745574727606111,0.6308940079758497,0.01744046328419556
ItemKNN+RP3beta,0.8304891906431034,0.8298392269628909,0.017442185775077276
ItemKNN+RP3beta,0.27401191580491807,0.551891877130513,0.017431528877020402
ItemKNN+RP3beta,0.5103857352100355,0.3574594082510334,0.01742376546211016
ItemKNN+RP3beta,0.16544581537766162,0.714232681929841,0.017431236129343452
ItemKNN+RP3beta,0.3222366045726902,0.9975771347142337,0.017444776490987423
ItemKNN+RP3beta,0.33216364864648135,0.8969971828886084,0.017437892870251017
ItemKNN+RP3beta,0.49876799658528903,0.9891196826525036,0.01743165089252653
ItemKNN+RP3beta,0.0008731512147606701,0.8469664285071221,0.01654624388024898
ItemKNN+RP3beta,0.1552768542002751,0.706284510817027,0.017426991956256882
ItemKNN+RP3beta,0.7657146047685657,0.7659270837200224,0.017441815609825786
ItemKNN+RP3beta,0.2811473726418259,0.9981004919053211,0.017437181773267973
ItemKNN+RP3beta,0.5064025475566872,0.6334407070371874,0.017443004557889236
ItemKNN+RP3beta,0.4973437410580279,0.46082712378839086,0.017439441119240933
ItemKNN+RP3beta,0.17375282870172148,0.6074115564365646,0.01743885871245311
ItemKNN+RP3beta,0.36853578981479984,0.2620049038033288,0.017424943517578253
ItemKNN+RP3beta,0.5434983210978164,0.944670430814367,0.01742852176561123
ItemKNN+RP3beta,0.4361181649780329,0.9018915062677532,0.01743294326484479
ItemKNN+RP3beta,0.7086867797238691,0.7689647880364221,0.017441147973572168
ItemKNN+RP3beta,0.6127396016706166,0.6641343514780191,0.017441771175070037
ItemKNN+RP3beta,0.3451088552858317,0.5434505089857968,0.0174362291678662
ItemKNN+RP3beta,0.3102532303727473,0.8929612479922506,0.01744109447037822
ItemKNN+RP3beta,0.6820618560745946,0.5907331103387305,0.017435579496854866
ItemKNN+RP3beta,0.21465099826541623,0.43907040425505894,0.017431683055597006
ItemKNN+RP3beta,0.11085601288143448,0.6884368204900393,0.017398372251522548
ItemKNN+RP3beta,0.6260508814831768,0.938292055367956,0.01743854015235927
ItemKNN+RP3beta,0.8623122180403331,0.826960735776282,0.017441637474699415
ItemKNN+RP3beta,0.8415064345628883,0.8606513366092592,0.01744350477215426
ItemKNN+RP3beta,0.9489773212402255,0.7530210315624735,0.017428470872732884
ItemKNN+RP3beta,0.7780911296964391,0.8655725118319036,0.017441505527941825
ItemKNN+RP3beta,0.8388873855310386,0.02989710048445582,0.01741133812040124
ItemKNN+RP3beta,0.7123772210739578,0.9560251589391268,0.01743821537289707
ItemKNN+RP3beta,0.895311723461418,0.7736731855057479,0.017435160070344197
ItemKNN+RP3beta,0.9610284607465027,0.5147236484427007,0.017419856740249772
ItemKNN+RP3beta,0.40252562836265676,0.5824455988247211,0.01743628728002781
ItemKNN+RP3beta,0.46418756428979624,0.8079354861166326,0.017428920477792268
ItemKNN+RP3beta,0.8477060067912996,0.863686418717942,0.01744300871603573
ItemKNN+RP3beta,0.7936238479496152,0.8692895002218978,0.017440078378934867
ItemKNN+RP3beta,0.8810137188644749,0.7377380312635274,0.017432526474586898
ItemKNN+RP3beta,0.724744406845975,0.8007528599765271,0.01744214093534265
ItemKNN+RP3beta,0.8297665277141707,0.6580095454410007,0.017428464025824545
ItemKNN+RP3beta,0.9338867104277622,0.917029435560687,0.01744204279075598
ItemKNN+RP3beta,0.20498894967529835,0.9700214954101373,0.01742160451649454
ItemKNN+RP3beta,0.6448937168087461,0.8499482785424124,0.01743854408681719
ItemKNN+RP3beta,0.2541490574627308,0.7275154660528242,0.017440988113649747
ItemKNN+RP3beta,0.57873150070052,0.8811540376682897,0.017438610495369513
ItemKNN+RP3beta,0.8166870442618255,0.791975645929557,0.017442052856405984
ItemKNN+RP3beta,0.7567594923169793,0.8277832604412101,0.017440029780733845
ItemKNN+RP3beta,0.12093434125973072,0.690215835623534,0.01740558096358564
