recommender,alpha,beta,MAP
ItemKNN+RP3beta,0.23013004268417092,0.6603341622821555,0.005031463954270337
ItemKNN+RP3beta,0.2325673166396095,0.8093074694562629,0.005058302813668251
ItemKNN+RP3beta,0.5209138694324764,0.49518494395275503,0.004934163090377492
ItemKNN+RP3beta,0.7822974725971086,0.9407817305547218,0.0049524569731844315
ItemKNN+RP3beta,0.7184413553275067,0.011174840150474763,0.004850291066862927
ItemKNN+RP3beta,0.4689419971948232,0.8317039324198686,0.004984854390992354
ItemKNN+RP3beta,0.761011409323337,0.5506994232421384,0.0049229437845620195
ItemKNN+RP3beta,0.7570737596429681,0.8536120505600191,0.0049439176602848805
ItemKNN+RP3beta,0.6050993680283017,0.1789541303587403,0.00488298878795216
ItemKNN+RP3beta,0.4788865288771156,0.7980138146825121,0.0049771095231228605
ItemKNN+RP3beta,0.04351372706589582,0.3854030064867027,0.005022138078499927
ItemKNN+RP3beta,0.20295197994627698,0.660374033531265,0.00504843359961282
ItemKNN+RP3beta,0.26187486382296454,0.6796680683042977,0.005029461000946339
ItemKNN+RP3beta,0.24790991664990283,0.9991843695256034,0.005066480617771345
ItemKNN+RP3beta,0.05471824000497455,0.9827073177404821,0.005001076241732468
ItemKNN+RP3beta,0.4032893831226498,0.9842951974881938,0.005030920144727678
ItemKNN+RP3beta,0.3153238372411483,0.7553893350363861,0.005027596915631562
ItemKNN+RP3beta,0.14759244712027128,0.33416925745687276,0.005024970212587329
ItemKNN+RP3beta,0.9455095419885766,0.8844004191965609,0.0049327423924969485
ItemKNN+RP3beta,0.3568189285247165,0.5209801963766192,0.004963757184209146
ItemKNN+RP3beta,0.13309558154530565,0.74883377583237,0.005052058696903383
ItemKNN+RP3beta,0.15699033884708835,0.7728551551619355,0.0050575927250840515
ItemKNN+RP3beta,0.11161871141615465,0.8989735771390347,0.005031281822262792
ItemKNN+RP3beta,0.010429606780636924,0.7327483386043645,0.004973300896648093
ItemKNN+RP3beta,0.29079809220957686,0.5938130597865987,0.005017616738625642
ItemKNN+RP3beta,0.1893283060770707,0.9116647566669027,0.005058940134076337
ItemKNN+RP3beta,0.3796957106389802,0.9957502006003331,0.005032964225157568
ItemKNN+RP3beta,0.22152547211295537,0.901609194574251,0.005062955826086536
ItemKNN+RP3beta,0.5860232575911656,0.9078683749523027,0.004969429543901725
ItemKNN+RP3beta,0.2222937365444949,0.9446113318367315,0.00505895026527238
ItemKNN+RP3beta,0.31824753299323616,0.40095886475279807,0.00495528724548903
ItemKNN+RP3beta,0.18970529341412237,0.9260046705115083,0.005057935973590773
ItemKNN+RP3beta,0.2323110869051549,0.8515931776256381,0.005058357598734728
ItemKNN+RP3beta,0.08276814096770724,0.9434916078008418,0.005013150197678878
ItemKNN+RP3beta,0.4301755073568224,0.8258540784371116,0.005006317122471203
ItemKNN+RP3beta,0.29150230416535733,0.7020912696245227,0.005031376616367582
ItemKNN+RP3beta,0.22983018169151298,0.6180268699064955,0.005037173575864347
ItemKNN+RP3beta,0.17768130642342744,0.9467826635003103,0.00505366245518928
ItemKNN+RP3beta,0.5476397079930468,0.9996105028114184,0.004993056379342939
ItemKNN+RP3beta,0.34235594231679367,0.8442765020669862,0.00503111483090224
ItemKNN+RP3beta,0.0028492341165291535,0.21505096594349277,0.004964603704345957
ItemKNN+RP3beta,0.26531537112564363,0.870542159940167,0.005048570177310563
ItemKNN+RP3beta,0.21850136674422466,0.812392365357739,0.005058600931793864
ItemKNN+RP3beta,0.10004708239063112,0.8048357913772991,0.005033482561851275
ItemKNN+RP3beta,0.23558961106277626,0.9393435933926059,0.005067254914503563
ItemKNN+RP3beta,0.6745774541747515,0.9435378294516666,0.004960305790710239
ItemKNN+RP3beta,0.43412351383746095,0.8950551440955652,0.005021506781242084
ItemKNN+RP3beta,0.2762421356129301,0.9554186915353885,0.005057198014465584
ItemKNN+RP3beta,0.07628563738303934,0.8705458268984112,0.005013697897605687
ItemKNN+RP3beta,0.18916211626037932,0.958780080526282,0.005053778538586434
ItemKNN+RP3beta,0.13961402943397194,0.06890064686370145,0.004904250030241006
ItemKNN+RP3beta,0.23042700052797788,0.7977651711137845,0.005057605641050207
ItemKNN+RP3beta,0.21457292871074807,0.9077373802058452,0.00506216275713382
ItemKNN+RP3beta,0.33530539454746355,0.917339712360813,0.005038712459030816
ItemKNN+RP3beta,0.8292649491740183,0.9750636151204202,0.004951310994584333
ItemKNN+RP3beta,0.16755359328225639,0.8836153735621614,0.005054122452951476
ItemKNN+RP3beta,0.26261246206077776,0.922278922264411,0.0050598843064608824
ItemKNN+RP3beta,0.2576885711640922,0.7133434417150639,0.00503831958798489
ItemKNN+RP3beta,0.11796183258907045,0.7655898936818929,0.005041584952403859
ItemKNN+RP3beta,0.3668870667750633,0.9998028681486906,0.00503723677041273
ItemKNN+RP3beta,0.3075389587326578,0.8545421005270329,0.00503504254209606
ItemKNN+RP3beta,0.20478222173476002,0.9169657367325488,0.005061249541581134
ItemKNN+RP3beta,0.23962962195263066,0.9254991401255571,0.005068417330975332
ItemKNN+RP3beta,0.25940742895110164,0.9154666133902354,0.005058946431520253
ItemKNN+RP3beta,0.14848914916673922,0.9738240138725945,0.005042774524839464
ItemKNN+RP3beta,0.3986197072905917,0.7789967104208674,0.005010254814806641
ItemKNN+RP3beta,0.036036907033842325,0.833518437510245,0.004998806438249404
ItemKNN+RP3beta,0.2044023148533104,0.8802513708283444,0.00506220949972224
ItemKNN+RP3beta,0.2095066148629928,0.455089771962322,0.005021831492722468
ItemKNN+RP3beta,0.060592293453841234,0.8839073155011978,0.005020167388509698
ItemKNN+RP3beta,0.3114047295199249,0.9671276190611957,0.00505189357040193
ItemKNN+RP3beta,0.2611596410541338,0.9228016499839152,0.0050576662653137455
ItemKNN+RP3beta,0.16541683330975737,0.8900036563255193,0.005053917875992881
ItemKNN+RP3beta,0.19486318233962452,0.8446380579575438,0.005060841748326053
ItemKNN+RP3beta,0.19783596970986206,0.8528924931351399,0.005061926682607159
ItemKNN+RP3beta,0.12822138630507218,0.8743115347125349,0.005045281675473999
ItemKNN+RP3beta,0.09627518002661774,0.6437424152437065,0.005044773984948938
ItemKNN+RP3beta,0.2903130886162456,0.28439308617484693,0.004940784981636884
ItemKNN+RP3beta,0.23423664975569344,0.79412509060347,0.005052034537177722
ItemKNN+RP3beta,0.16387464562043802,0.7397318800512933,0.005060038242688585
ItemKNN+RP3beta,0.2044274657174298,0.8259586624955404,0.005064275250996743
ItemKNN+RP3beta,0.21089663593693736,0.8222009415067071,0.005068809949164564
ItemKNN+RP3beta,0.23828645274530408,0.8575844421955073,0.00505624618561123
ItemKNN+RP3beta,0.3400791143365062,0.9384413673928289,0.005039609157741967
ItemKNN+RP3beta,0.18279386436546574,0.8093270629647679,0.005058419774057149
ItemKNN+RP3beta,0.2956574179560737,0.8230568730793307,0.005036004639278185
ItemKNN+RP3beta,0.13973140660083266,0.5785260567271389,0.005059664525090762
ItemKNN+RP3beta,0.21442909256294748,0.9788954794313934,0.005061995957485219
ItemKNN+RP3beta,0.2469696168495119,0.9600721239892112,0.005067899201459462
ItemKNN+RP3beta,0.985518848433878,0.9001803454455322,0.00493229898241258
ItemKNN+RP3beta,0.24242039227197923,0.9604592494723877,0.00506754646594354
ItemKNN+RP3beta,0.23999286360981376,0.9600898198584493,0.005066388067527645
ItemKNN+RP3beta,0.24354606148226698,0.9508172269387173,0.005068809949164564
ItemKNN+RP3beta,0.2430320954656385,0.9591054452282824,0.005066641642970539
ItemKNN+RP3beta,0.2495601738764633,0.9563192801341391,0.005065595881368686
ItemKNN+RP3beta,0.3277970848756352,0.9558534444377382,0.005034906087174287
ItemKNN+RP3beta,0.244338880921682,0.9966205123723834,0.005062246039208026
ItemKNN+RP3beta,0.2790232087112606,0.9402451278626667,0.005049822112718462
ItemKNN+RP3beta,0.3553976004118007,0.9804354064266262,0.005039609157741967
