recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.4052810901556013,0.7127948041070956,633,0.014306721952327068
RP3betaRecommender,0.8307537114195503,0.5582682953200439,374,0.01779407583203975
RP3betaRecommender,0.1060020020897504,0.7393490991652243,232,0.012640851660500775
RP3betaRecommender,0.8159201046998107,0.6464042418911639,450,0.016745322223163026
RP3betaRecommender,0.26936007628234293,0.16653446094642038,808,0.015627324915396885
RP3betaRecommender,0.49283217628270437,0.4453024537593785,377,0.01797991325329158
RP3betaRecommender,0.3046220265443449,0.4216204718464631,416,0.017836472794578315
RP3betaRecommender,0.7869687010493873,0.5012949581690966,498,0.01775581341568955
RP3betaRecommender,0.2873049911412735,0.25898583976924083,780,0.01622448595699755
RP3betaRecommender,0.5722171530201485,0.8996145200408845,688,0.006748380195883385
RP3betaRecommender,0.6048568211406292,0.3629001199199633,102,0.018607255059703818
RP3betaRecommender,0.6442725280096988,0.3522302330639455,120,0.01854452607024216
RP3betaRecommender,0.6481366489333029,0.3045260704925086,101,0.018670880875343326
RP3betaRecommender,0.6753760933959594,0.10327498981682282,109,0.01821765527008944
RP3betaRecommender,0.6744540824631463,0.2927418669437519,224,0.01786815399743356
RP3betaRecommender,0.500930595722754,0.23761627890010503,216,0.017758084291009012
RP3betaRecommender,0.7327625507348303,0.36389413127038306,980,0.016698239417062607
RP3betaRecommender,0.5638213171556877,0.5676921453683003,290,0.017942165194765398
RP3betaRecommender,0.4316258535543353,0.17144168910523108,104,0.018400903062207017
RP3betaRecommender,0.5847885991993378,0.3336796977747566,317,0.01764674874543921
RP3betaRecommender,0.7415654577472911,0.42954544178264076,561,0.01744420373709285
RP3betaRecommender,0.6462072332690783,0.3638408070565934,144,0.018433165648375095
RP3betaRecommender,0.6208499386917357,0.22828918552381045,169,0.01804113728584381
RP3betaRecommender,0.8736796771185367,0.3238793307607406,292,0.01750386634217474
RP3betaRecommender,0.7169486295958742,0.4850251069736454,179,0.018335832358555796
RP3betaRecommender,0.5152268304667871,0.38928844590014966,286,0.018011104652512017
RP3betaRecommender,0.43395268843018736,0.2868780270913709,110,0.01855034128882949
RP3betaRecommender,0.39078857118333643,0.1555153005682228,210,0.017619045028092254
RP3betaRecommender,0.4549369101101779,0.2800623965688089,336,0.01734232409143849
RP3betaRecommender,0.3753551172651517,0.20588128078169127,563,0.016205363499381165
RP3betaRecommender,0.14507116625172528,0.5142962612078297,242,0.01780645121673016
RP3betaRecommender,0.5625719871080361,0.3112901606019948,100,0.01866476640280185
RP3betaRecommender,0.512600767282392,0.3088069316035943,100,0.018656432207881195
RP3betaRecommender,0.5375767477921073,0.39533474913583616,164,0.01840569431076104
RP3betaRecommender,0.6049864436334036,0.3095574492277026,174,0.018235221888593275
RP3betaRecommender,0.4799416216228607,0.5983274768934719,244,0.01752033653141785
RP3betaRecommender,0.533909291002029,0.46464237609680126,357,0.018070831938864426
RP3betaRecommender,0.6681561591433363,0.695197641397424,157,0.015803677804179916
RP3betaRecommender,0.36380915530043517,0.19040071003568468,465,0.016431520954310077
RP3betaRecommender,0.7027952964504268,0.13409152034222957,388,0.016396365493463738
RP3betaRecommender,0.7662979677728177,0.4035970643670226,923,0.016934102162298025
RP3betaRecommender,0.449647582528209,0.27530020616333134,104,0.018548768996015774
RP3betaRecommender,0.5565749169233652,0.2395393797043544,100,0.01859468880811302
RP3betaRecommender,0.5663632860150927,0.2318193311221238,183,0.01796680043762602
RP3betaRecommender,0.6353862162315416,0.2479423971616167,260,0.017485562445353434
RP3betaRecommender,0.6061651016965769,0.3259429759738787,149,0.01837940659722996
RP3betaRecommender,0.5479327682334695,0.7783986038771677,200,0.012619663303268086
RP3betaRecommender,0.3403373270608938,0.3714910065029164,136,0.018371747124686543
RP3betaRecommender,0.48330066638205427,0.21033538155333714,679,0.015997083729870534
RP3betaRecommender,0.21942953224078027,0.2583650525621767,210,0.017767193409209122
RP3betaRecommender,0.824474411011809,0.11425971181561115,124,0.018170807936818356
RP3betaRecommender,0.4248000988173878,0.29416700296775405,129,0.018416402796047757
RP3betaRecommender,0.5917167601332637,0.3378918003576259,108,0.018582343283407025
RP3betaRecommender,0.5909800849736688,0.34339633734336233,103,0.018624484465797495
RP3betaRecommender,0.6887927220968488,0.4545583956713961,263,0.018179998772538876
RP3betaRecommender,0.5195487549734314,0.4102717754451276,145,0.0184338179971849
RP3betaRecommender,0.650460320694536,0.3591860835975804,197,0.01821623254469237
RP3betaRecommender,0.5710678851356519,0.31431083068308896,834,0.01649129173565718
RP3betaRecommender,0.4988342638798752,0.5224040849411883,105,0.01805821556128572
RP3betaRecommender,0.6211952881131273,0.42794431933718907,230,0.01827894575685259
RP3betaRecommender,0.5575835864235457,0.17254578285636896,603,0.015911475554046497
RP3betaRecommender,0.6614140831789015,0.34626049124471914,101,0.018625770320078863
RP3betaRecommender,0.7522824304407114,0.26300210636686694,100,0.018628206963013327
RP3betaRecommender,0.7821826624525088,0.3611524344261816,147,0.018430470677418754
RP3betaRecommender,0.7400888533897836,0.2981488289136494,179,0.018125717329689563
RP3betaRecommender,0.6604922227693423,0.2716954020605017,136,0.018381078849570687
RP3betaRecommender,0.8731483181414184,0.33384817611897444,162,0.018250805520933958
RP3betaRecommender,0.7127657189455542,0.3770590904160001,194,0.01826326603007951
RP3betaRecommender,0.6289365138937852,0.34954275383240346,128,0.01852161931371063
RP3betaRecommender,0.5951340044951556,0.20566261781687867,314,0.017070830986947613
RP3betaRecommender,0.6823544517978202,0.47956694303040603,271,0.01822124386980265
RP3betaRecommender,0.530233922812605,0.25106230626786447,105,0.018560500886495565
RP3betaRecommender,0.7617770577887385,0.30360996648921645,105,0.018634266498962306
RP3betaRecommender,0.7865934478246553,0.3003676974187385,152,0.018279765932321734
RP3betaRecommender,0.8377712642237878,0.3171374291133107,180,0.018116350607645725
RP3betaRecommender,0.742758034183626,0.2787994538053271,223,0.017779842986933168
RP3betaRecommender,0.6928444739868106,0.39447034423464955,100,0.01862531772097824
RP3betaRecommender,0.7671119825138738,0.43360622936589577,130,0.018449341318742114
RP3betaRecommender,0.7235579836462093,0.39109703319957373,165,0.018372003226420425
RP3betaRecommender,0.6909397908501573,0.8772416349609858,123,0.009243581734993558
RP3betaRecommender,0.8451127268925442,0.34538527518318307,209,0.01799273017368877
RP3betaRecommender,0.6517806830842984,0.378474012503196,101,0.01856836041264868
RP3betaRecommender,0.6143516530200606,0.31350275325110494,158,0.018290876718759865
RP3betaRecommender,0.6679925135380442,0.26415983710363,123,0.018492197332289982
RP3betaRecommender,0.7615372123231068,0.4095755886102069,181,0.0183298519889294
RP3betaRecommender,0.8130383315028823,0.22658438529674552,101,0.018528261737577118
RP3betaRecommender,0.5847655957461798,0.3355587480407287,507,0.017059684062297662
RP3betaRecommender,0.46667660404310796,0.2975551733464229,137,0.01839429300134925
RP3betaRecommender,0.6361415170409509,0.38067042120261596,156,0.018421118987686124
RP3betaRecommender,0.702580079922528,0.3547531373131105,243,0.01795258751056833
RP3betaRecommender,0.8056050068036215,0.2824750386931021,122,0.01848085303373782
RP3betaRecommender,0.5151644344240831,0.24974359688209796,120,0.01848734127117601
RP3betaRecommender,0.5461610748141774,0.2288331342985724,102,0.01856749855478553
RP3betaRecommender,0.5774248932696409,0.32607167432591166,147,0.01838720834278425
RP3betaRecommender,0.603275583970147,0.1914744709159692,200,0.0177144870470829
RP3betaRecommender,0.5074520559653283,0.2692588838494262,100,0.018607413102981602
RP3betaRecommender,0.5128162521877327,0.31580818990085935,173,0.018232988935945684
RP3betaRecommender,0.7544783675579211,0.26308735161931057,767,0.016160409298640214
RP3betaRecommender,0.48676925392263953,0.29262457185648005,138,0.018375208160397904
RP3betaRecommender,0.7198396422727241,0.40091400163003965,119,0.018537427828635603
RP3betaRecommender,0.6984720328013224,0.44777402828595714,190,0.0183785967554821
RP3betaRecommender,0.5652523130585497,0.23999380324468894,101,0.01857836993139794
RP3betaRecommender,0.5468676889373182,0.33474286670503495,139,0.018444450990233046
RP3betaRecommender,0.6194455000229896,0.2778964285754269,162,0.01820111456207962
RP3betaRecommender,0.6701114230121609,0.21957670084667735,128,0.018361257375724697
RP3betaRecommender,0.5273233543780208,0.26256573287951307,115,0.01852400914951581
RP3betaRecommender,0.4648671239556027,0.3640851445135795,413,0.017525479736400167
RP3betaRecommender,0.5047006918696585,0.3020866112967091,149,0.01833197144022997
RP3betaRecommender,0.5925695482620744,0.3457757629146798,100,0.01864661450318886
RP3betaRecommender,0.6382204450103651,0.3519199622074248,180,0.018258855249826147
RP3betaRecommender,0.5870686963037148,0.32605392648414017,222,0.018017719063307038
RP3betaRecommender,0.5562279994254963,0.312777469613569,115,0.018560442977974604
RP3betaRecommender,0.6553988979362294,0.34717451863320875,143,0.018432147031623516
RP3betaRecommender,0.6002499504647416,0.41908985340484567,114,0.01849792840368823
RP3betaRecommender,0.5743544246702396,0.2861296988325956,100,0.018643000290837503
RP3betaRecommender,0.5728333292196166,0.2891071957689743,163,0.01820404499312522
RP3betaRecommender,0.6128398974139114,0.38348241589825693,135,0.018489573373823953
RP3betaRecommender,0.5366323624728636,0.36990819709889383,102,0.018576561003713934
RP3betaRecommender,0.6299151940728639,0.33890798007030465,123,0.018524549525705727
RP3betaRecommender,0.588137673212602,0.3117546772061223,167,0.018251853328485005
RP3betaRecommender,0.6804301275267816,0.2792575789182613,101,0.018657468193046558
RP3betaRecommender,0.7353196554690032,0.27418689414610675,101,0.018666140733304217
RP3betaRecommender,0.6768794075204481,0.2639703996633837,100,0.018626986106034134
RP3betaRecommender,0.7368278554985671,0.24955209064638995,142,0.01830107449501102
RP3betaRecommender,0.6838969299628498,0.28453249379373347,1000,0.016219716069726223
RP3betaRecommender,0.7063808481971229,0.20007078737842737,121,0.01835917975638456
RP3betaRecommender,0.7275229781200292,0.30422389523494126,148,0.018345995020603464
RP3betaRecommender,0.8006559652021823,0.2712644202478356,125,0.01844125001605634
RP3betaRecommender,0.6741402320494656,0.23740767794977538,161,0.01809722975478743
RP3betaRecommender,0.7755061381055077,0.32723465201368596,102,0.018641936478536156
RP3betaRecommender,0.7816287098262779,0.29064165552221566,100,0.01867421778421202
RP3betaRecommender,0.7749018083875557,0.2888195099202689,116,0.01852239962169515
RP3betaRecommender,0.7967368113588716,0.3160445712690878,100,0.01864117793846799
RP3betaRecommender,0.7937743200645709,0.6245981776468946,136,0.017354394900330836
RP3betaRecommender,0.8546181618004688,0.25865508828180334,129,0.01835711111310917
RP3betaRecommender,0.756620699610564,0.3191984385703951,115,0.018592267941302622
RP3betaRecommender,0.8217619705279883,0.21605378566659966,185,0.017773853188220074
RP3betaRecommender,0.7543779995466693,0.30144372779388195,101,0.01866768760344937
RP3betaRecommender,0.7807038731960791,0.30016211452415414,151,0.018293607698043793
RP3betaRecommender,0.7510325540227135,0.27162416885110124,100,0.018664877557941145
RP3betaRecommender,0.7441386863846403,0.28127790392356655,130,0.018435954007431168
RP3betaRecommender,0.7708520317162223,0.24611825057913725,115,0.01845769577280181
RP3betaRecommender,0.791201865576525,0.2691165630704979,101,0.018626247906433305
RP3betaRecommender,0.7481455890547039,0.3264440753709514,138,0.018463055202122023
RP3betaRecommender,0.7151035606273484,0.2987262262736875,100,0.018683325360659215
RP3betaRecommender,0.7276063179123289,0.30304254514491347,156,0.018289677014275692
RP3betaRecommender,0.8116859936024577,0.5440263326212206,122,0.018055964497008928
RP3betaRecommender,0.7602119334376625,0.2900346009076308,171,0.01814172441211238
RP3betaRecommender,0.7157502625358855,0.3274209459756522,143,0.018416516837532797
RP3betaRecommender,0.7369220346485724,0.310351432616853,116,0.0185760784651104
RP3betaRecommender,0.7792769103832924,0.17680537544182728,134,0.018164406467620842
RP3betaRecommender,0.7060729043642957,0.2571125280799957,103,0.018586166436043983
RP3betaRecommender,0.7562290005509629,0.2715533560716581,116,0.01852104271273182
RP3betaRecommender,0.7972925342042386,0.23092791916315025,100,0.01855202617067426
RP3betaRecommender,0.7239303775098712,0.28347509588146164,101,0.018680413861785875
RP3betaRecommender,0.7275827504006153,0.28419381515251846,882,0.016249925987105753
RP3betaRecommender,0.7505368084265337,0.31556210666074913,131,0.018459492016097433
RP3betaRecommender,0.8272249587566517,0.2963892496499612,100,0.018624906413213804
RP3betaRecommender,0.7742954486043072,0.33590854671490944,716,0.016638258082801147
