recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.8547908372848961,0.6075315637351683,408,0.017298686101067568
RP3betaRecommender,0.7326558010319683,0.4639351390933479,490,0.017514684834598046
RP3betaRecommender,0.5783995572912685,0.5619373281754744,357,0.017835136040290883
RP3betaRecommender,0.6354311336596508,0.4423901385163507,387,0.017695784035822417
RP3betaRecommender,0.5831802633430666,0.5581951882996636,380,0.017839591207674758
RP3betaRecommender,0.7861135268703344,0.7075617622028139,315,0.015869916721902626
RP3betaRecommender,0.8071657090593727,0.42593312083322316,417,0.017383980193944364
RP3betaRecommender,0.5365526211618404,0.6201138447452967,466,0.017434290965720075
RP3betaRecommender,0.5063617426754978,0.8639943444377316,473,0.00992986332652523
RP3betaRecommender,0.7113529525549762,0.43483470984109834,407,0.01755328330918268
RP3betaRecommender,0.623129439157802,0.7337614156840411,311,0.015114839562850868
RP3betaRecommender,0.5977914536124997,0.5434544810293717,357,0.017898974161402122
RP3betaRecommender,0.6326281337245951,0.5306010432242064,356,0.01788259719892833
RP3betaRecommender,0.6579375570311085,0.5137057023777293,341,0.017883145069361443
RP3betaRecommender,0.6658187452145173,0.4914558172059813,340,0.017868560232471773
RP3betaRecommender,0.6879557327313841,0.6912609218661427,337,0.016316118404043813
RP3betaRecommender,0.7557592769571039,0.7712384645465622,432,0.013520587018284359
RP3betaRecommender,0.5903931705192896,0.5125177621500434,301,0.017978464347209816
RP3betaRecommender,0.5739327924060418,0.5949914030564902,301,0.01767711935836284
RP3betaRecommender,0.5017084286033913,0.6591265533084142,374,0.016814954324017042
