recommender,alpha,beta,topK,gamma,MAP
RP3betaRecommender,0.4910624343613451,0.11360405088752677,344,62,0.01675635624761555
RP3betaRecommender,0.5511829638757507,0.7090142767838722,319,22,0.015807132070482736
RP3betaRecommender,0.5439282252409383,0.6963526316426056,219,66,0.01613365194677917
RP3betaRecommender,0.4722056510404109,0.7345371235669961,164,65,0.014928353492543331
RP3betaRecommender,0.4083463978415359,0.3447210183844335,346,16,0.017582743991008457
RP3betaRecommender,0.5941774808182522,0.8297191246144505,494,24,0.01187760962909565
RP3betaRecommender,0.6154002491908286,0.5876018137995999,454,64,0.017674300252942973
RP3betaRecommender,0.203914716969423,0.11392675302212095,404,87,0.016265794688318447
RP3betaRecommender,0.8806530484707471,0.7531173630161613,344,19,0.014444848735440045
RP3betaRecommender,0.4248012177920787,0.3686778064729286,257,91,0.01794467839927844
RP3betaRecommender,0.10384256003648151,0.3715377771295758,232,99,0.017830288676339328
RP3betaRecommender,0.110750482484687,0.37109655831169724,225,100,0.01785719933284871
RP3betaRecommender,0.30306295300350317,0.3631103402811665,118,87,0.018327740713814777
RP3betaRecommender,0.3181091418868551,0.25319868537752244,100,85,0.01831427997288957
RP3betaRecommender,0.29049117064760555,0.24555541871474865,105,80,0.01828006102838202
RP3betaRecommender,0.29878556369843107,0.4915335963855959,108,40,0.017960653291042003
RP3betaRecommender,0.3120630050077782,0.26389982483564983,166,45,0.017997152588372024
RP3betaRecommender,0.7756765049946109,0.5004824446352801,147,80,0.018154563090460783
RP3betaRecommender,0.2097632640684834,0.22330800788556018,143,3,0.018023136186973654
RP3betaRecommender,0.37604383641235956,0.4751226814076628,190,75,0.01815906968685674
