recommender,alpha,beta,topK,MAP
RP3betaRecommender,0.8650229666441202,0.25290088258625254,181,0.01764820687704211
RP3betaRecommender,0.6816567721013612,0.41287274609963953,490,0.017332076020941597
RP3betaRecommender,0.5885896254520991,0.3175564475463964,305,0.017400178326485008
RP3betaRecommender,0.3072364494230045,0.16949840659377646,248,0.017207337823215912
RP3betaRecommender,0.4014195523144479,0.744683818893068,453,0.014149240904941561
RP3betaRecommender,0.6011553251086209,0.4360678190360623,379,0.01775336658620892
RP3betaRecommender,0.5212617329455619,0.11666025128311991,394,0.01635458073772096
RP3betaRecommender,0.13128024956772733,0.3765749480388564,182,0.017924095942256513
RP3betaRecommender,0.46823537151809613,0.31055336582417037,190,0.017951292068082807
RP3betaRecommender,0.7326008688813758,0.8945748532884309,355,0.009217880173969703
RP3betaRecommender,0.2577750570240618,0.6355047774518134,116,0.016434356283480493
RP3betaRecommender,0.12062139614278782,0.543238061820038,222,0.01736897586836814
RP3betaRecommender,0.10233654925008179,0.3258062096660112,109,0.01809137120517658
RP3betaRecommender,0.39699660618901567,0.2564349822881266,144,0.018081181057356645
RP3betaRecommender,0.25141126126294555,0.2149606513522004,114,0.018131257869977074
RP3betaRecommender,0.22807979371747517,0.18862979202284155,106,0.018143269895711623
RP3betaRecommender,0.24941364549002398,0.1773902410290883,277,0.01703203987690342
RP3betaRecommender,0.3170144563125278,0.521118704715173,141,0.017868469361831382
RP3betaRecommender,0.2031063241896363,0.19724864628630345,104,0.01815390767206158
RP3betaRecommender,0.2021164771439193,0.10076184451404033,321,0.0165157470449748
RP3betaRecommender,0.3896669531082981,0.6953671313891275,210,0.01564133531386259
RP3betaRecommender,0.21078989546754628,0.21456126371809264,148,0.01786825375453244
RP3betaRecommender,0.32625207498004777,0.18668049613633603,101,0.018262011660985514
RP3betaRecommender,0.32929915703925655,0.16456176592913163,157,0.01783023124361506
RP3betaRecommender,0.1842290397876807,0.2738975676639131,100,0.018218708586853972
RP3betaRecommender,0.171500854804725,0.28812152443752154,243,0.01754046263481621
RP3betaRecommender,0.3476760058986012,0.38603341643016154,169,0.018165451959664947
RP3betaRecommender,0.44903410063570054,0.4668603415206318,166,0.0181882700516919
RP3betaRecommender,0.4525454689233904,0.4683870639661903,133,0.018211026364265328
RP3betaRecommender,0.8727699528217079,0.5894728557576507,207,0.01760279646990651
RP3betaRecommender,0.5304761681311757,0.3495903946227522,132,0.018290752276597252
RP3betaRecommender,0.5354309278801128,0.3557122649390838,133,0.018274332800697814
RP3betaRecommender,0.5441746994553684,0.35119898604051125,136,0.018237103048686823
RP3betaRecommender,0.5507952814764047,0.3517934273646272,133,0.018268317405068884
RP3betaRecommender,0.7000717698105263,0.41471701180107906,197,0.018033858114831814
RP3betaRecommender,0.6145748976508898,0.3523426137089339,252,0.017760890673645932
RP3betaRecommender,0.6457694911896164,0.24424616585756725,172,0.017839273989968128
RP3betaRecommender,0.8184321052040344,0.4327966274515439,129,0.018230546981722037
RP3betaRecommender,0.554077356907976,0.1460661812807956,425,0.01633764822788837
RP3betaRecommender,0.5085341039280291,0.48595249401824725,231,0.0181625659107291
RP3betaRecommender,0.5789164379040985,0.3825889016577133,470,0.01726666917204883
RP3betaRecommender,0.5646792741043212,0.3393578986893131,134,0.01823710912595243
RP3betaRecommender,0.5193323635834778,0.3054048240661126,183,0.017968236742968297
RP3betaRecommender,0.6386888281853256,0.33523832535623327,124,0.01827717490871757
RP3betaRecommender,0.6464989285968844,0.24394059826325343,159,0.017941078255043513
RP3betaRecommender,0.7263984615420671,0.39213684096912915,123,0.018298781884482487
RP3betaRecommender,0.7571115939919605,0.3995456095295753,122,0.018300443989849906
RP3betaRecommender,0.7720369181913445,0.4010550295551218,120,0.018282491990234382
RP3betaRecommender,0.7770272844632485,0.44444297750911343,116,0.01825209512806422
RP3betaRecommender,0.7403621937497593,0.4035980107429722,188,0.018036440686286348
RP3betaRecommender,0.8283062510737774,0.565661111836082,153,0.017800909493234058
RP3betaRecommender,0.6893128917092711,0.31520263636175616,123,0.018239498867181046
RP3betaRecommender,0.7516277990106419,0.4283198748906137,122,0.018285971986831937
RP3betaRecommender,0.7764426762191884,0.5110628621552136,117,0.018098461612463042
RP3betaRecommender,0.7192331176543083,0.8498066148402195,150,0.011440730920629574
RP3betaRecommender,0.7742574561927839,0.42504912163959707,332,0.017657742354473274
RP3betaRecommender,0.6515336662102722,0.3898873380087113,172,0.018145199637401885
RP3betaRecommender,0.8356463659893147,0.46874414480054893,116,0.018175076235575894
RP3betaRecommender,0.7486189454505083,0.4460467638706813,100,0.01824839810444717
RP3betaRecommender,0.6106965774606454,0.3014363723729433,150,0.018098926006828685
RP3betaRecommender,0.8959038499152494,0.2697045509305292,295,0.017020398433126718
RP3betaRecommender,0.48103570177422883,0.3681261453590731,123,0.01831893330039951
RP3betaRecommender,0.48843998283964773,0.3650012557588751,118,0.018329805524821594
RP3betaRecommender,0.4725967270083964,0.3734814887444829,145,0.01827792492214945
RP3betaRecommender,0.41426992369468396,0.41383218737816646,115,0.018302586414018013
RP3betaRecommender,0.3996889924404732,0.5460812187990071,109,0.017695255622566745
RP3betaRecommender,0.433916425875368,0.4860914686600974,159,0.018149952471448214
RP3betaRecommender,0.36356114461257416,0.36750000414287615,142,0.018247454684443727
RP3betaRecommender,0.47301295954288447,0.4118413947171001,391,0.017669523865213654
RP3betaRecommender,0.42931562327016065,0.44824991032730205,177,0.018181955469756397
RP3betaRecommender,0.4820266948941744,0.32158440098816105,200,0.01791642894706134
RP3betaRecommender,0.719661707888179,0.3961236788040178,121,0.01830836138671188
RP3betaRecommender,0.8031519024849364,0.3757973662602868,124,0.018247568099594193
RP3betaRecommender,0.6698547472670069,0.42222861052143923,109,0.018294638853789947
RP3betaRecommender,0.6787864200113979,0.4588081331425179,107,0.01823987378823973
RP3betaRecommender,0.7125842427390513,0.4006538256955039,138,0.01827191694667663
RP3betaRecommender,0.6720460584929586,0.28978827476867364,100,0.01830198810519205
RP3betaRecommender,0.2896682038902775,0.2940890988933128,100,0.018283364009266834
RP3betaRecommender,0.6753117862966578,0.4980614042507036,162,0.01815033123903891
RP3betaRecommender,0.49619988741225673,0.2730226818559147,110,0.018314160412237435
RP3betaRecommender,0.4219920567383455,0.21185960273818896,143,0.018033067414324738
RP3betaRecommender,0.4886496605813344,0.26652260438581,110,0.018298939064748703
RP3betaRecommender,0.492578326043443,0.2565171340309491,115,0.018261732346751502
RP3betaRecommender,0.503525080505347,0.2679809948077269,126,0.01820416031227515
RP3betaRecommender,0.4478323729857614,0.23017201942411508,108,0.01828748614415875
RP3betaRecommender,0.36569737773999345,0.2869559628995137,132,0.018186591890804408
RP3betaRecommender,0.5181991379075079,0.3309624871261191,100,0.01836057479992501
RP3betaRecommender,0.5872880189264569,0.33525769455391946,100,0.01835901485409992
RP3betaRecommender,0.5895905216827367,0.32466626095223755,102,0.018351761333694993
RP3betaRecommender,0.5698446069954325,0.33289472779289225,101,0.01837027670804133
RP3betaRecommender,0.5961933254974152,0.32772465551174296,429,0.01705620908371004
RP3betaRecommender,0.5680651410537568,0.33490383654508554,101,0.01836362329982819
RP3betaRecommender,0.624002520359467,0.33704003609583244,114,0.018288096083069527
RP3betaRecommender,0.5746433063243166,0.32212027741538546,100,0.018351525910101082
RP3betaRecommender,0.5674838863913317,0.36322206541297836,133,0.018276476411905204
RP3betaRecommender,0.5816105355226633,0.3146667622791002,100,0.018352031648055187
RP3betaRecommender,0.5831501126326875,0.3160771609251363,101,0.018356125586113613
RP3betaRecommender,0.5879245550257881,0.306365319267623,105,0.018351342026307962
RP3betaRecommender,0.5839926237050734,0.3122331072269476,103,0.018366029680590094
RP3betaRecommender,0.5744199995030287,0.3049085565423071,100,0.018342050062980234
