recommenders,alpha,beta,MAP
P3alpha + RP3beta,0.671709938809848,1.1137894453156456,0.007698319580581653
P3alpha + RP3beta,0.4555355796142613,1.5351115872892096,0.007816886259299593
P3alpha + RP3beta,1.4940928351588392,1.4511789432465494,0.00758938917215258
P3alpha + RP3beta,1.3256571550824627,1.2655955674912347,0.0075848795270959946
P3alpha + RP3beta,1.092483511320916,0.49657571023473124,0.007377864459172639
P3alpha + RP3beta,0.7611177164346554,1.5568755215207453,0.007752292685534704
P3alpha + RP3beta,1.140477065664296,1.6303778691363735,0.007670990014768386
P3alpha + RP3beta,1.6473982739370643,0.9340048218586565,0.007436508570699302
P3alpha + RP3beta,1.189573190072623,0.620594587775191,0.007416753152137907
P3alpha + RP3beta,0.4174458166392072,1.9164432684678818,0.007849905400369254
