recommender,shrink,topk,similarity,normalization,MAP
ItemKNNCFRecommender,148,129,asym,bm25plus,0.016759243132180118
ItemKNNCFRecommender,12,1548,asym,bm25plus,0.01693631491256321
ItemKNNCFRecommender,135,389,cosine,bm25plus,0.016898577735853584
ItemKNNCFRecommender,140,1139,jaccard,bm25,0.017055171481596788
ItemKNNCFRecommender,137,1552,cosine,tfidf,0.0161814185323476
ItemKNNCFRecommender,17,1759,rp3beta,bm25,0.016535481066754395
ItemKNNCFRecommender,29,1919,jaccard,bm25,0.01690187833532057
ItemKNNCFRecommender,32,1298,rp3beta,tfidf,0.016096831195368286
ItemKNNCFRecommender,173,281,jaccard,bm25,0.017064497009697324
ItemKNNCFRecommender,26,1162,jaccard,tfidf,0.01593078444575391
ItemKNNCFRecommender,200,664,dice,bm25,0.017171106940176668
ItemKNNCFRecommender,200,659,dice,bm25,0.017167836680573246
ItemKNNCFRecommender,195,663,dice,bm25,0.017157431582114118
ItemKNNCFRecommender,82,754,dice,bm25,0.016994771061979913
ItemKNNCFRecommender,200,771,dice,bm25,0.01716709206571147
ItemKNNCFRecommender,103,538,dice,bm25,0.017025418630966363
ItemKNNCFRecommender,172,902,dice,bm25,0.01713179500970186
ItemKNNCFRecommender,170,958,dice,bm25,0.017121500977512676
ItemKNNCFRecommender,73,486,dice,bm25plus,0.016798556723811055
ItemKNNCFRecommender,116,215,dice,tfidf,0.015878485565652214
ItemKNNCFRecommender,190,599,asym,bm25,0.01716530411692399
ItemKNNCFRecommender,194,807,dice,bm25,0.017165613053213083
ItemKNNCFRecommender,159,756,dice,bm25,0.01712334015472799
ItemKNNCFRecommender,200,412,dice,bm25,0.017148580397903027
ItemKNNCFRecommender,180,1011,dice,bm25,0.017116887574273345
ItemKNNCFRecommender,153,664,rp3beta,bm25,0.014199616849424312
ItemKNNCFRecommender,183,1292,cosine,bm25,0.016869311458589203
ItemKNNCFRecommender,163,323,dice,tfidf,0.01598783248086515
ItemKNNCFRecommender,120,872,dice,bm25plus,0.016916201645624008
ItemKNNCFRecommender,185,187,asym,bm25,0.01708205577873045
ItemKNNCFRecommender,200,508,dice,bm25plus,0.016837313322147995
ItemKNNCFRecommender,188,788,dice,bm25,0.017153639954186936
ItemKNNCFRecommender,200,853,dice,bm25,0.01717293692968244
ItemKNNCFRecommender,178,1075,asym,bm25,0.016894039819170644
ItemKNNCFRecommender,152,662,cosine,bm25,0.01710610781425789
ItemKNNCFRecommender,166,1184,dice,bm25plus,0.016966219377213803
ItemKNNCFRecommender,200,896,rp3beta,bm25,0.01386411043239818
ItemKNNCFRecommender,143,412,dice,bm25,0.017081129640692392
ItemKNNCFRecommender,51,1436,cosine,bm25,0.016777174111287402
ItemKNNCFRecommender,130,1046,jaccard,tfidf,0.01602486286342304
ItemKNNCFRecommender,184,609,dice,bm25plus,0.016819253573142113
ItemKNNCFRecommender,196,835,dice,bm25,0.017168379132891168
ItemKNNCFRecommender,192,728,dice,bm25,0.01716623820023318
ItemKNNCFRecommender,176,933,dice,bm25,0.017134649978958142
ItemKNNCFRecommender,191,836,rp3beta,bm25,0.013913491387677423
ItemKNNCFRecommender,161,614,jaccard,bm25,0.017101805598799008
ItemKNNCFRecommender,200,718,dice,bm25,0.017168548238206714
ItemKNNCFRecommender,175,490,dice,bm25,0.017142840733345262
ItemKNNCFRecommender,185,714,asym,tfidf,0.016237509391695836
ItemKNNCFRecommender,168,1937,dice,bm25,0.017019820714143416
ItemKNNCFRecommender,90,987,dice,bm25,0.01699150844455584
ItemKNNCFRecommender,200,829,dice,bm25,0.017172447566723575
ItemKNNCFRecommender,192,554,dice,bm25,0.017121360272440902
ItemKNNCFRecommender,195,842,dice,bm25,0.017171577843187125
ItemKNNCFRecommender,193,1122,dice,bm25,0.01712544880100886
ItemKNNCFRecommender,179,848,dice,bm25,0.01715373737354925
ItemKNNCFRecommender,194,1249,jaccard,bm25,0.01708272353416689
ItemKNNCFRecommender,55,710,dice,bm25,0.016946096289522674
ItemKNNCFRecommender,173,944,cosine,bm25,0.016951519159838897
