recommender,shrink,topk,similarity,normalization,MAP
ItemKNNCFRecommender,38,755,dice,bm25plus,0.016986727756181694
ItemKNNCFRecommender,165,1237,dice,tfidf,0.016401150326609496
ItemKNNCFRecommender,154,1396,asym,bm25,0.017246541710214298
ItemKNNCFRecommender,145,1169,cosine,bm25plus,0.016959467203491868
ItemKNNCFRecommender,126,172,dice,bm25,0.017020044069780162
ItemKNNCFRecommender,162,1162,jaccard,bm25plus,0.017114597516034155
ItemKNNCFRecommender,14,1536,rp3beta,tfidf,0.017028891784511533
ItemKNNCFRecommender,42,1883,asym,tfidf,0.016547486152075002
ItemKNNCFRecommender,60,1336,jaccard,bm25plus,0.017153463192256944
ItemKNNCFRecommender,118,326,cosine,bm25,0.01720401961905976
ItemKNNCFRecommender,200,690,asym,bm25,0.01729721958242184
ItemKNNCFRecommender,191,723,asym,bm25,0.017298289215572082
ItemKNNCFRecommender,200,698,asym,bm25,0.017297286870178962
ItemKNNCFRecommender,197,786,asym,bm25,0.01728276061619095
ItemKNNCFRecommender,93,436,asym,bm25,0.017213483385510545
ItemKNNCFRecommender,181,926,rp3beta,bm25,0.014708096985444665
ItemKNNCFRecommender,82,519,asym,bm25,0.017262609345525596
ItemKNNCFRecommender,176,969,asym,bm25,0.017244659543096067
ItemKNNCFRecommender,133,589,asym,bm25,0.017286014605333216
ItemKNNCFRecommender,186,208,cosine,tfidf,0.01630899551418039
ItemKNNCFRecommender,141,887,rp3beta,bm25,0.01506494285183347
ItemKNNCFRecommender,197,639,asym,bm25,0.017289035513060914
ItemKNNCFRecommender,196,665,asym,bm25,0.017289568874894
ItemKNNCFRecommender,171,393,asym,bm25,0.017207105936455736
ItemKNNCFRecommender,183,796,asym,bm25,0.017283581231207292
ItemKNNCFRecommender,155,1077,jaccard,bm25,0.017389380740088407
ItemKNNCFRecommender,151,1633,jaccard,bm25,0.017459060368173487
ItemKNNCFRecommender,109,1742,jaccard,bm25plus,0.01718013648132039
ItemKNNCFRecommender,150,1988,jaccard,bm25,0.017460241233058504
ItemKNNCFRecommender,156,1980,jaccard,tfidf,0.016547948035410542
ItemKNNCFRecommender,143,1695,jaccard,bm25plus,0.017183897134678803
ItemKNNCFRecommender,129,1563,jaccard,bm25,0.017451656928714535
ItemKNNCFRecommender,121,1574,jaccard,bm25,0.017449450691777932
