recommender,shrink,topk,similarity,normalization,MAP
ItemKNNCFRecommender,143,1257,cosine,bm25,0.017243984765083698
ItemKNNCFRecommender,125,753,dice,tfidf,0.01631675944380061
ItemKNNCFRecommender,134,1011,cosine,bm25plus,0.016981324575138703
ItemKNNCFRecommender,121,176,cosine,bm25,0.017119196483907233
ItemKNNCFRecommender,75,1392,asym,bm25plus,0.01694909749081379
ItemKNNCFRecommender,187,881,cosine,tfidf,0.016506924319334603
ItemKNNCFRecommender,43,1364,jaccard,bm25,0.01741364347404913
ItemKNNCFRecommender,13,585,dice,bm25plus,0.016921640149158663
ItemKNNCFRecommender,186,799,rp3beta,bm25plus,0.014966968940947746
ItemKNNCFRecommender,101,1855,cosine,tfidf,0.01656048656893952
ItemKNNCFRecommender,24,1985,jaccard,bm25,0.01744622821770121
ItemKNNCFRecommender,18,1982,jaccard,bm25,0.017446904203285735
ItemKNNCFRecommender,17,1981,jaccard,bm25,0.017447325276477983
ItemKNNCFRecommender,55,1662,jaccard,bm25,0.017429737138753613
ItemKNNCFRecommender,70,1682,jaccard,bm25,0.017431169361252965
ItemKNNCFRecommender,31,1617,jaccard,bm25,0.017434585745089257
ItemKNNCFRecommender,85,1961,rp3beta,bm25,0.015768437713941014
ItemKNNCFRecommender,10,1564,asym,bm25,0.017235311715451136
ItemKNNCFRecommender,50,1791,jaccard,bm25,0.017432321169171146
ItemKNNCFRecommender,160,111,jaccard,tfidf,0.01603272513219084
ItemKNNCFRecommender,92,1183,jaccard,bm25,0.017392267352946043
ItemKNNCFRecommender,28,1997,jaccard,bm25,0.01744547251404955
ItemKNNCFRecommender,29,1816,jaccard,bm25,0.017430500274128014
ItemKNNCFRecommender,59,1483,jaccard,bm25,0.01743152061809276
ItemKNNCFRecommender,21,1984,jaccard,bm25,0.01744720456912147
ItemKNNCFRecommender,42,1806,rp3beta,bm25,0.016416081452518144
ItemKNNCFRecommender,16,1756,dice,bm25,0.0173411159237675
ItemKNNCFRecommender,38,1511,asym,bm25plus,0.01696949101636695
ItemKNNCFRecommender,66,418,jaccard,bm25,0.017205444255223776
ItemKNNCFRecommender,159,1254,jaccard,tfidf,0.01646235768950075
ItemKNNCFRecommender,21,1888,jaccard,bm25,0.01743612188973638
ItemKNNCFRecommender,22,1944,jaccard,bm25,0.017446720317612897
ItemKNNCFRecommender,10,1997,jaccard,bm25,0.017441964812792327
ItemKNNCFRecommender,36,1696,dice,bm25,0.017333276092161547
ItemKNNCFRecommender,49,1883,jaccard,bm25,0.01743859513010058
ItemKNNCFRecommender,22,1111,asym,bm25,0.0172314590803014
ItemKNNCFRecommender,114,1443,cosine,tfidf,0.016551140993119134
ItemKNNCFRecommender,82,1889,jaccard,bm25plus,0.017194673993373807
ItemKNNCFRecommender,38,1738,rp3beta,bm25,0.016478381211867222
ItemKNNCFRecommender,58,992,dice,bm25,0.0173012176987804
ItemKNNCFRecommender,18,1565,cosine,bm25plus,0.01697332210226467
ItemKNNCFRecommender,25,1924,jaccard,bm25,0.01744757121959277
ItemKNNCFRecommender,31,1908,jaccard,bm25,0.01744159580394038
ItemKNNCFRecommender,45,1816,jaccard,bm25,0.01743223631309331
ItemKNNCFRecommender,21,1938,jaccard,bm25,0.017446924969797755
ItemKNNCFRecommender,10,1654,jaccard,tfidf,0.016492400884356644
ItemKNNCFRecommender,33,502,jaccard,bm25,0.0172541714614513
ItemKNNCFRecommender,140,1311,jaccard,bm25,0.017427279222933533
ItemKNNCFRecommender,23,1740,asym,bm25plus,0.016989639128104497
ItemKNNCFRecommender,64,2000,cosine,bm25,0.017264237935374512
ItemKNNCFRecommender,49,1890,jaccard,bm25,0.0174366545264044
ItemKNNCFRecommender,18,1925,jaccard,bm25,0.017446270435674028
ItemKNNCFRecommender,24,1831,jaccard,bm25,0.01742809905949452
ItemKNNCFRecommender,198,1942,jaccard,bm25,0.017468033330379693
ItemKNNCFRecommender,177,1630,jaccard,bm25,0.017460733662509262
ItemKNNCFRecommender,196,1620,rp3beta,bm25,0.014629135044569067
ItemKNNCFRecommender,177,1764,jaccard,bm25,0.01745057469718722
ItemKNNCFRecommender,172,1717,jaccard,tfidf,0.01652477719738086
ItemKNNCFRecommender,181,1777,jaccard,bm25,0.017451988353905726
ItemKNNCFRecommender,179,1562,dice,bm25,0.017389003788190124
ItemKNNCFRecommender,196,1785,jaccard,bm25,0.017455567018150417
ItemKNNCFRecommender,197,1775,jaccard,bm25,0.017453623646803935
ItemKNNCFRecommender,198,1796,jaccard,bm25,0.017456252752306164
ItemKNNCFRecommender,199,1623,jaccard,bm25,0.017464033632110455
ItemKNNCFRecommender,199,1430,jaccard,bm25,0.017449662365653026
ItemKNNCFRecommender,190,1600,jaccard,bm25,0.017461076126752788
ItemKNNCFRecommender,192,1575,jaccard,bm25,0.017457982562768093
ItemKNNCFRecommender,189,1526,jaccard,bm25,0.017456666659117322
ItemKNNCFRecommender,189,1358,rp3beta,bm25plus,0.014987465048549288
ItemKNNCFRecommender,167,1524,asym,bm25,0.01724873609285299
ItemKNNCFRecommender,188,1620,jaccard,bm25,0.017460525046733996
ItemKNNCFRecommender,190,1624,jaccard,bm25,0.017463898098511187
ItemKNNCFRecommender,190,1607,jaccard,bm25,0.01745998573082942
ItemKNNCFRecommender,185,1629,jaccard,bm25,0.017462964483143606
ItemKNNCFRecommender,153,1668,jaccard,bm25,0.017444734892215808
ItemKNNCFRecommender,182,1620,jaccard,bm25,0.017459657134235838
ItemKNNCFRecommender,170,1459,cosine,tfidf,0.016553849565249055
ItemKNNCFRecommender,185,1367,jaccard,bm25,0.017453144271197252
ItemKNNCFRecommender,164,1235,jaccard,bm25,0.017412789115727814
ItemKNNCFRecommender,177,1411,dice,bm25,0.01737807744135925
ItemKNNCFRecommender,192,1491,jaccard,bm25,0.017454502973345564
ItemKNNCFRecommender,183,1610,jaccard,bm25,0.01745838250344303
ItemKNNCFRecommender,172,1618,jaccard,bm25,0.017458393482524957
ItemKNNCFRecommender,154,1679,jaccard,bm25,0.017442586496991836
