recommender,shrink,topk,similarity,feature_weighting,normalization,MAP
ItemKNNCFRecommender,847.0177642678246,4225,cosine,bm25,bm25plus,0.016952413009393614
ItemKNNCFRecommender,644.7948832808703,2818,jaccard,bm25plus,tfidf,0.016280390613389803
ItemKNNCFRecommender,684.8271875907427,1137,jaccard,bm25plus,tfidf,0.016198663803110705
ItemKNNCFRecommender,753.5773870960852,5033,asym,bm25plus,bm25plus,0.016933642510444085
ItemKNNCFRecommender,1812.3876422800063,4731,cosine,bm25plus,bm25plus,0.016965832319816014
ItemKNNCFRecommender,886.0737989534169,2162,asym,tfidf,bm25plus,0.01690163815909566
ItemKNNCFRecommender,1760.6400645813987,3399,cosine,tfidf,bm25,0.01720522820653367
ItemKNNCFRecommender,1909.4653782487776,3041,cosine,tfidf,bm25plus,0.016972940184578334
ItemKNNCFRecommender,1968.8417513582804,2544,cosine,tfidf,bm25plus,0.016951948396152883
ItemKNNCFRecommender,895.4443614689019,3214,dice,bm25plus,bm25,0.017021106127236802
ItemKNNCFRecommender,1535.5168343252901,5992,rp3beta,bm25,bm25,0.006136459651193943
ItemKNNCFRecommender,1231.668920553829,3800,dice,tfidf,bm25,0.017442882780294273
ItemKNNCFRecommender,1272.80513443904,3902,dice,tfidf,bm25,0.017447704689439635
ItemKNNCFRecommender,1239.5456084172624,4058,dice,tfidf,bm25,0.017445151711650893
ItemKNNCFRecommender,1215.8411694599852,4358,dice,tfidf,bm25,0.01743857243126196
ItemKNNCFRecommender,1480.9076059242136,5295,dice,tfidf,bm25,0.01746070285574142
ItemKNNCFRecommender,1526.9808082934446,5608,dice,tfidf,bm25,0.017468380408744332
ItemKNNCFRecommender,1511.9303978591254,5967,rp3beta,bm25,bm25,0.006138367150517649
ItemKNNCFRecommender,1544.8722120298087,5343,dice,tfidf,tfidf,0.016602515475413127
ItemKNNCFRecommender,1412.1106179636984,5418,dice,tfidf,bm25,0.017454954859239164
ItemKNNCFRecommender,1711.5878449105596,5543,dice,bm25,bm25,0.01744170461536431
ItemKNNCFRecommender,1395.682277207783,4718,dice,tfidf,bm25,0.017452278811067395
ItemKNNCFRecommender,1083.9100073954125,5403,dice,tfidf,bm25,0.017416293543839195
ItemKNNCFRecommender,1634.7811310932116,4944,dice,tfidf,bm25,0.01746533546487078
ItemKNNCFRecommender,1646.3952918965012,4790,dice,tfidf,bm25,0.017467554666397763
ItemKNNCFRecommender,1647.5629460947723,4794,asym,tfidf,tfidf,0.01664949672286749
ItemKNNCFRecommender,1638.8173086979227,4420,jaccard,tfidf,bm25,0.017471177016234903
ItemKNNCFRecommender,1869.87559560655,4535,jaccard,tfidf,bm25,0.017484055546888144
ItemKNNCFRecommender,1792.8189707438955,4474,jaccard,bm25,bm25,0.01742989925683131
ItemKNNCFRecommender,502.28285307300507,3659,jaccard,tfidf,tfidf,0.016468921855694107
