recommender,shrink,topk,similarity,feature_weighting,normalization,ICMweight,MAP
ItemKNNCFRecommender,1125.5276787489468,4463,cosine,tfidf,bm25plus,30,0.016312411524145434
ItemKNNCFRecommender,853.9257574759864,5984,dice,tfidf,bm25plus,19,0.016711201261975835
ItemKNNCFRecommender,1039.218061534843,5397,cosine,tfidf,bm25plus,10,0.016975389753544217
ItemKNNCFRecommender,1481.8840814271662,4083,jaccard,bm25,bm25plus,1,0.017081753496445085
ItemKNNCFRecommender,1704.4610114212037,2438,rp3beta,bm25,bm25,85,0.0061350987085862715
ItemKNNCFRecommender,1699.8326321215475,3445,jaccard,bm25plus,bm25,66,0.01684271441643551
ItemKNNCFRecommender,1588.851960353338,4369,cosine,bm25plus,tfidf,24,0.016605231601471575
ItemKNNCFRecommender,1829.4754535233646,4577,rp3beta,tfidf,bm25plus,94,0.012401644090558198
ItemKNNCFRecommender,930.4308087236057,4275,cosine,bm25plus,bm25,77,0.016845045033871974
ItemKNNCFRecommender,635.45368999844,4615,jaccard,tfidf,bm25,40,0.013013061937919493
ItemKNNCFRecommender,1394.719875723292,1422,asym,bm25,tfidf,55,0.016535686180045892
ItemKNNCFRecommender,1255.4902909267514,5951,jaccard,bm25,bm25plus,4,0.017050150325477662
