recommender,shrink,topk,similarity,normalization,ICMweight,MAP
ItemKNNCFRecommender,67.28784671172095,256,jaccard,tfidf,60,3.382824306680978e-05
ItemKNNCFRecommender,185.08664395446738,268,rp3beta,bm25,59,0.014451001025876728
ItemKNNCFRecommender,189.07967967833804,100,rp3beta,bm25plus,76,0.014833813672916462
ItemKNNCFRecommender,42.63668598785065,218,jaccard,tfidf,82,3.398341277806397e-05
ItemKNNCFRecommender,74.83715617029998,276,jaccard,bm25plus,90,3.3737361369648736e-05
ItemKNNCFRecommender,167.1526940900952,143,jaccard,tfidf,62,3.176878458112828e-05
ItemKNNCFRecommender,20.67061792638868,201,dice,bm25,73,3.628817714360391e-05
ItemKNNCFRecommender,43.10663989903753,293,dice,bm25,92,3.535094526150808e-05
ItemKNNCFRecommender,137.87381856852738,151,dice,bm25,59,3.679102178159459e-05
ItemKNNCFRecommender,104.89147328335586,338,cosine,bm25plus,62,2.9946453019502422e-05
ItemKNNCFRecommender,198.06884300144728,104,asym,bm25plus,74,3.196789280547841e-05
ItemKNNCFRecommender,197.87898345631075,371,rp3beta,bm25plus,50,0.014727603751759829
ItemKNNCFRecommender,150.97373624171658,381,rp3beta,bm25plus,50,0.015118793196196682
ItemKNNCFRecommender,147.8686422810871,397,rp3beta,bm25plus,82,0.01509943235488235
ItemKNNCFRecommender,140.32983793704898,395,rp3beta,bm25plus,100,0.015157144582048894
ItemKNNCFRecommender,121.88209341530387,329,rp3beta,bm25plus,100,0.015336890865442777
ItemKNNCFRecommender,116.975463766186,321,cosine,bm25plus,100,3.197157417575381e-05
ItemKNNCFRecommender,113.32876464620729,332,asym,bm25plus,97,3.0139276274773553e-05
ItemKNNCFRecommender,96.2146770888341,357,rp3beta,bm25plus,93,0.015619411454393313
ItemKNNCFRecommender,87.96906467078432,355,rp3beta,tfidf,92,0.015693248660366168
ItemKNNCFRecommender,87.60226563913992,355,rp3beta,tfidf,88,0.015707775246444733
ItemKNNCFRecommender,81.14520755894544,358,rp3beta,tfidf,89,0.015770011946498446
ItemKNNCFRecommender,89.2776338132213,307,rp3beta,tfidf,84,0.015670456856176605
ItemKNNCFRecommender,74.65644269049572,352,rp3beta,tfidf,88,0.015852100562778648
ItemKNNCFRecommender,58.6263376078215,294,rp3beta,tfidf,87,0.01607169912402695
ItemKNNCFRecommender,57.98261208577853,302,cosine,tfidf,86,3.1200170971582926e-05
ItemKNNCFRecommender,19.598410429162357,229,asym,tfidf,79,2.987234571609953e-05
ItemKNNCFRecommender,50.7828160223024,287,rp3beta,tfidf,95,0.016162220706799256
ItemKNNCFRecommender,49.72054949057693,284,rp3beta,tfidf,69,0.016260924763273694
ItemKNNCFRecommender,56.31548620079036,263,rp3beta,tfidf,69,0.016152442944939685
ItemKNNCFRecommender,36.66224241199672,245,dice,tfidf,67,3.9430230997268534e-05
ItemKNNCFRecommender,59.19466008895348,284,rp3beta,tfidf,69,0.0161055363461621
ItemKNNCFRecommender,59.033585403721126,263,rp3beta,tfidf,69,0.01611426828922458
ItemKNNCFRecommender,29.693732708456718,257,rp3beta,tfidf,69,0.016498675363125256
ItemKNNCFRecommender,11.777012946071736,249,rp3beta,tfidf,66,0.016662691808496655
ItemKNNCFRecommender,31.23498124411637,197,jaccard,tfidf,55,3.51348899803763e-05
ItemKNNCFRecommender,15.950895453322573,243,rp3beta,tfidf,66,0.01663194262792593
ItemKNNCFRecommender,11.605417423965733,243,rp3beta,tfidf,65,0.016665884605552735
ItemKNNCFRecommender,17.22911180126283,241,jaccard,bm25,65,3.2327327066629636e-05
ItemKNNCFRecommender,33.06916346977459,205,asym,tfidf,55,3.202302981927554e-05
ItemKNNCFRecommender,12.57289162836513,170,cosine,bm25,64,3.0147697483533574e-05
ItemKNNCFRecommender,24.718052692663363,230,rp3beta,tfidf,72,0.016520982924854988
ItemKNNCFRecommender,24.062391715310856,232,rp3beta,tfidf,72,0.016527557831121236
ItemKNNCFRecommender,12.306428111083155,236,rp3beta,tfidf,76,0.01661082839573391
ItemKNNCFRecommender,11.210117503558813,182,dice,tfidf,76,3.4012856555529744e-05
ItemKNNCFRecommender,40.45592225117056,217,rp3beta,tfidf,78,0.016296407805313745
ItemKNNCFRecommender,24.177986829380494,232,jaccard,tfidf,62,3.489602169977397e-05
ItemKNNCFRecommender,11.951705728361956,217,rp3beta,bm25,65,0.01647572005596383
ItemKNNCFRecommender,25.115212955197244,270,rp3beta,tfidf,72,0.016546706428237575
ItemKNNCFRecommender,45.61634206736508,273,dice,tfidf,57,3.702315373617846e-05
ItemKNNCFRecommender,10.352183260361993,248,rp3beta,tfidf,75,0.016618987922846103
ItemKNNCFRecommender,10.373797503074028,256,rp3beta,tfidf,75,0.016624405175659857
ItemKNNCFRecommender,15.876115664610799,250,rp3beta,tfidf,75,0.01661168762750193
ItemKNNCFRecommender,173.56183007229328,247,rp3beta,tfidf,81,0.014847660333034347
ItemKNNCFRecommender,19.89527323965212,255,rp3beta,tfidf,61,0.016617979159757143
ItemKNNCFRecommender,37.15515722408844,256,rp3beta,tfidf,60,0.01642245934411885
ItemKNNCFRecommender,18.91876533271458,202,cosine,bm25,61,2.6587390714514732e-05
ItemKNNCFRecommender,30.064645343171172,218,asym,tfidf,63,3.078330553991893e-05
ItemKNNCFRecommender,10.95186034405033,273,rp3beta,tfidf,67,0.016654923444533995
ItemKNNCFRecommender,11.256795183807924,274,rp3beta,tfidf,71,0.01663489960479207
ItemKNNCFRecommender,28.33989690922666,313,rp3beta,tfidf,67,0.016557488605680376
ItemKNNCFRecommender,10.725470529068296,279,rp3beta,tfidf,67,0.016661155178088218
ItemKNNCFRecommender,18.854237981437343,280,rp3beta,tfidf,67,0.0166288461320289
ItemKNNCFRecommender,19.626504262259242,277,rp3beta,tfidf,66,0.01662770919020537
ItemKNNCFRecommender,35.485150327865696,302,rp3beta,tfidf,71,0.01644375623160316
ItemKNNCFRecommender,43.33658910932051,293,rp3beta,tfidf,67,0.016352657502976316
ItemKNNCFRecommender,17.553130610735696,276,rp3beta,bm25plus,58,0.016610066587485286
ItemKNNCFRecommender,23.758727008347105,265,jaccard,tfidf,64,3.591890788710896e-05
ItemKNNCFRecommender,28.558457517781736,113,rp3beta,tfidf,71,0.01648348217196691
ItemKNNCFRecommender,37.66685418304441,295,cosine,tfidf,68,3.372789707666773e-05
ItemKNNCFRecommender,49.39840434012018,319,dice,bm25,70,3.6039768472681565e-05
ItemKNNCFRecommender,17.43099942579161,280,rp3beta,tfidf,65,0.016647224263053723
ItemKNNCFRecommender,19.032130025947154,281,rp3beta,tfidf,66,0.01662899963359779
ItemKNNCFRecommender,129.98864379218162,267,rp3beta,tfidf,65,0.015268854232281035
ItemKNNCFRecommender,15.880174058947045,288,rp3beta,tfidf,64,0.0166679261950621
ItemKNNCFRecommender,15.049257577073321,291,asym,tfidf,63,3.152355549948474e-05
ItemKNNCFRecommender,26.422606710328658,303,rp3beta,tfidf,73,0.016538933216034144
ItemKNNCFRecommender,32.70485716648533,241,rp3beta,bm25plus,63,0.016457015631161698
ItemKNNCFRecommender,14.51042364215224,223,rp3beta,tfidf,59,0.016661709667234594
ItemKNNCFRecommender,104.69187626423025,335,rp3beta,tfidf,55,0.015549283699254712
ItemKNNCFRecommender,73.00997722230943,221,rp3beta,tfidf,57,0.015952240927965534
ItemKNNCFRecommender,14.300453655829937,262,rp3beta,tfidf,60,0.01667151210213203
ItemKNNCFRecommender,22.113266203682223,262,rp3beta,tfidf,61,0.016603024886410914
ItemKNNCFRecommender,14.430512040443942,273,rp3beta,tfidf,60,0.016670117810579674
ItemKNNCFRecommender,15.597281185171932,224,rp3beta,tfidf,58,0.016664031414874155
ItemKNNCFRecommender,14.313193317096687,212,rp3beta,tfidf,53,0.016680497007390712
ItemKNNCFRecommender,22.911866264682736,209,rp3beta,tfidf,53,0.016620781791461012
ItemKNNCFRecommender,32.61807790396177,186,jaccard,tfidf,52,3.534622250842502e-05
ItemKNNCFRecommender,14.851485052606138,222,rp3beta,tfidf,59,0.016661816101223373
ItemKNNCFRecommender,27.10137468544329,225,dice,bm25,59,3.637015904512131e-05
ItemKNNCFRecommender,40.292439283935934,192,rp3beta,bm25plus,57,0.01638581644618503
ItemKNNCFRecommender,14.566527636627029,234,rp3beta,tfidf,60,0.016671272459174585
ItemKNNCFRecommender,15.254006295776568,235,rp3beta,tfidf,53,0.016688218077900403
ItemKNNCFRecommender,21.728801457979362,237,rp3beta,tfidf,52,0.01663020523589266
ItemKNNCFRecommender,15.522693344725305,211,rp3beta,tfidf,54,0.016668449892029397
ItemKNNCFRecommender,27.179267565424244,210,cosine,tfidf,54,3.106596839312855e-05
ItemKNNCFRecommender,14.851265559046873,174,asym,tfidf,50,3.1524776971880983e-05
ItemKNNCFRecommender,152.80415940719857,210,rp3beta,tfidf,56,0.015052125279405063
ItemKNNCFRecommender,32.22099416547708,233,rp3beta,tfidf,52,0.01651371367409749
ItemKNNCFRecommender,21.74165462488255,196,rp3beta,tfidf,56,0.016615864847592688
