recommender,shrink,topk,similarity,feature_weighting,normalization,MAP
ItemKNNCFRecommender,86.68618172184974,338,dice,bm25,bm25plus,0.016817306085088735
ItemKNNCFRecommender,173.80455667703364,313,rp3beta,bm25,tfidf,0.0068994271411915165
ItemKNNCFRecommender,26.499829921966043,124,asym,bm25,tfidf,0.01615446090545473
ItemKNNCFRecommender,160.35934669444887,175,cosine,bm25plus,bm25,0.017018375073435496
ItemKNNCFRecommender,160.0158061744514,369,asym,tfidf,tfidf,0.016370530641341603
ItemKNNCFRecommender,52.93750747502165,161,asym,bm25,tfidf,0.016184540001287558
ItemKNNCFRecommender,133.6714024311329,199,rp3beta,bm25plus,bm25plus,0.007041551838789258
ItemKNNCFRecommender,121.28880164362866,475,jaccard,bm25,tfidf,0.016283645852566173
ItemKNNCFRecommender,150.22806032046657,137,rp3beta,bm25,bm25plus,0.00703835796067791
ItemKNNCFRecommender,59.01793486679954,360,jaccard,bm25plus,bm25plus,0.016877029827678497
ItemKNNCFRecommender,198.07700574191006,224,cosine,bm25plus,bm25,0.01704665155090757
ItemKNNCFRecommender,197.35985717250887,235,cosine,bm25plus,bm25,0.017047569552719608
ItemKNNCFRecommender,198.92983719116634,254,cosine,bm25plus,bm25,0.017067235808406366
