rec_name,topK,shrink,similarity,feature_weighting,MAP
['UserKNNCFRecommender', 10, 10, 'tanimoto', 'none', 0.005917392370167873]
['UserKNNCFRecommender', 10, 10, 'tanimoto', 'BM25', 0.0019092353928860815]
['UserKNNCFRecommender', 10, 10, 'tanimoto', 'TF-IDF', 0.00596168728394979]
['UserKNNCFRecommender', 10, 10, 'cosine', 'none', 0.005135996564174645]
['UserKNNCFRecommender', 10, 10, 'cosine', 'BM25', 0.0018053418848244798]
['UserKNNCFRecommender', 10, 10, 'cosine', 'TF-IDF', 0.005301317493727813]
['UserKNNCFRecommender', 10, 10, 'euclidean', 'none', 0.006026608221894355]
['UserKNNCFRecommender', 10, 10, 'euclidean', 'BM25', 0.002140073595969617]
['UserKNNCFRecommender', 10, 10, 'euclidean', 'TF-IDF', 0.005570451319203096]
['UserKNNCFRecommender', 10, 10, 'jaccard', 'none', 0.005917392370167873]
['UserKNNCFRecommender', 10, 10, 'jaccard', 'BM25', 0.0019092353928860815]
['UserKNNCFRecommender', 10, 10, 'jaccard', 'TF-IDF', 0.00596168728394979]
['UserKNNCFRecommender', 10, 50, 'tanimoto', 'none', 0.0059727748524312455]
['UserKNNCFRecommender', 10, 50, 'tanimoto', 'BM25', 0.0020402116661111178]
['UserKNNCFRecommender', 10, 50, 'tanimoto', 'TF-IDF', 0.0060498216043642136]
['UserKNNCFRecommender', 10, 50, 'cosine', 'none', 0.005322707876369336]
['UserKNNCFRecommender', 10, 50, 'cosine', 'BM25', 0.0018246664599887912]
['UserKNNCFRecommender', 10, 50, 'cosine', 'TF-IDF', 0.0053218230852965925]
['UserKNNCFRecommender', 10, 50, 'euclidean', 'none', 0.00602515331846187]
['UserKNNCFRecommender', 10, 50, 'euclidean', 'BM25', 0.002140029890592807]
['UserKNNCFRecommender', 10, 50, 'euclidean', 'TF-IDF', 0.005557534923509762]
['UserKNNCFRecommender', 10, 50, 'jaccard', 'none', 0.0059727748524312455]
['UserKNNCFRecommender', 10, 50, 'jaccard', 'BM25', 0.0020402116661111178]
['UserKNNCFRecommender', 10, 50, 'jaccard', 'TF-IDF', 0.0060498216043642136]
['UserKNNCFRecommender', 10, 100, 'tanimoto', 'none', 0.005750689379476915]
['UserKNNCFRecommender', 10, 100, 'tanimoto', 'BM25', 0.002037939957747576]
['UserKNNCFRecommender', 10, 100, 'tanimoto', 'TF-IDF', 0.005885947808398766]
['UserKNNCFRecommender', 10, 100, 'cosine', 'none', 0.005521886875722124]
['UserKNNCFRecommender', 10, 100, 'cosine', 'BM25', 0.0018369039654956682]
['UserKNNCFRecommender', 10, 100, 'cosine', 'TF-IDF', 0.005351287307880894]
['UserKNNCFRecommender', 10, 100, 'euclidean', 'none', 0.006016216054519466]
['UserKNNCFRecommender', 10, 100, 'euclidean', 'BM25', 0.0021412050796137056]
['UserKNNCFRecommender', 10, 100, 'euclidean', 'TF-IDF', 0.0055685477072353546]
['UserKNNCFRecommender', 10, 100, 'jaccard', 'none', 0.005750689379476915]
['UserKNNCFRecommender', 10, 100, 'jaccard', 'BM25', 0.002037939957747576]
['UserKNNCFRecommender', 10, 100, 'jaccard', 'TF-IDF', 0.005885947808398766]
['UserKNNCFRecommender', 10, 500, 'tanimoto', 'none', 0.00511586781007703]
['UserKNNCFRecommender', 10, 500, 'tanimoto', 'BM25', 0.0018791233594943996]
['UserKNNCFRecommender', 10, 500, 'tanimoto', 'TF-IDF', 0.0052265677021538885]
['UserKNNCFRecommender', 10, 500, 'cosine', 'none', 0.005734604829580135]
['UserKNNCFRecommender', 10, 500, 'cosine', 'BM25', 0.001901557815026406]
['UserKNNCFRecommender', 10, 500, 'cosine', 'TF-IDF', 0.005478322327348255]
['UserKNNCFRecommender', 10, 500, 'euclidean', 'none', 0.0060384824871584026]
['UserKNNCFRecommender', 10, 500, 'euclidean', 'BM25', 0.0021375202307333005]
['UserKNNCFRecommender', 10, 500, 'euclidean', 'TF-IDF', 0.005555482713260874]
['UserKNNCFRecommender', 10, 500, 'jaccard', 'none', 0.00511586781007703]
['UserKNNCFRecommender', 10, 500, 'jaccard', 'BM25', 0.0018791233594943996]
['UserKNNCFRecommender', 10, 500, 'jaccard', 'TF-IDF', 0.0052265677021538885]
['UserKNNCFRecommender', 10, 1000, 'tanimoto', 'none', 0.004818718838066338]
['UserKNNCFRecommender', 10, 1000, 'tanimoto', 'BM25', 0.0018038121966361218]
['UserKNNCFRecommender', 10, 1000, 'tanimoto', 'TF-IDF', 0.004903546118302108]
['UserKNNCFRecommender', 10, 1000, 'cosine', 'none', 0.0055203940942964045]
['UserKNNCFRecommender', 10, 1000, 'cosine', 'BM25', 0.0019512362600007562]
['UserKNNCFRecommender', 10, 1000, 'cosine', 'TF-IDF', 0.005585389816996877]
['UserKNNCFRecommender', 10, 1000, 'euclidean', 'none', 0.006034905444874135]
['UserKNNCFRecommender', 10, 1000, 'euclidean', 'BM25', 0.0021341277222622266]
['UserKNNCFRecommender', 10, 1000, 'euclidean', 'TF-IDF', 0.005565870024482778]
['UserKNNCFRecommender', 10, 1000, 'jaccard', 'none', 0.004818718838066338]
['UserKNNCFRecommender', 10, 1000, 'jaccard', 'BM25', 0.0018038121966361218]
['UserKNNCFRecommender', 10, 1000, 'jaccard', 'TF-IDF', 0.004903546118302108]
['UserKNNCFRecommender', 10, 10000, 'tanimoto', 'none', 0.004705000361297781]
['UserKNNCFRecommender', 10, 10000, 'tanimoto', 'BM25', 0.0017436396050743298]
['UserKNNCFRecommender', 10, 10000, 'tanimoto', 'TF-IDF', 0.004775006662641898]
['UserKNNCFRecommender', 10, 10000, 'cosine', 'none', 0.004820450542218611]
['UserKNNCFRecommender', 10, 10000, 'cosine', 'BM25', 0.0022488562788503916]
['UserKNNCFRecommender', 10, 10000, 'cosine', 'TF-IDF', 0.005775306190157637]
['UserKNNCFRecommender', 10, 10000, 'euclidean', 'none', 0.006036183584338185]
['UserKNNCFRecommender', 10, 10000, 'euclidean', 'BM25', 0.0021363800060138494]
['UserKNNCFRecommender', 10, 10000, 'euclidean', 'TF-IDF', 0.0055684350444862515]
['UserKNNCFRecommender', 10, 10000, 'jaccard', 'none', 0.004705000361297781]
['UserKNNCFRecommender', 10, 10000, 'jaccard', 'BM25', 0.0017436396050743298]
['UserKNNCFRecommender', 10, 10000, 'jaccard', 'TF-IDF', 0.004775006662641898]
['UserKNNCFRecommender', 20, 10, 'tanimoto', 'none', 0.00854068038199683]
['UserKNNCFRecommender', 20, 10, 'tanimoto', 'BM25', 0.0032043529389826158]
['UserKNNCFRecommender', 20, 10, 'tanimoto', 'TF-IDF', 0.008668410802570758]
['UserKNNCFRecommender', 20, 10, 'cosine', 'none', 0.007700715486155431]
['UserKNNCFRecommender', 20, 10, 'cosine', 'BM25', 0.0026462100251198914]
['UserKNNCFRecommender', 20, 10, 'cosine', 'TF-IDF', 0.007932756072716585]
['UserKNNCFRecommender', 20, 10, 'euclidean', 'none', 0.008743726821581978]
['UserKNNCFRecommender', 20, 10, 'euclidean', 'BM25', 0.003132081727889135]
['UserKNNCFRecommender', 20, 10, 'euclidean', 'TF-IDF', 0.008220038313104678]
['UserKNNCFRecommender', 20, 10, 'jaccard', 'none', 0.00854068038199683]
['UserKNNCFRecommender', 20, 10, 'jaccard', 'BM25', 0.0032043529389826158]
['UserKNNCFRecommender', 20, 10, 'jaccard', 'TF-IDF', 0.008668410802570758]
['UserKNNCFRecommender', 20, 50, 'tanimoto', 'none', 0.008395279391963148]
['UserKNNCFRecommender', 20, 50, 'tanimoto', 'BM25', 0.003310453082957844]
['UserKNNCFRecommender', 20, 50, 'tanimoto', 'TF-IDF', 0.00858391568319872]
['UserKNNCFRecommender', 20, 50, 'cosine', 'none', 0.007954792323704312]
['UserKNNCFRecommender', 20, 50, 'cosine', 'BM25', 0.002665328699397896]
['UserKNNCFRecommender', 20, 50, 'cosine', 'TF-IDF', 0.007996381389046386]
['UserKNNCFRecommender', 20, 50, 'euclidean', 'none', 0.008763405895913744]
['UserKNNCFRecommender', 20, 50, 'euclidean', 'BM25', 0.003129952790423177]
['UserKNNCFRecommender', 20, 50, 'euclidean', 'TF-IDF', 0.008211032091789965]
['UserKNNCFRecommender', 20, 50, 'jaccard', 'none', 0.008395279391963148]
['UserKNNCFRecommender', 20, 50, 'jaccard', 'BM25', 0.003310453082957844]
['UserKNNCFRecommender', 20, 50, 'jaccard', 'TF-IDF', 0.00858391568319872]
['UserKNNCFRecommender', 20, 100, 'tanimoto', 'none', 0.008069113934672792]
['UserKNNCFRecommender', 20, 100, 'tanimoto', 'BM25', 0.0032940936748024605]
['UserKNNCFRecommender', 20, 100, 'tanimoto', 'TF-IDF', 0.008256016579294867]
['UserKNNCFRecommender', 20, 100, 'cosine', 'none', 0.008116396353767411]
['UserKNNCFRecommender', 20, 100, 'cosine', 'BM25', 0.0026882186620793354]
['UserKNNCFRecommender', 20, 100, 'cosine', 'TF-IDF', 0.007962847710265758]
['UserKNNCFRecommender', 20, 100, 'euclidean', 'none', 0.008747715665638858]
['UserKNNCFRecommender', 20, 100, 'euclidean', 'BM25', 0.0031311979080469714]
['UserKNNCFRecommender', 20, 100, 'euclidean', 'TF-IDF', 0.008203350629007913]
['UserKNNCFRecommender', 20, 100, 'jaccard', 'none', 0.008069113934672792]
['UserKNNCFRecommender', 20, 100, 'jaccard', 'BM25', 0.0032940936748024605]
['UserKNNCFRecommender', 20, 100, 'jaccard', 'TF-IDF', 0.008256016579294867]
['UserKNNCFRecommender', 20, 500, 'tanimoto', 'none', 0.007188935236012989]
['UserKNNCFRecommender', 20, 500, 'tanimoto', 'BM25', 0.003049885511337353]
['UserKNNCFRecommender', 20, 500, 'tanimoto', 'TF-IDF', 0.0073629545067819754]
['UserKNNCFRecommender', 20, 500, 'cosine', 'none', 0.008114821017741023]
['UserKNNCFRecommender', 20, 500, 'cosine', 'BM25', 0.002820045733306274]
['UserKNNCFRecommender', 20, 500, 'cosine', 'TF-IDF', 0.008088327789549233]
['UserKNNCFRecommender', 20, 500, 'euclidean', 'none', 0.008752768978428726]
['UserKNNCFRecommender', 20, 500, 'euclidean', 'BM25', 0.003131226073734249]
['UserKNNCFRecommender', 20, 500, 'euclidean', 'TF-IDF', 0.008211901343173195]
['UserKNNCFRecommender', 20, 500, 'jaccard', 'none', 0.007188935236012989]
['UserKNNCFRecommender', 20, 500, 'jaccard', 'BM25', 0.003049885511337353]
['UserKNNCFRecommender', 20, 500, 'jaccard', 'TF-IDF', 0.0073629545067819754]
['UserKNNCFRecommender', 20, 1000, 'tanimoto', 'none', 0.006946524820380667]
['UserKNNCFRecommender', 20, 1000, 'tanimoto', 'BM25', 0.002922101673080655]
['UserKNNCFRecommender', 20, 1000, 'tanimoto', 'TF-IDF', 0.007109271017624394]
['UserKNNCFRecommender', 20, 1000, 'cosine', 'none', 0.007794218769303298]
['UserKNNCFRecommender', 20, 1000, 'cosine', 'BM25', 0.0029846936000565427]
['UserKNNCFRecommender', 20, 1000, 'cosine', 'TF-IDF', 0.008283324669956562]
['UserKNNCFRecommender', 20, 1000, 'euclidean', 'none', 0.008718554467000449]
['UserKNNCFRecommender', 20, 1000, 'euclidean', 'BM25', 0.0031353324366932235]
['UserKNNCFRecommender', 20, 1000, 'euclidean', 'TF-IDF', 0.008189255159371297]
['UserKNNCFRecommender', 20, 1000, 'jaccard', 'none', 0.006946524820380667]
['UserKNNCFRecommender', 20, 1000, 'jaccard', 'BM25', 0.002922101673080655]
['UserKNNCFRecommender', 20, 1000, 'jaccard', 'TF-IDF', 0.007109271017624394]
['UserKNNCFRecommender', 20, 10000, 'tanimoto', 'none', 0.006834493371156981]
['UserKNNCFRecommender', 20, 10000, 'tanimoto', 'BM25', 0.0028301659561143482]
['UserKNNCFRecommender', 20, 10000, 'tanimoto', 'TF-IDF', 0.00699461141840853]
['UserKNNCFRecommender', 20, 10000, 'cosine', 'none', 0.006859425831781359]
['UserKNNCFRecommender', 20, 10000, 'cosine', 'BM25', 0.003226216310924304]
['UserKNNCFRecommender', 20, 10000, 'cosine', 'TF-IDF', 0.00819131222577317]
['UserKNNCFRecommender', 20, 10000, 'euclidean', 'none', 0.008746474432937452]
['UserKNNCFRecommender', 20, 10000, 'euclidean', 'BM25', 0.003104357950532482]
['UserKNNCFRecommender', 20, 10000, 'euclidean', 'TF-IDF', 0.008187552592136894]
['UserKNNCFRecommender', 20, 10000, 'jaccard', 'none', 0.006834493371156981]
['UserKNNCFRecommender', 20, 10000, 'jaccard', 'BM25', 0.0028301659561143482]
['UserKNNCFRecommender', 20, 10000, 'jaccard', 'TF-IDF', 0.00699461141840853]
['UserKNNCFRecommender', 50, 10, 'tanimoto', 'none', 0.01244914345231333]
['UserKNNCFRecommender', 50, 10, 'tanimoto', 'BM25', 0.005586285291606156]
['UserKNNCFRecommender', 50, 10, 'tanimoto', 'TF-IDF', 0.012652641514125505]
['UserKNNCFRecommender', 50, 10, 'cosine', 'none', 0.011846948432317622]
['UserKNNCFRecommender', 50, 10, 'cosine', 'BM25', 0.0038991013786035425]
['UserKNNCFRecommender', 50, 10, 'cosine', 'TF-IDF', 0.012279670511963192]
['UserKNNCFRecommender', 50, 10, 'euclidean', 'none', 0.012609903482988696]
['UserKNNCFRecommender', 50, 10, 'euclidean', 'BM25', 0.0042981984837924935]
['UserKNNCFRecommender', 50, 10, 'euclidean', 'TF-IDF', 0.012323730387940867]
['UserKNNCFRecommender', 50, 10, 'jaccard', 'none', 0.01244914345231333]
['UserKNNCFRecommender', 50, 10, 'jaccard', 'BM25', 0.005586285291606156]
['UserKNNCFRecommender', 50, 10, 'jaccard', 'TF-IDF', 0.012652641514125505]
['UserKNNCFRecommender', 50, 50, 'tanimoto', 'none', 0.012064936283388313]
['UserKNNCFRecommender', 50, 50, 'tanimoto', 'BM25', 0.005572717200183058]
['UserKNNCFRecommender', 50, 50, 'tanimoto', 'TF-IDF', 0.0122405007820352]
['UserKNNCFRecommender', 50, 50, 'cosine', 'none', 0.012056002904368333]
['UserKNNCFRecommender', 50, 50, 'cosine', 'BM25', 0.003940444722604871]
['UserKNNCFRecommender', 50, 50, 'cosine', 'TF-IDF', 0.012304736031179186]
['UserKNNCFRecommender', 50, 50, 'euclidean', 'none', 0.012626355158050679]
['UserKNNCFRecommender', 50, 50, 'euclidean', 'BM25', 0.004296929085403804]
['UserKNNCFRecommender', 50, 50, 'euclidean', 'TF-IDF', 0.012306643528069233]
['UserKNNCFRecommender', 50, 50, 'jaccard', 'none', 0.012064936283388313]
['UserKNNCFRecommender', 50, 50, 'jaccard', 'BM25', 0.005572717200183058]
['UserKNNCFRecommender', 50, 50, 'jaccard', 'TF-IDF', 0.0122405007820352]
['UserKNNCFRecommender', 50, 100, 'tanimoto', 'none', 0.011619930079167257]
['UserKNNCFRecommender', 50, 100, 'tanimoto', 'BM25', 0.005466390759479026]
['UserKNNCFRecommender', 50, 100, 'tanimoto', 'TF-IDF', 0.011820303692152827]
['UserKNNCFRecommender', 50, 100, 'cosine', 'none', 0.0120924298790938]
['UserKNNCFRecommender', 50, 100, 'cosine', 'BM25', 0.003981443279744697]
['UserKNNCFRecommender', 50, 100, 'cosine', 'TF-IDF', 0.012332035380765497]
['UserKNNCFRecommender', 50, 100, 'euclidean', 'none', 0.012600840930299438]
['UserKNNCFRecommender', 50, 100, 'euclidean', 'BM25', 0.00429518864017616]
['UserKNNCFRecommender', 50, 100, 'euclidean', 'TF-IDF', 0.012309736897516806]
['UserKNNCFRecommender', 50, 100, 'jaccard', 'none', 0.011619930079167257]
['UserKNNCFRecommender', 50, 100, 'jaccard', 'BM25', 0.005466390759479026]
['UserKNNCFRecommender', 50, 100, 'jaccard', 'TF-IDF', 0.011820303692152827]
['UserKNNCFRecommender', 50, 500, 'tanimoto', 'none', 0.010720075219867465]
['UserKNNCFRecommender', 50, 500, 'tanimoto', 'BM25', 0.005143037985994082]
