recommender,factors,alpha,regularization,iterations,MAP
Recommender_Base_Class,380,37,0.08023660445087064,45,0.010309960078326583
Recommender_Base_Class,270,15,0.021003017852787645,13,0.010406472947612553
Recommender_Base_Class,285,18,0.05561104329668771,97,0.011665841601313323
Recommender_Base_Class,240,26,0.024020117768259557,79,0.010689581448296298
Recommender_Base_Class,482,49,0.05020395962403597,70,0.010706475046374153
Recommender_Base_Class,487,37,0.02040509609790425,49,0.010956582083294884
Recommender_Base_Class,535,33,0.015502409978702782,38,0.010936630307603806
Recommender_Base_Class,406,31,0.07273384868011819,60,0.011027658898609
Recommender_Base_Class,463,44,0.08000531128022557,52,0.010422076855625627
Recommender_Base_Class,384,30,0.043956028768809,84,0.01126234451823052
Recommender_Base_Class,320,10,0.09682488837248215,98,0.012568673158883235
Recommender_Base_Class,306,10,0.09696890589552276,99,0.012661488412727163
Recommender_Base_Class,321,10,0.09479113530692936,98,0.012629003277435892
Recommender_Base_Class,332,21,0.0999766030254486,84,0.011577935906758305
Recommender_Base_Class,219,11,0.06705750753885843,99,0.012260154997714358
Recommender_Base_Class,334,22,0.0915747381078023,28,0.01052648684871796
Recommender_Base_Class,427,14,0.08523609969648661,64,0.012177592348884096
Recommender_Base_Class,203,16,0.0030546214685353984,76,0.011327510863025055
Recommender_Base_Class,276,25,0.06286044195545601,88,0.011076813511623686
Recommender_Base_Class,584,10,0.03666417423706088,91,0.012526959303300458
Recommender_Base_Class,357,19,0.0880935279016786,70,0.011690102658049864
Recommender_Base_Class,314,10,0.09887940516008002,100,0.012626396461796127
Recommender_Base_Class,304,14,0.09990028536584979,93,0.012087466308643926
Recommender_Base_Class,247,13,0.08994106638106922,100,0.01206037834685997
Recommender_Base_Class,350,18,0.07659399842636344,87,0.011975715737459822
Recommender_Base_Class,303,10,0.09193648456204383,77,0.012528793023453005
Recommender_Base_Class,422,24,0.08313678610318007,93,0.011666639863346104
Recommender_Base_Class,364,17,0.0692730085752927,81,0.011942241829818817
Recommender_Base_Class,252,13,0.0584876483633057,72,0.012021557176205852
Recommender_Base_Class,380,21,0.07558837131258117,41,0.011207154716243999
Recommender_Base_Class,307,27,0.09251747837161509,92,0.011173099918578622
Recommender_Base_Class,322,10,0.09963940790365317,100,0.012660023218875972
Recommender_Base_Class,280,12,0.0955043430783572,95,0.012314993157703765
Recommender_Base_Class,323,15,0.08300352001826315,88,0.012096235272628306
Recommender_Base_Class,266,12,0.08654482392337767,99,0.012214267961279127
Recommender_Base_Class,294,16,0.09548079277854528,13,0.009924401072267433
Recommender_Base_Class,347,19,0.07974900655567976,100,0.01182161372254111
Recommender_Base_Class,391,40,0.09840573335436636,94,0.011031927159786159
Recommender_Base_Class,231,10,0.08826176888388301,85,0.01244685327553099
Recommender_Base_Class,264,49,0.0348136736982136,64,0.009551665101244994
Recommender_Base_Class,364,15,0.09464778011017994,30,0.011400311341371835
Recommender_Base_Class,320,10,0.09999630137485818,96,0.01268365323374831
Recommender_Base_Class,317,12,0.09971423905173948,91,0.012325814082663616
Recommender_Base_Class,293,13,0.09138950702023049,97,0.01223456396332842
Recommender_Base_Class,331,34,0.0796554098286471,82,0.010870640618830307
Recommender_Base_Class,407,10,0.09591799544214986,95,0.01268021707140723
Recommender_Base_Class,451,12,0.0865767063806508,90,0.01246560397070758
Recommender_Base_Class,404,16,0.05026894043473136,80,0.012159353537685566
Recommender_Base_Class,517,14,0.09423315839236321,96,0.012250392836063086
Recommender_Base_Class,425,18,0.07207846971157841,85,0.011976001658949478
