recommender,alpha,l1_ratio,TopK,MAP
SLIMElasticNetRecommender,0.11167085368131602,0.37211795460625463,145,0.015154528401241802
SLIMElasticNetRecommender,0.31986902088162483,0.6904597761425618,430,0.008438656843117709
SLIMElasticNetRecommender,0.09335145900270336,0.15673221410467886,182,0.017270573457100338
SLIMElasticNetRecommender,0.5459024262986085,0.33044057659184933,375,0.009106653866432802
SLIMElasticNetRecommender,0.2619871421509029,0.21392012598149257,260,0.014055863414654144
SLIMElasticNetRecommender,0.7441283322052158,0.5559602773004025,494,0.005341536067228228
SLIMElasticNetRecommender,0.09632505937821267,0.6480397024004461,213,0.013908418452137446
SLIMElasticNetRecommender,0.3702818212241311,0.7594126990234653,212,0.007270068324808927
SLIMElasticNetRecommender,0.9404745240866373,0.8095561981889094,340,0.0019755422656098707
SLIMElasticNetRecommender,0.5856755484103221,0.8572628736411056,228,0.004193611803340287
SLIMElasticNetRecommender,0.0002845933906542586,0.007941712901589015,101,0.009850467682271677
SLIMElasticNetRecommender,0.15983530785146616,0.34471785036568203,112,0.014232458024964081
SLIMElasticNetRecommender,0.16855134419888937,0.02643461609525055,163,0.0182458153185785
SLIMElasticNetRecommender,0.41783599690196815,0.038279786436029806,167,0.01643278646262911
SLIMElasticNetRecommender,0.22709403398691633,0.157896791777699,281,0.015351638533426663
SLIMElasticNetRecommender,0.06030757752750962,0.15523554960798072,169,0.017957045505287147
SLIMElasticNetRecommender,0.02429676647402086,0.44568801847364387,301,0.017908832875663083
SLIMElasticNetRecommender,0.4327688718968887,0.10330327202496413,147,0.014529376724399126
SLIMElasticNetRecommender,0.6891222709911762,0.2545540787761049,195,0.009233195771496835
SLIMElasticNetRecommender,0.16764421711974398,0.07924556603849503,251,0.017197852969649884
SLIMElasticNetRecommender,0.2822591088420348,0.9386445429715755,326,0.007564925435301993
SLIMElasticNetRecommender,0.08058956138621332,0.4906023687174307,308,0.01534324981244639
SLIMElasticNetRecommender,0.009844383390884053,0.47918514392474465,400,0.018758327398331772
SLIMElasticNetRecommender,0.004013995329791999,0.25396792580554,414,0.017868295693687888
