recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.6149813535530502,0.36763943418641953,401,0.01734498368043781
RP3betaRecommender,0.2291435001935307,0.6560164368123445,562,0.01612210545048076
RP3betaRecommender,0.693589322898361,0.7259023119592919,48,0.015363189678060524
RP3betaRecommender,0.4296134572276571,0.45604815644393026,911,0.017367326870842612
RP3betaRecommender,0.48666190360081785,0.6843659123094019,596,0.015968856154765315
RP3betaRecommender,0.6003476935672916,0.2773589864141668,13,0.015446597811242002
RP3betaRecommender,0.7807521997603301,0.6398916469191401,391,0.017082520664858845
RP3betaRecommender,0.6125722850333718,0.7471076029166268,862,0.013460326133453784
RP3betaRecommender,0.42388169993394487,0.3968898825628555,468,0.017486763988299157
RP3betaRecommender,0.6054569903059863,0.8248349001078084,93,0.01223750088253697
RP3betaRecommender,0.59346209739379,0.7462035682246201,335,0.014619234693266992
RP3betaRecommender,0.5217085677206955,0.23507994023072662,789,0.016103213636277196
RP3betaRecommender,0.8845621777484196,0.7315743505872756,982,0.012590831505644523
RP3betaRecommender,0.7905652676610962,0.48154869058774563,144,0.01814836501252003
RP3betaRecommender,0.2929796678858867,0.5547505206853399,682,0.017554949183302675
RP3betaRecommender,0.6738247502884759,0.49944144274336877,63,0.018019479898540258
RP3betaRecommender,0.6141191565739053,0.1727694878816374,319,0.01678568276105249
RP3betaRecommender,0.3312801030982353,0.7247375945530046,976,0.013978485563731498
RP3betaRecommender,0.1858373388704152,0.3624101750178347,804,0.01693979741030822
RP3betaRecommender,0.26833221957517783,0.7206871461128952,428,0.0145190423967436
RP3betaRecommender,0.6371312733606972,0.3127019315260712,159,0.018001503243486823
RP3betaRecommender,0.5369732639367306,0.8622940489298994,457,0.010203449270365253
RP3betaRecommender,0.6049734180846245,0.28704345615987314,500,0.016683589917770716
RP3betaRecommender,0.33900772444226024,0.5077067229302076,109,0.017909376517038497
RP3betaRecommender,0.13092597406557074,0.30112477094156975,417,0.01705173566709818
RP3betaRecommender,0.5816250045383663,0.7724940223768842,52,0.013839302370271367
RP3betaRecommender,0.6314559828190086,0.5187927789643698,541,0.017707390033543876
RP3betaRecommender,0.7585229877791386,0.3732279263585584,461,0.01714678497633544
RP3betaRecommender,0.47712189629151625,0.3471929540425734,211,0.017926127116671294
RP3betaRecommender,0.8291783660329144,0.1376814710594889,912,0.0157512617351208
RP3betaRecommender,0.33836853167755354,0.40636775939940784,42,0.018250658012474042
RP3betaRecommender,0.11541014995227511,0.18426039674558528,789,0.015765725551972195
RP3betaRecommender,0.8001534574969161,0.2761418909804091,668,0.016355081556462467
RP3betaRecommender,0.5466856708599414,0.23322330971577232,129,0.018123167131229623
RP3betaRecommender,0.549171653576566,0.777633669530179,400,0.013460397415008943
RP3betaRecommender,0.8139098785338177,0.2678077960735743,736,0.0162690999037896
RP3betaRecommender,0.1027497004522469,0.7940213128646856,172,0.011381793585300703
RP3betaRecommender,0.5068586479114223,0.8755445273316854,900,0.008648075348894523
RP3betaRecommender,0.7504098705071282,0.5321906613720232,470,0.017665978966507515
RP3betaRecommender,0.5590723780866969,0.1641481405913953,522,0.016125391696333303
RP3betaRecommender,0.737396303563768,0.12723779527119705,367,0.016452662026576942
RP3betaRecommender,0.20791736557552537,0.14698408146567543,193,0.01758068012293483
RP3betaRecommender,0.37797466455375606,0.4871330029794355,440,0.01785854848960513
RP3betaRecommender,0.6070274369076494,0.40065078567688683,859,0.01704135100581876
RP3betaRecommender,0.5741458038943633,0.8963657674761211,324,0.009310965543796545
RP3betaRecommender,0.16510551845439042,0.5954771093750368,753,0.016916955607922026
RP3betaRecommender,0.27816980117392137,0.5897683086495084,583,0.01731929071555366
RP3betaRecommender,0.40009893721508705,0.6709212578549275,496,0.016276655145774085
RP3betaRecommender,0.6195970603914571,0.6692682896179662,941,0.015825447559505015
RP3betaRecommender,0.16936771176732446,0.41862728984377073,636,0.017377145909104497
RP3betaRecommender,0.17616032502991175,0.391793405518608,188,0.017975333261874202
RP3betaRecommender,0.13603870371945703,0.8782606121787481,828,0.007905100510594214
RP3betaRecommender,0.7932905185514967,0.6189529459287186,752,0.016687150760720915
RP3betaRecommender,0.40267426626041847,0.7977705613266233,571,0.012170332644689747
RP3betaRecommender,0.6061119499200719,0.4682999241653011,381,0.017841133535077505
RP3betaRecommender,0.8104784207038935,0.27330708842132384,281,0.01715452833385389
RP3betaRecommender,0.5772309649708524,0.23938479707985377,232,0.01743023971497223
RP3betaRecommender,0.5587703094014141,0.4259677087161461,238,0.01804503865195669
RP3betaRecommender,0.7273594910037525,0.17064684296517196,457,0.016286420369971914
RP3betaRecommender,0.6650139023771403,0.592983496835179,13,0.016209195827336632
RP3betaRecommender,0.7160877840984099,0.6089748136908366,911,0.01667859329150721
RP3betaRecommender,0.7033321262757948,0.5121353662312554,674,0.017504971330139264
RP3betaRecommender,0.5693453681869458,0.12163921447485988,877,0.015628962124910523
RP3betaRecommender,0.14911502979640937,0.18506257758586386,777,0.0157867291948867
RP3betaRecommender,0.45936948493517904,0.6171974056115861,633,0.017222045568911114
RP3betaRecommender,0.7955610926105988,0.8245853665783229,313,0.011743836530750012
RP3betaRecommender,0.31850864163247417,0.38265384119626156,645,0.017226573542631875
RP3betaRecommender,0.6026860252523876,0.7119410433797277,687,0.015140789759831368
RP3betaRecommender,0.1429983466352617,0.15674057184202247,359,0.01660239412256716
RP3betaRecommender,0.3236013763622541,0.7835377316495656,254,0.012829734875828095
RP3betaRecommender,0.2329651934244577,0.8739946442978317,841,0.008480459400420248
RP3betaRecommender,0.16284250220244462,0.12222659342357921,626,0.015754473698055323
RP3betaRecommender,0.4726892465621031,0.5067265362213047,456,0.017884122007229664
RP3betaRecommender,0.6947374447184368,0.5401463775080572,603,0.017576245453118432
RP3betaRecommender,0.28082695768828947,0.6561453264681198,873,0.016021505799841736
RP3betaRecommender,0.8682145037942618,0.19578104976640961,142,0.017818105379409293
RP3betaRecommender,0.5122295426895344,0.7644392348869709,671,0.013306912386533198
RP3betaRecommender,0.6028773519179674,0.48199322359663777,616,0.017586418232282144
RP3betaRecommender,0.36958829131355775,0.7464599345564501,689,0.013719858998602308
RP3betaRecommender,0.7005766021916414,0.3539413466575989,310,0.017489214519182946
RP3betaRecommender,0.8937683178057244,0.10896000971574758,469,0.016098093916743172
RP3betaRecommender,0.4261246532766554,0.5968656696688661,136,0.01745262492216157
RP3betaRecommender,0.43784812089517844,0.32751892891050916,927,0.016654907254929255
RP3betaRecommender,0.8853558525242139,0.8670617522131876,122,0.010349243557861211
RP3betaRecommender,0.8686273693097772,0.3648009444376593,734,0.016738301926180674
RP3betaRecommender,0.19725884156066922,0.4719222549014138,354,0.017866354542140053
RP3betaRecommender,0.2958704957000081,0.36418554073372633,573,0.017174376203341325
RP3betaRecommender,0.4385621421666669,0.15361914683426747,623,0.015909394572446278
RP3betaRecommender,0.6302463537741507,0.654830594558164,297,0.01704893222652595
RP3betaRecommender,0.6841178915047617,0.7031205026504007,631,0.015395833671926243
RP3betaRecommender,0.3834702936740122,0.21895552974411966,806,0.015995143061639076
RP3betaRecommender,0.46245706810369525,0.2549645073264493,761,0.01621443622545116
RP3betaRecommender,0.5716447602074659,0.45221451114548994,957,0.01726486991752781
RP3betaRecommender,0.3724189142487906,0.860302392849645,409,0.01013778135656655
RP3betaRecommender,0.6004243903301274,0.5358863581623727,572,0.017696215395482686
RP3betaRecommender,0.5163727357908668,0.7941720872067505,525,0.012601552718790663
RP3betaRecommender,0.8073859656618916,0.5456597109120517,234,0.017884719476543708
RP3betaRecommender,0.20767705044557286,0.18514947689671182,125,0.0180888742969874
RP3betaRecommender,0.7373501552461451,0.1658016254357503,489,0.01621053263487406
RP3betaRecommender,0.189096976705126,0.62690408137089,20,0.016115062690432568
RP3betaRecommender,0.5505284321896203,0.7338027385324378,596,0.014516993847052378
RP3betaRecommender,0.19364135460833395,0.48450400950296657,630,0.017616569870016044
RP3betaRecommender,0.12732577170484527,0.5160568550998516,481,0.017622699660988592
RP3betaRecommender,0.6656480737920306,0.6025989957970462,116,0.017535483466668268
RP3betaRecommender,0.13095579842934202,0.3041154320276703,878,0.01649067799918354
RP3betaRecommender,0.1859571553045279,0.3029638095307029,518,0.016856604662651608
RP3betaRecommender,0.2184063608605313,0.1300767116619893,314,0.016776962725979214
