recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.37020434970234317,0.4822596285282783,46,0.01800267904569306
RP3betaRecommender,0.8589825291260017,0.34671001648042693,96,0.018431707869157047
RP3betaRecommender,0.42470595347119255,0.405909689312528,109,0.0184055596245416
RP3betaRecommender,0.38017011821956037,0.5246632428623246,43,0.01774725738830417
RP3betaRecommender,0.5034327761856191,0.4263673229638203,91,0.018429287862795674
RP3betaRecommender,0.6180147774213638,0.7302752479917249,108,0.015335432624459357
RP3betaRecommender,0.45079221365297406,0.22262016522880865,93,0.018477044010706684
RP3betaRecommender,0.19489264580125215,0.6118377903878901,191,0.016975704938871326
RP3betaRecommender,0.3875768754812672,0.543614762609717,121,0.017918575994824878
RP3betaRecommender,0.6893948666461802,0.8824591909276077,161,0.010112611048363494
RP3betaRecommender,0.6887674795334712,0.7503177986636693,90,0.014837289225575154
RP3betaRecommender,0.14440993986730943,0.3276285194391562,188,0.01800819927275925
RP3betaRecommender,0.3869752914870034,0.18373644457559912,178,0.017842827732519922
RP3betaRecommender,0.6671576288505866,0.536474932050858,181,0.01816344449696271
RP3betaRecommender,0.5874805296276623,0.8540282323936992,178,0.0111311956613273
RP3betaRecommender,0.24122307490728306,0.16666010289389072,20,0.013081449427797922
RP3betaRecommender,0.24171514642469685,0.4357726995980553,174,0.01823767380647158
RP3betaRecommender,0.6737138221365703,0.31393114126295824,85,0.018557465134490417
RP3betaRecommender,0.8475226264162911,0.43255006099576754,67,0.018375035535231274
RP3betaRecommender,0.4834205963808933,0.19515363112616077,65,0.018266547468580627
RP3betaRecommender,0.2750102376516752,0.19047828217689844,126,0.018239147248103455
RP3betaRecommender,0.5206381900788501,0.30186286401296014,70,0.018578106465722537
RP3betaRecommender,0.6271910767307849,0.6432077275411932,141,0.017207934928881372
RP3betaRecommender,0.5409001383803184,0.11635586153267426,112,0.018122901580177677
RP3betaRecommender,0.5108491356287151,0.4982742993160717,154,0.018268254106318736
RP3betaRecommender,0.24486294354952864,0.14240023255142892,51,0.016437145025536313
RP3betaRecommender,0.14273484553184038,0.6073888202058615,128,0.01680930602446697
RP3betaRecommender,0.7785123680705498,0.4823636644867597,112,0.018309320880444367
RP3betaRecommender,0.2580736384785597,0.11071710201187966,16,0.012045497937577471
