recommender,alpha,l1_ratio,TopK,MAP
SLIMElasticNetRecommender,0.07023502795144154,0.8202494429442253,166,0.014246170178095109
SLIMElasticNetRecommender,0.20566649479395616,0.22563936894477032,389,0.014696274120798398
SLIMElasticNetRecommender,0.12788463979354903,0.8945040519296048,300,0.01147415908454524
SLIMElasticNetRecommender,0.37679908796854333,0.7567408620491771,207,0.006961950167621552
SLIMElasticNetRecommender,0.6372813730073987,0.5506831960781166,307,0.0058508786085283765
SLIMElasticNetRecommender,0.13735283772988427,0.11208721479926997,106,0.01710307374552856
SLIMElasticNetRecommender,0.7187123753726969,0.26828983163905984,55,0.008867226248617915
SLIMElasticNetRecommender,0.8224227652199757,0.3223747779816999,308,0.007559749256026669
SLIMElasticNetRecommender,0.6864756992049884,0.6940856266873068,128,0.004478194181423498
SLIMElasticNetRecommender,0.7070307425767145,0.06561441528425727,274,0.014189013556849902
SLIMElasticNetRecommender,0.4568425122311941,0.7321369179828858,281,0.005970088390849891
SLIMElasticNetRecommender,0.87508253345537,0.8308887653368306,241,0.002147993961197871
SLIMElasticNetRecommender,0.3209031464974922,0.14183292042552065,61,0.014596794862667685
SLIMElasticNetRecommender,0.033200818025881484,0.016027461298795953,274,0.01855806888854061
SLIMElasticNetRecommender,0.09687111891135125,0.16744757431426704,255,0.01712788077123266
SLIMElasticNetRecommender,0.9012966698149151,0.6555987410185373,167,0.0030305448369586066
SLIMElasticNetRecommender,0.17811660608997437,0.9523395510002225,315,0.009573918964243708
SLIMElasticNetRecommender,0.6436643285992242,0.8021581390830457,295,0.003929881589168385
SLIMElasticNetRecommender,0.7132837993942505,0.2129715768991156,335,0.009989758993733699
SLIMElasticNetRecommender,0.08238054119781613,0.4696811695155715,357,0.015365568425782333
SLIMElasticNetRecommender,0.12213989632468525,0.04374526673031898,202,0.01824329217550319
SLIMElasticNetRecommender,0.040880364315381335,0.04998352295074415,46,0.018448707558706735
SLIMElasticNetRecommender,0.12164465723843432,0.5008891229126751,309,0.014019582599643745
SLIMElasticNetRecommender,0.8469916599297479,0.8257341540772444,88,0.0022755452641204394
SLIMElasticNetRecommender,0.6423074907748174,0.06138142406577096,363,0.014605970930849024
SLIMElasticNetRecommender,0.9748577080133767,0.8804372684274447,143,0.0009921079880837753
SLIMElasticNetRecommender,0.0490423587853388,0.5303014699391728,51,0.016320295801632453
SLIMElasticNetRecommender,0.681488243393607,0.3393522159972361,171,0.008084035974933675
SLIMElasticNetRecommender,0.4361440222697046,0.37392741929127926,33,0.009672446996340964
SLIMElasticNetRecommender,0.6542537240495403,0.26650362725199994,88,0.009308302443207551
SLIMElasticNetRecommender,0.5644348853373743,0.8457413130044461,21,0.004433299674565968
SLIMElasticNetRecommender,0.35029282869401834,0.21478171561164816,376,0.01309394573304965
SLIMElasticNetRecommender,0.22759219490689797,0.08399954998452308,15,0.016139093175062038
SLIMElasticNetRecommender,0.13322938989164612,0.1500167466144855,58,0.016640679013224587
SLIMElasticNetRecommender,0.9743221039049059,0.9837237707800116,86,0.0006159089686574008
SLIMElasticNetRecommender,0.711500678922526,0.6348710965081527,212,0.004618241944440471
SLIMElasticNetRecommender,0.08048358660442245,0.2248750378233476,355,0.016945359084861153
SLIMElasticNetRecommender,0.528448046422037,0.20240449312628783,298,0.011620622184885512
SLIMElasticNetRecommender,0.08958988367186027,0.21670556708803634,293,0.01679844113631364
SLIMElasticNetRecommender,0.5266763557251125,0.982984786509461,363,0.00400971041594479
SLIMElasticNetRecommender,0.5051619376269181,0.7469861679598437,400,0.00558634680158652
SLIMElasticNetRecommender,0.4352282872128539,0.45745763948525986,202,0.008719965186313974
SLIMElasticNetRecommender,0.37799168206578426,0.2684672258582206,32,0.01189686336676313
SLIMElasticNetRecommender,0.3005625081394816,0.543056060043294,29,0.009715394555111305
SLIMElasticNetRecommender,0.6139193986339561,0.6367358195492332,350,0.005378773855799675
SLIMElasticNetRecommender,0.311633573801401,0.29763070940646796,130,0.012284814279544656
SLIMElasticNetRecommender,0.0984006813302647,0.5484367926510896,113,0.014402197945193826
SLIMElasticNetRecommender,0.8611892844270993,0.6880418866946301,70,0.0030305448369586066
SLIMElasticNetRecommender,0.943119371755357,0.7860064616483531,275,0.002147993961197871
SLIMElasticNetRecommender,0.8057960243904091,0.5627921949423734,293,0.004554940917195455
SLIMElasticNetRecommender,0.04590234998898246,0.49578026244752016,362,0.016612818571729145
SLIMElasticNetRecommender,0.8277959884198549,0.8373515165751791,389,0.0022755452641204394
SLIMElasticNetRecommender,0.07705516971875692,0.29001871842668814,366,0.01657125928879147
SLIMElasticNetRecommender,0.2942524124457062,0.01758820030576913,145,0.017785379675641616
SLIMElasticNetRecommender,0.1238580185832997,0.9603165861936866,145,0.0112998088450973
SLIMElasticNetRecommender,0.42084533016932935,0.2963426525670939,186,0.010947909596743823
SLIMElasticNetRecommender,0.5032104650678295,0.34609012034161235,163,0.009329170087916524
SLIMElasticNetRecommender,0.2812977577079431,0.1286656663634207,373,0.015225017363336028
SLIMElasticNetRecommender,0.8469795222720281,0.9075039775102858,79,0.002147993961197871
SLIMElasticNetRecommender,0.8247703548221995,0.04921483748359323,172,0.014416063893912192
SLIMElasticNetRecommender,0.7377505137662901,0.03582982514912647,396,0.015266123775667334
SLIMElasticNetRecommender,0.9289320271136015,0.6542651614570318,223,0.002905481355969689
SLIMElasticNetRecommender,0.5502195288893214,0.3497263462815384,228,0.008900222519653646
