recommender,shrink,topk,similarity,normalization,MAP
ItemKNNCFRecommender,198,2381,rp3beta,tfidf,0.004857819929651763
ItemKNNCFRecommender,375,5700,rp3beta,bm25plus,0.004688392263832315
ItemKNNCFRecommender,412,1755,rp3beta,bm25plus,0.004653959762651142
ItemKNNCFRecommender,181,3929,rp3beta,bm25plus,0.004864774824951278
ItemKNNCFRecommender,125,421,rp3beta,bm25plus,0.0048939639995306825
ItemKNNCFRecommender,446,4244,rp3beta,tfidf,0.004673996907929785
ItemKNNCFRecommender,389,4714,rp3beta,tfidf,0.0047093391805750374
ItemKNNCFRecommender,240,1234,rp3beta,tfidf,0.004815609079552971
ItemKNNCFRecommender,351,1942,rp3beta,bm25plus,0.004702485629285829
ItemKNNCFRecommender,243,1777,rp3beta,bm25plus,0.004812681189981418
ItemKNNCFRecommender,68,5772,rp3beta,bm25plus,0.0049732800494370856
ItemKNNCFRecommender,394,4664,rp3beta,bm25plus,0.004670396620512997
ItemKNNCFRecommender,126,1613,rp3beta,bm25plus,0.00492567300275582
ItemKNNCFRecommender,244,2771,rp3beta,bm25plus,0.004812894645214368
ItemKNNCFRecommender,378,494,rp3beta,bm25plus,0.004667562106093342
ItemKNNCFRecommender,276,458,rp3beta,tfidf,0.004780864222677388
ItemKNNCFRecommender,125,3285,rp3beta,tfidf,0.004955209433157444
ItemKNNCFRecommender,388,1179,rp3beta,tfidf,0.0046993178804825494
ItemKNNCFRecommender,430,5739,rp3beta,bm25plus,0.004643070925557132
ItemKNNCFRecommender,233,5060,rp3beta,bm25plus,0.0048244565407199085
ItemKNNCFRecommender,102,888,rp3beta,tfidf,0.0049527530314356655
ItemKNNCFRecommender,46,4298,rp3beta,bm25plus,0.004968730113554651
ItemKNNCFRecommender,132,1009,rp3beta,bm25plus,0.004911555321620483
ItemKNNCFRecommender,134,3780,rp3beta,tfidf,0.004943843099225862
ItemKNNCFRecommender,211,2739,rp3beta,bm25plus,0.004839357614505244
ItemKNNCFRecommender,325,4380,rp3beta,bm25plus,0.004725920881560643
ItemKNNCFRecommender,441,4214,rp3beta,bm25plus,0.004636102899413634
ItemKNNCFRecommender,443,2103,rp3beta,tfidf,0.004670543225404458
ItemKNNCFRecommender,169,4196,rp3beta,tfidf,0.0049005269871908105
ItemKNNCFRecommender,242,3000,rp3beta,tfidf,0.004822736373475689
ItemKNNCFRecommender,299,3790,rp3beta,tfidf,0.004770845425618517
ItemKNNCFRecommender,321,2259,rp3beta,tfidf,0.004757421948201802
ItemKNNCFRecommender,437,1085,rp3beta,bm25plus,0.004635519434435396
ItemKNNCFRecommender,469,2907,rp3beta,tfidf,0.004661094653503892
ItemKNNCFRecommender,462,3116,rp3beta,bm25plus,0.004629456207547656
ItemKNNCFRecommender,31,2814,rp3beta,tfidf,0.004959057179473027
ItemKNNCFRecommender,186,1880,rp3beta,tfidf,0.00487110458522724
ItemKNNCFRecommender,23,3136,rp3beta,bm25plus,0.004896762061659875
ItemKNNCFRecommender,457,1826,rp3beta,tfidf,0.0046648492638127256
ItemKNNCFRecommender,469,1581,rp3beta,tfidf,0.004656188663876389
ItemKNNCFRecommender,190,4988,rp3beta,bm25plus,0.004863040478452365
ItemKNNCFRecommender,219,4408,rp3beta,bm25plus,0.004836366698436354
ItemKNNCFRecommender,265,4106,rp3beta,tfidf,0.004805102462754321
ItemKNNCFRecommender,67,1510,rp3beta,tfidf,0.004977904978066456
ItemKNNCFRecommender,171,1988,rp3beta,bm25plus,0.004882154180550613
ItemKNNCFRecommender,403,2524,rp3beta,tfidf,0.004699006733163312
ItemKNNCFRecommender,289,2124,rp3beta,tfidf,0.0047799449557881565
ItemKNNCFRecommender,166,4855,rp3beta,bm25plus,0.004892303528634273
ItemKNNCFRecommender,211,2992,rp3beta,tfidf,0.004845309887920623
ItemKNNCFRecommender,439,809,rp3beta,tfidf,0.004660211404904432
ItemKNNCFRecommender,449,2855,rp3beta,bm25plus,0.004632875824805499
ItemKNNCFRecommender,93,5408,rp3beta,tfidf,0.004977765044337706
ItemKNNCFRecommender,62,1670,rp3beta,tfidf,0.004983987739594749
ItemKNNCFRecommender,248,2904,rp3beta,tfidf,0.00481381144417921
ItemKNNCFRecommender,333,4984,rp3beta,bm25plus,0.004723192000144913
ItemKNNCFRecommender,369,4672,rp3beta,tfidf,0.004720119824528196
ItemKNNCFRecommender,248,3793,rp3beta,tfidf,0.004813874756232685
ItemKNNCFRecommender,32,2779,rp3beta,tfidf,0.004960419264615438
ItemKNNCFRecommender,399,402,rp3beta,tfidf,0.0046814479436273
ItemKNNCFRecommender,36,3644,rp3beta,tfidf,0.00496867549068559
ItemKNNCFRecommender,14,1930,rp3beta,bm25plus,0.004857829910764342
ItemKNNCFRecommender,480,1739,rp3beta,tfidf,0.004651852459241724
ItemKNNCFRecommender,89,1795,rp3beta,tfidf,0.004972874481836469
ItemKNNCFRecommender,122,2562,rp3beta,bm25plus,0.004940609020162499
ItemKNNCFRecommender,230,5187,rp3beta,tfidf,0.004835790180960962
ItemKNNCFRecommender,462,2996,rp3beta,tfidf,0.004662444339461007
ItemKNNCFRecommender,343,5024,rp3beta,tfidf,0.004744087483291311
ItemKNNCFRecommender,293,3121,rp3beta,tfidf,0.004775224761551277
ItemKNNCFRecommender,40,5074,rp3beta,tfidf,0.004981291020088945
ItemKNNCFRecommender,113,434,rp3beta,tfidf,0.004901251628711046
ItemKNNCFRecommender,95,3541,rp3beta,bm25plus,0.004980766949432162
ItemKNNCFRecommender,146,665,rp3beta,tfidf,0.004909099931122652
ItemKNNCFRecommender,231,1644,rp3beta,bm25plus,0.004827358292680854
ItemKNNCFRecommender,20,3983,rp3beta,tfidf,0.004916278536147159
ItemKNNCFRecommender,261,369,rp3beta,bm25plus,0.004773111035222976
ItemKNNCFRecommender,327,560,rp3beta,tfidf,0.004726889610222265
ItemKNNCFRecommender,405,507,rp3beta,tfidf,0.004676506263284366
ItemKNNCFRecommender,45,1676,rp3beta,bm25plus,0.004958086487411362
ItemKNNCFRecommender,302,4888,rp3beta,tfidf,0.004772687412155254
ItemKNNCFRecommender,291,3031,rp3beta,bm25plus,0.004757269525858039
ItemKNNCFRecommender,241,4566,rp3beta,tfidf,0.004825563254874756
ItemKNNCFRecommender,499,2517,rp3beta,tfidf,0.004642394066324258
ItemKNNCFRecommender,163,1170,rp3beta,tfidf,0.00489284404913278
ItemKNNCFRecommender,157,3183,rp3beta,bm25plus,0.004889756137122144
ItemKNNCFRecommender,235,1450,rp3beta,bm25plus,0.004817742259538943
ItemKNNCFRecommender,449,5075,rp3beta,bm25plus,0.004633350485995674
ItemKNNCFRecommender,11,5511,rp3beta,tfidf,0.004843995991664955
ItemKNNCFRecommender,359,2873,rp3beta,tfidf,0.00473112027066814
ItemKNNCFRecommender,229,2648,rp3beta,bm25plus,0.004825178980866967
ItemKNNCFRecommender,284,3076,rp3beta,tfidf,0.004786241919005969
ItemKNNCFRecommender,56,5355,rp3beta,tfidf,0.004991902145922627
ItemKNNCFRecommender,113,2381,rp3beta,bm25plus,0.0049555598713212955
ItemKNNCFRecommender,428,2637,rp3beta,tfidf,0.004680745231300058
ItemKNNCFRecommender,473,4319,rp3beta,bm25plus,0.004625465261183801
ItemKNNCFRecommender,487,2593,rp3beta,tfidf,0.004651422155175099
ItemKNNCFRecommender,185,5622,rp3beta,tfidf,0.004874568385048813
ItemKNNCFRecommender,237,3121,rp3beta,tfidf,0.004829239422262653
ItemKNNCFRecommender,180,1679,rp3beta,bm25plus,0.004862128182376734
ItemKNNCFRecommender,239,1003,rp3beta,bm25plus,0.0048028936114097535
ItemKNNCFRecommender,334,5097,rp3beta,tfidf,0.004749709254420823
ItemKNNCFRecommender,345,2956,rp3beta,tfidf,0.004739638956607302
ItemKNNCFRecommender,388,4015,rp3beta,tfidf,0.004708196723724545
ItemKNNCFRecommender,303,3034,rp3beta,bm25plus,0.004746733165790682
ItemKNNCFRecommender,121,3873,rp3beta,bm25plus,0.004944118788248444
ItemKNNCFRecommender,432,5510,rp3beta,tfidf,0.004679424294047758
ItemKNNCFRecommender,335,4626,rp3beta,tfidf,0.004747501891107793
ItemKNNCFRecommender,29,4135,rp3beta,bm25plus,0.004934156962468264
ItemKNNCFRecommender,284,1897,rp3beta,bm25plus,0.004761623519056519
ItemKNNCFRecommender,24,5609,rp3beta,tfidf,0.004938195347909723
ItemKNNCFRecommender,82,4160,rp3beta,tfidf,0.004992505727116517
ItemKNNCFRecommender,487,746,rp3beta,bm25plus,0.00461616128488888
ItemKNNCFRecommender,187,646,rp3beta,tfidf,0.0048596372230400075
ItemKNNCFRecommender,217,1700,rp3beta,bm25plus,0.004832391363267497
ItemKNNCFRecommender,154,4464,rp3beta,bm25plus,0.00489310636784463
ItemKNNCFRecommender,69,1524,rp3beta,tfidf,0.004981359954800285
ItemKNNCFRecommender,53,3006,rp3beta,bm25plus,0.004961804740410138
