recommender,shrink,topk,similarity,normalization,MAP
ItemKNNCFRecommender,199,885,rp3beta,bm25plus,0.005098044082805055
ItemKNNCFRecommender,243,1387,rp3beta,bm25plus,0.005059985447777064
ItemKNNCFRecommender,959,2321,rp3beta,tfidf,0.004747504351506677
ItemKNNCFRecommender,457,5471,rp3beta,bm25plus,0.0048852670608140495
ItemKNNCFRecommender,448,5153,rp3beta,tfidf,0.004930373056140375
ItemKNNCFRecommender,50,5893,rp3beta,tfidf,0.005306304124446948
ItemKNNCFRecommender,508,4054,rp3beta,tfidf,0.004889372998570045
ItemKNNCFRecommender,733,3980,rp3beta,tfidf,0.004791271069385585
ItemKNNCFRecommender,139,5381,rp3beta,tfidf,0.005208413314544916
ItemKNNCFRecommender,72,2751,rp3beta,bm25plus,0.005223003531206385
ItemKNNCFRecommender,955,1562,rp3beta,tfidf,0.004748556164233867
ItemKNNCFRecommender,763,4056,rp3beta,tfidf,0.004788100711176344
ItemKNNCFRecommender,185,5524,rp3beta,bm25plus,0.005146809382296659
ItemKNNCFRecommender,815,2422,rp3beta,bm25plus,0.004743612882013704
ItemKNNCFRecommender,488,3854,rp3beta,bm25plus,0.004850752232027155
ItemKNNCFRecommender,511,1413,rp3beta,bm25plus,0.004844118858826082
ItemKNNCFRecommender,779,413,rp3beta,tfidf,0.004746507548154043
ItemKNNCFRecommender,854,1010,rp3beta,tfidf,0.004759294872450629
ItemKNNCFRecommender,464,2977,rp3beta,bm25plus,0.0048783829698550735
ItemKNNCFRecommender,854,5992,rp3beta,tfidf,0.004767365503946359
ItemKNNCFRecommender,487,5651,rp3beta,bm25plus,0.0048531748183348105
ItemKNNCFRecommender,272,4875,rp3beta,tfidf,0.005079631880451512
ItemKNNCFRecommender,659,2238,rp3beta,bm25plus,0.004790998694961269
ItemKNNCFRecommender,611,3671,rp3beta,bm25plus,0.004801180263273448
ItemKNNCFRecommender,820,1141,rp3beta,tfidf,0.0047642787397010455
ItemKNNCFRecommender,643,2334,rp3beta,bm25plus,0.004791662777568969
ItemKNNCFRecommender,152,2938,rp3beta,tfidf,0.0051934143993368756
ItemKNNCFRecommender,968,354,rp3beta,bm25plus,0.004672896291588084
ItemKNNCFRecommender,886,629,rp3beta,bm25plus,0.00471678147143264
ItemKNNCFRecommender,649,1690,rp3beta,tfidf,0.004817561697343841
ItemKNNCFRecommender,65,3682,rp3beta,bm25plus,0.005232414333359317
ItemKNNCFRecommender,863,2082,rp3beta,bm25plus,0.004731739396366014
ItemKNNCFRecommender,495,4871,rp3beta,bm25plus,0.004847713795764001
ItemKNNCFRecommender,254,675,rp3beta,bm25plus,0.005033819363887825
ItemKNNCFRecommender,543,4280,rp3beta,tfidf,0.004862606794453841
ItemKNNCFRecommender,342,2523,rp3beta,bm25plus,0.004984365127686952
ItemKNNCFRecommender,189,5504,rp3beta,tfidf,0.005148341625300282
ItemKNNCFRecommender,902,5724,rp3beta,bm25plus,0.004722049607618669
ItemKNNCFRecommender,952,3154,rp3beta,bm25plus,0.004722537033824901
ItemKNNCFRecommender,806,3425,rp3beta,bm25plus,0.00474697518664385
ItemKNNCFRecommender,477,2169,rp3beta,bm25plus,0.004858503358374906
ItemKNNCFRecommender,300,3139,rp3beta,tfidf,0.005052673375496541
ItemKNNCFRecommender,511,610,rp3beta,tfidf,0.0048699737433513714
ItemKNNCFRecommender,537,891,rp3beta,bm25plus,0.004818289739956027
ItemKNNCFRecommender,148,4436,rp3beta,bm25plus,0.005173799157974784
ItemKNNCFRecommender,625,2242,rp3beta,bm25plus,0.004793561333312132
ItemKNNCFRecommender,402,1909,rp3beta,bm25plus,0.004933690923160702
ItemKNNCFRecommender,67,2166,rp3beta,bm25plus,0.005215465333402121
ItemKNNCFRecommender,277,5794,rp3beta,tfidf,0.005072141129418415
ItemKNNCFRecommender,440,2535,rp3beta,tfidf,0.004936326110250137
