recommender,shrink,topk,similarity,normalization,MAP
ItemKNNCFRecommender,180,925,rp3beta,bm25plus,0.004919359924349174
ItemKNNCFRecommender,65,173,rp3beta,bm25plus,0.00490561084066345
ItemKNNCFRecommender,129,1450,rp3beta,tfidf,0.0050736953919774085
ItemKNNCFRecommender,161,304,rp3beta,bm25plus,0.004919589043840384
ItemKNNCFRecommender,90,1511,rp3beta,tfidf,0.005110000941579336
ItemKNNCFRecommender,70,1717,rp3beta,bm25plus,0.005050642848084431
ItemKNNCFRecommender,178,201,rp3beta,tfidf,0.004930413271274159
ItemKNNCFRecommender,194,769,rp3beta,tfidf,0.004945544006234144
ItemKNNCFRecommender,145,1311,rp3beta,bm25plus,0.0049745390555706
ItemKNNCFRecommender,134,1021,rp3beta,tfidf,0.005050526770604382
ItemKNNCFRecommender,12,1864,rp3beta,tfidf,0.00497451831627504
ItemKNNCFRecommender,104,1482,rp3beta,tfidf,0.005106193257788165
ItemKNNCFRecommender,92,1466,rp3beta,tfidf,0.0051126686999434035
ItemKNNCFRecommender,87,1982,rp3beta,tfidf,0.005114085650951383
ItemKNNCFRecommender,33,1905,rp3beta,tfidf,0.00508919593115646
ItemKNNCFRecommender,58,1221,rp3beta,tfidf,0.005091089152372456
ItemKNNCFRecommender,93,1998,rp3beta,tfidf,0.005121141551173433
ItemKNNCFRecommender,117,1997,rp3beta,tfidf,0.005092439624063186
ItemKNNCFRecommender,83,1744,rp3beta,tfidf,0.005097737714456955
ItemKNNCFRecommender,46,624,rp3beta,tfidf,0.0050083669696515225
ItemKNNCFRecommender,108,1698,rp3beta,tfidf,0.005105895088177486
ItemKNNCFRecommender,91,1992,rp3beta,tfidf,0.0051219125975836615
ItemKNNCFRecommender,80,1983,rp3beta,tfidf,0.005110648749594664
ItemKNNCFRecommender,115,1787,rp3beta,tfidf,0.005094299839204552
ItemKNNCFRecommender,98,1602,rp3beta,tfidf,0.00511024323782894
ItemKNNCFRecommender,44,1232,rp3beta,tfidf,0.0050933390425871175
ItemKNNCFRecommender,75,1846,rp3beta,tfidf,0.005099689882767816
ItemKNNCFRecommender,126,1622,rp3beta,bm25plus,0.005013941524998546
ItemKNNCFRecommender,147,1958,rp3beta,tfidf,0.005048432597212452
ItemKNNCFRecommender,56,427,rp3beta,bm25plus,0.0049575892009482295
ItemKNNCFRecommender,93,1828,rp3beta,tfidf,0.0051197992728877
ItemKNNCFRecommender,97,1838,rp3beta,tfidf,0.005114287157844248
ItemKNNCFRecommender,104,1834,rp3beta,tfidf,0.005109197758389049
ItemKNNCFRecommender,118,1612,rp3beta,tfidf,0.005089086416397419
ItemKNNCFRecommender,71,1336,rp3beta,bm25plus,0.005048278201417496
ItemKNNCFRecommender,95,1787,rp3beta,tfidf,0.00511629277714982
ItemKNNCFRecommender,62,1699,rp3beta,tfidf,0.005113520513811454
ItemKNNCFRecommender,84,1765,rp3beta,bm25plus,0.00506211039034243
