recommender,alpha,TopK,MAP
P3alphaRecommender,0.6786932671509615,126,0.004679087674402661
P3alphaRecommender,0.42461868350284904,589,0.004304428071248574
P3alphaRecommender,0.19441194128991324,166,0.004321443370945336
P3alphaRecommender,0.3120040216138874,679,0.004225800971260414
P3alphaRecommender,0.37484014748334127,834,0.00423151697742286
P3alphaRecommender,0.7577294792206691,555,0.00459354505278412
P3alphaRecommender,0.13548745665845435,343,0.004208061132164762
P3alphaRecommender,0.8781911395684537,811,0.004411417456742698
P3alphaRecommender,0.5159916872010922,727,0.004334037567061013
P3alphaRecommender,0.4916074220515134,579,0.004334590502868093
P3alphaRecommender,0.6827258606363692,684,0.00450131682755478
P3alphaRecommender,0.22232081315680396,485,0.004199448140840199
P3alphaRecommender,0.4693544024970099,103,0.0045463535765068895
P3alphaRecommender,0.6883405958940583,629,0.004511201703537783
P3alphaRecommender,0.6263559525840429,225,0.004567982359837288
P3alphaRecommender,0.4543971043308992,476,0.00434277772326006
P3alphaRecommender,0.5196168781550126,56,0.004578289360036329
P3alphaRecommender,0.1359768261478311,637,0.004148204015330169
P3alphaRecommender,0.824115006349824,142,0.004553651260588645
P3alphaRecommender,0.29007919366330215,361,0.004271671046123534
P3alphaRecommender,0.6624719084404024,677,0.004474468158333578
P3alphaRecommender,0.2548149481205202,428,0.004230594038344209
P3alphaRecommender,0.146152613181836,910,0.004128242940442735
P3alphaRecommender,0.5224476186549385,486,0.004384596310977063
P3alphaRecommender,0.7064060893342404,917,0.00447164422422941
P3alphaRecommender,0.384721278064863,350,0.004337578793990575
P3alphaRecommender,0.8412786624011693,449,0.004533408787688444
P3alphaRecommender,0.31157802589961286,247,0.004359046814100223
P3alphaRecommender,0.8124266288294909,675,0.00453400688338876
P3alphaRecommender,0.12510326448922743,777,0.004135016777914705
P3alphaRecommender,0.8405255467609608,785,0.004494967125145423
P3alphaRecommender,0.17525837345525297,614,0.0041706614205689685
P3alphaRecommender,0.15212833808183426,756,0.004145971508392336
P3alphaRecommender,0.19124499244476453,70,0.004304360029468616
P3alphaRecommender,0.5732897562068018,299,0.004479443763911304
P3alphaRecommender,0.5109353035125034,668,0.004330865190113494
P3alphaRecommender,0.2147433571829085,167,0.0043341362697341705
P3alphaRecommender,0.17259033167715013,331,0.004229012363512609
P3alphaRecommender,0.4106508791946203,633,0.004280405068383305
P3alphaRecommender,0.7560457867288685,588,0.004569090114664507
P3alphaRecommender,0.5988395735465962,917,0.00436193646372916
P3alphaRecommender,0.8483473749818303,290,0.004493922816271205
P3alphaRecommender,0.7379752272310597,263,0.00465839568807807
P3alphaRecommender,0.8072130086534236,350,0.004609854416447506
P3alphaRecommender,0.8429889261364086,460,0.004526874831325923
P3alphaRecommender,0.6299238077127993,313,0.004525513523591486
P3alphaRecommender,0.5753516759689917,206,0.004554134327517224
P3alphaRecommender,0.33724265762073036,340,0.004323452251515405
P3alphaRecommender,0.6809112499450423,225,0.004627301870833856
P3alphaRecommender,0.4177134560556225,337,0.004360735992408482
P3alphaRecommender,0.29269247931261966,74,0.004389570817395097
P3alphaRecommender,0.263884547788525,564,0.004216657459924884
P3alphaRecommender,0.4055923811135559,351,0.004338474829849141
P3alphaRecommender,0.4014492023920736,532,0.004294205982551771
P3alphaRecommender,0.27702741430901706,384,0.004254415799798044
P3alphaRecommender,0.22972187304626035,796,0.004171089243410286
P3alphaRecommender,0.4959045068687352,522,0.0043519662396579485
P3alphaRecommender,0.33921543505934615,761,0.004230034191159
P3alphaRecommender,0.3622330925333581,314,0.004350868166333332
P3alphaRecommender,0.29621359936426017,210,0.004354160975080882
P3alphaRecommender,0.5342316541835923,316,0.004440901629430724
P3alphaRecommender,0.49494931820877286,180,0.004521543194467207
P3alphaRecommender,0.24841196924895437,512,0.004217004364320463
P3alphaRecommender,0.10469071117756856,813,0.004120721083472776
P3alphaRecommender,0.4196321138117901,664,0.004289065812815227
P3alphaRecommender,0.2770262191246563,538,0.004223880075817728
P3alphaRecommender,0.5865891736451053,253,0.004518641587624586
P3alphaRecommender,0.791426787599533,30,0.004581798908355484
P3alphaRecommender,0.49443597597103783,41,0.004538136384515656
P3alphaRecommender,0.8981324246125164,612,0.004336637245067637
P3alphaRecommender,0.13651250630033732,913,0.004125090811441379
P3alphaRecommender,0.21571318748511115,898,0.0041608308615723455
P3alphaRecommender,0.5582531520469213,204,0.004554880364242975
P3alphaRecommender,0.4417682878116105,727,0.004286132125926806
P3alphaRecommender,0.6996892055185565,550,0.004548883289904633
P3alphaRecommender,0.5211364445455853,345,0.004426143729091994
P3alphaRecommender,0.26609085999018445,367,0.004262013577775791
P3alphaRecommender,0.17276167503684192,611,0.0041720616900631485
P3alphaRecommender,0.6331024254834678,101,0.004669656975276963
P3alphaRecommender,0.3425063840795345,730,0.004238013679584267
P3alphaRecommender,0.18364034840230278,763,0.004152586767245153
P3alphaRecommender,0.8876126222494908,206,0.004247010108012278
P3alphaRecommender,0.8259836433431832,525,0.00456296099266809
P3alphaRecommender,0.7548498182179307,140,0.004707576175069552
P3alphaRecommender,0.6145779144026147,218,0.004561818033460891
P3alphaRecommender,0.1071636222880577,312,0.00422214604060229
P3alphaRecommender,0.8233085428555809,466,0.004578026656127438
P3alphaRecommender,0.5121800900517951,723,0.004329577948744366
P3alphaRecommender,0.25733327870887956,348,0.0042653866088602855
P3alphaRecommender,0.298794019382993,194,0.004360178310145115
P3alphaRecommender,0.16122042434351586,480,0.004164472640460594
P3alphaRecommender,0.3310779288558916,402,0.004274584006014695
P3alphaRecommender,0.6188091707761614,57,0.004645338639821061
