recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.4852207873816242,0.12471299385667206,652,0.0048044487410867556
RP3betaRecommender,0.39681322577770495,0.6127020520137646,671,0.0037663552301010505
RP3betaRecommender,0.5670967787925569,0.8667994418641295,420,0.0015383734263862646
RP3betaRecommender,0.781437732438972,0.5573077676730772,554,0.003913091346459944
RP3betaRecommender,0.5335694778590206,0.47118603934807146,371,0.004717762079121506
RP3betaRecommender,0.8352546082928298,0.11721386826668666,576,0.004850501957416278
RP3betaRecommender,0.3159515017124551,0.33993681556866734,580,0.004853596431484678
RP3betaRecommender,0.23589125612670303,0.5681230345763655,673,0.004062612759870147
RP3betaRecommender,0.2301109026150172,0.29412580421905804,649,0.004826752092522067
RP3betaRecommender,0.5219329483323185,0.4636068771656424,840,0.004409596965764076
RP3betaRecommender,0.48950473865127,0.8947056135450094,994,0.000727403299172396
RP3betaRecommender,0.3669581308363562,0.21056662995273917,147,0.0048593956282684675
RP3betaRecommender,0.46593671868485154,0.2202984432186127,563,0.004897022413358176
RP3betaRecommender,0.32860290229827427,0.7742583175990815,213,0.002792708292690562
RP3betaRecommender,0.811285365978059,0.585172055884722,12,0.0035609421794825396
RP3betaRecommender,0.45183172793324844,0.21820317461413152,47,0.004387205287304361
RP3betaRecommender,0.25473844066811263,0.4107136975750739,961,0.004581339603714212
RP3betaRecommender,0.6378040694054986,0.7840384914037605,446,0.0021591672302331056
RP3betaRecommender,0.6161307817676005,0.47596777921386824,618,0.004485908828621973
RP3betaRecommender,0.6093318272213056,0.8121178494249239,780,0.0013244511389798592
RP3betaRecommender,0.5194541970442995,0.4466820379406359,1000,0.004368985732004449
RP3betaRecommender,0.8655257302154921,0.49319210386782997,499,0.0042490403502561365
RP3betaRecommender,0.8993191148033816,0.6848985596199,649,0.0021469663923522576
RP3betaRecommender,0.5062675196197371,0.7606870968912736,428,0.002620823703460753
RP3betaRecommender,0.31592782845602274,0.6980646742806119,722,0.0028978539690643398
RP3betaRecommender,0.8668739686651945,0.7020408450258679,511,0.002368197743374325
RP3betaRecommender,0.7778319371011201,0.7011035675391493,523,0.0025889627920795723
RP3betaRecommender,0.479870756685265,0.369616052681918,224,0.004850697852236534
RP3betaRecommender,0.7525961504522616,0.5867715713874306,246,0.004174490664148294
RP3betaRecommender,0.5402374043459128,0.8103717509153184,773,0.0014527455977870235
RP3betaRecommender,0.8664683352784458,0.8275573501812027,393,0.0014013579467707215
RP3betaRecommender,0.21976351606696787,0.5630613449294498,614,0.004148368234622928
RP3betaRecommender,0.5811594170395342,0.792348641608347,421,0.002216509500167352
RP3betaRecommender,0.7278561817302737,0.4884591135589854,279,0.004610286787169207
RP3betaRecommender,0.2132972081925714,0.5654401378684942,279,0.00426562556510802
RP3betaRecommender,0.22304914579212864,0.491349400291919,460,0.0045804677151427605
RP3betaRecommender,0.4553667744069483,0.40459914857384305,439,0.004809919629319565
RP3betaRecommender,0.5549917638788464,0.8126721635242904,134,0.0025414403428181973
RP3betaRecommender,0.46307502833219427,0.2087593681568322,489,0.0048863686859682825
RP3betaRecommender,0.35984189680890966,0.6910142736125419,891,0.0027029675638001204
RP3betaRecommender,0.644122240025193,0.880005312070724,848,0.0007474302400002147
RP3betaRecommender,0.15335397162089706,0.14507989540696614,458,0.004789774625992342
RP3betaRecommender,0.4229843961132238,0.3476398088161794,851,0.004775251556094913
RP3betaRecommender,0.7753174779173141,0.35361178909710433,806,0.004582500539143971
