recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.18587857863983803,0.22347122819665508,237,0.004574012790284483
RP3betaRecommender,0.4903895319153686,0.4628550861184121,358,0.004482127322257882
RP3betaRecommender,0.6026602177656761,0.8093278442238747,155,0.00244087704921607
RP3betaRecommender,0.4789573476268043,0.5988430848568685,265,0.004075114902581535
RP3betaRecommender,0.25481423945863624,0.6703891996602234,418,0.0034755445625900376
RP3betaRecommender,0.4691880376623242,0.36930323313626223,178,0.004640206156618853
RP3betaRecommender,0.370995459395694,0.5374955674852594,166,0.0042447634466811985
RP3betaRecommender,0.23577058826074238,0.3813113530182616,352,0.004608796738406283
RP3betaRecommender,0.12733675459662772,0.3580766518360433,350,0.004545431378168131
RP3betaRecommender,0.8843342517857881,0.34883697308145034,200,0.004566792936739993
RP3betaRecommender,0.8623352139707443,0.35708726113667,405,0.004472078792712305
RP3betaRecommender,0.4126176975795962,0.2658485364355798,140,0.004521837122991381
RP3betaRecommender,0.2127378137832807,0.8764061381795234,236,0.0017887261185556863
RP3betaRecommender,0.214486674964218,0.13491882609339836,320,0.0045722430096384985
RP3betaRecommender,0.7946847774978767,0.8920696389004025,127,0.0015326557445772893
RP3betaRecommender,0.4054870255998476,0.27495301011644707,349,0.004651005235080641
RP3betaRecommender,0.41053533743924997,0.2955507411230255,131,0.004501933830325593
RP3betaRecommender,0.2536109719073634,0.20733348038341148,371,0.0046155407781255
RP3betaRecommender,0.25018346816875225,0.6838822223807601,345,0.003414200426765755
RP3betaRecommender,0.1340456089588673,0.5594221007656999,479,0.004114120779942884
RP3betaRecommender,0.8243487134979909,0.38540128382640293,159,0.00452170828648273
RP3betaRecommender,0.7402615679243795,0.4852469453361552,161,0.004388058813532898
RP3betaRecommender,0.6910611251351122,0.40611245601687596,375,0.004538138549753947
RP3betaRecommender,0.42358668818686707,0.7835710116230415,277,0.002604700193059398
RP3betaRecommender,0.7214044471574582,0.2601292831489424,209,0.004668301375746024
RP3betaRecommender,0.8779244114073478,0.35578079824876063,134,0.004534178469614149
RP3betaRecommender,0.10701146130048188,0.6647305257756939,413,0.003399079038150248
RP3betaRecommender,0.48445045404456444,0.4726194354285178,205,0.004459063614852492
RP3betaRecommender,0.49618775901505696,0.14967371372906754,263,0.00464524090381192
RP3betaRecommender,0.36896842284122144,0.652302650798095,399,0.003663569482952844
RP3betaRecommender,0.19468810647392695,0.3142835176500911,485,0.004623951504115094
RP3betaRecommender,0.35201748564903756,0.46090551549174674,125,0.004349831322324515
RP3betaRecommender,0.8265821169451514,0.8793717462884441,276,0.0012696020409137707
RP3betaRecommender,0.5983179541861349,0.280940075785732,306,0.0046455856868687076
RP3betaRecommender,0.6045338440702683,0.5417944493151132,317,0.004273393492955497
RP3betaRecommender,0.6429884629397025,0.10928422680821762,238,0.004621140298534699
RP3betaRecommender,0.4666798096595287,0.6401744356537462,327,0.003813118524891204
RP3betaRecommender,0.2600876569284394,0.5673884564205148,431,0.004158458727678342
RP3betaRecommender,0.37494906599114475,0.16639705364187007,445,0.004623509516047713
RP3betaRecommender,0.5318333585114173,0.6181044626366871,355,0.0038980469703511597
RP3betaRecommender,0.5029296853653163,0.195925177562862,185,0.004602586003429595
RP3betaRecommender,0.5250100398331717,0.5081892808435312,500,0.004319774014937507
RP3betaRecommender,0.7000271606481857,0.20115870583247225,414,0.0046234887905445355
RP3betaRecommender,0.5711408108044607,0.3757091855494513,440,0.004584075308681671
RP3betaRecommender,0.5196670645888392,0.6749788671693657,269,0.0035847480318827543
RP3betaRecommender,0.13554991434238373,0.23646751466939275,493,0.0045618987768055175
RP3betaRecommender,0.5484864952514238,0.1498391224162754,159,0.0045962679518057785
RP3betaRecommender,0.710109108912314,0.8818059349673018,208,0.001584856100715205
RP3betaRecommender,0.824026431486716,0.32468564619797646,179,0.004605491457564291
RP3betaRecommender,0.7830394952753944,0.41365675534663515,385,0.004467202011499533
