recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.15726115736384233,0.1202142043324484,372,0.0048854196312576245
RP3betaRecommender,0.48662634320790044,0.41131761131627964,671,0.004845863601923438
RP3betaRecommender,0.25909886317296926,0.30978859404592807,257,0.0050512337495356345
RP3betaRecommender,0.3980827680195429,0.7239598444817396,970,0.0022388324585996084
RP3betaRecommender,0.7572872717359705,0.17733241277745712,495,0.0050485208714278725
RP3betaRecommender,0.8095317933203028,0.3731121125885878,442,0.004915411583788354
RP3betaRecommender,0.40568792573219026,0.16678053203137289,501,0.005013294892852837
RP3betaRecommender,0.5417545476904779,0.607976774470021,667,0.003832115056021126
RP3betaRecommender,0.2670233955936677,0.6963909264711501,508,0.003340151806621681
RP3betaRecommender,0.8171832666251686,0.5499331792714246,758,0.0036218849469397984
RP3betaRecommender,0.11794353831200999,0.8699756882808012,73,0.0020541965442723363
RP3betaRecommender,0.6656528857005939,0.26873927841902173,183,0.005061953573825062
RP3betaRecommender,0.6007158462788504,0.31374781530304036,132,0.004972865885925492
RP3betaRecommender,0.693932924092271,0.2612010774996717,239,0.005104847851858006
RP3betaRecommender,0.6913910867402626,0.26071341578164575,216,0.0051154968613982355
RP3betaRecommender,0.6940694896129803,0.4686859114976043,5,0.0031638746929636037
RP3betaRecommender,0.890678312463183,0.2285517986978532,288,0.005035237338991277
RP3betaRecommender,0.6642048763848539,0.39388150907548686,271,0.00503362158633491
RP3betaRecommender,0.5618021999653118,0.4773751447829403,368,0.004847345589037855
RP3betaRecommender,0.7306117395365008,0.10931096356520151,172,0.004973435756370909
RP3betaRecommender,0.8694763369138685,0.2306783236026161,77,0.004885369115031168
RP3betaRecommender,0.67005345518333,0.28917326817109157,199,0.005097711334013516
RP3betaRecommender,0.6288557477965179,0.33934501980762566,217,0.005068556219458852
RP3betaRecommender,0.7692350885795625,0.2120494737224476,353,0.005043336321964866
RP3betaRecommender,0.4965988494171753,0.2671627558522975,7,0.002823700909504566
RP3betaRecommender,0.7098179226128916,0.41812063058342663,111,0.004868683853336439
RP3betaRecommender,0.595931696725629,0.2923578349524576,316,0.005095299790972314
RP3betaRecommender,0.813223856712009,0.5409272465978244,421,0.0042981316048023455
RP3betaRecommender,0.6443914787325429,0.16824478691421302,226,0.0050515266805266365
RP3betaRecommender,0.5365842613395323,0.1322890159523714,160,0.004918444537347397
RP3betaRecommender,0.37316071136283996,0.44286789400280746,590,0.0048422614156362715
RP3betaRecommender,0.5972566267292417,0.2785529331671258,323,0.005101423509298022
RP3betaRecommender,0.5972086558513787,0.3443638649784952,321,0.005106092938994995
RP3betaRecommender,0.468901518206865,0.34296579397390425,306,0.005099051189729426
RP3betaRecommender,0.5896936785516314,0.37009992965272104,417,0.005055900800855252
RP3betaRecommender,0.4759751472108573,0.24387808044476306,921,0.004914607010604825
RP3betaRecommender,0.7616520297300424,0.190284088694056,338,0.005050748268731191
RP3betaRecommender,0.44054711526695056,0.3327332496478392,261,0.005059012450063926
RP3betaRecommender,0.5263188315980137,0.13346632801811562,459,0.004972694462122008
RP3betaRecommender,0.31616282130275053,0.4178388836624866,560,0.004900865616005312
RP3betaRecommender,0.6089211500301348,0.36694184935764695,381,0.005043000228794607
RP3betaRecommender,0.4270272466258059,0.3380346676492032,293,0.005082124393185045
RP3betaRecommender,0.4743250676728395,0.2718612376913523,229,0.00506865281851125
RP3betaRecommender,0.5603470158297388,0.5289516680389081,314,0.004718343336158928
RP3betaRecommender,0.7265799406326603,0.6064107992808164,383,0.004069510165208424
RP3betaRecommender,0.6874536025797752,0.31939650528952623,117,0.0049351393558406224
RP3betaRecommender,0.35923744358372284,0.8934143647462518,474,0.001525205569555323
RP3betaRecommender,0.6308237831431915,0.19317320393917092,248,0.005068690528110265
RP3betaRecommender,0.24247994162564374,0.8043533674291867,409,0.0024448326543900444
RP3betaRecommender,0.5742072228374601,0.25029239387434987,160,0.005020082125404896
RP3betaRecommender,0.513760882490373,0.371417980881028,513,0.005020793691784475
RP3betaRecommender,0.6716623797915461,0.29306991514526065,197,0.0050964867585324555
RP3betaRecommender,0.6426756451878153,0.28817250517454235,76,0.004856704953989075
RP3betaRecommender,0.7903136703632685,0.34856129690881515,272,0.005033246032267822
RP3betaRecommender,0.7369296634890763,0.20553501738134475,346,0.005037834653303205
RP3betaRecommender,0.6979978819531402,0.24000413061900194,196,0.005095034427598407
RP3betaRecommender,0.668660445279565,0.39254531898174766,300,0.005031045483965671
RP3betaRecommender,0.8459119305509667,0.4419223848165099,42,0.004543474776482654
RP3betaRecommender,0.6160424370094246,0.30943955913204857,141,0.004979269768179828
RP3betaRecommender,0.5612808677436292,0.14119178118967066,239,0.004998867574323628
RP3betaRecommender,0.45377352913432756,0.1626566585108516,333,0.005037873698127058
RP3betaRecommender,0.661649840501567,0.2924669053576761,192,0.005079184647598611
RP3betaRecommender,0.6832369361038609,0.2615069150683736,202,0.00509325423875833
RP3betaRecommender,0.7086296457611913,0.22200265069445313,101,0.004935140925716727
RP3betaRecommender,0.7482969330987317,0.3009154109384151,272,0.0050774644637319585
RP3betaRecommender,0.7746003841467406,0.35327954283084706,139,0.004989241771533665
RP3betaRecommender,0.6492074092023097,0.2689968096882198,790,0.0049537236028446745
RP3betaRecommender,0.588975365823999,0.322200256114694,219,0.005081235371039714
RP3betaRecommender,0.5484174403111196,0.3882768491575301,163,0.00497906533717917
RP3betaRecommender,0.7225494044281355,0.49574940136521006,313,0.0047171109887156944
RP3betaRecommender,0.5004737377771332,0.2205763097983879,371,0.005082911648321675
RP3betaRecommender,0.5970987899864705,0.28738626156214314,327,0.005098877263687994
RP3betaRecommender,0.6159490356830406,0.2805439699002586,250,0.0051061470678514555
RP3betaRecommender,0.6158780896703467,0.26698491742194524,256,0.005111968627276146
RP3betaRecommender,0.6220537619213461,0.24762067282627143,256,0.0051134545896547355
RP3betaRecommender,0.6168820308883113,0.1856045261497765,259,0.005074282866303053
RP3betaRecommender,0.5257885305766037,0.23872965263038276,297,0.00511047892716751
RP3betaRecommender,0.5796144510281255,0.16103863151179992,402,0.005019150313261634
RP3betaRecommender,0.6335516572336807,0.2441627535976272,244,0.005104444805712741
RP3betaRecommender,0.5296649685339787,0.24737791011051308,239,0.005102545171681682
RP3betaRecommender,0.6275732110000926,0.21649496206581817,284,0.005089305900936595
RP3betaRecommender,0.6449255016606831,0.2432703236704451,245,0.005104509381994387
RP3betaRecommender,0.6418285571666537,0.23954352233497062,178,0.005072876046818509
RP3betaRecommender,0.5478616033245217,0.256844104242361,253,0.005097589481108501
RP3betaRecommender,0.6572328830713604,0.20317694520731241,220,0.005075783356489532
RP3betaRecommender,0.6172147893407232,0.11048288922817778,288,0.005025079694044669
RP3betaRecommender,0.6906308749911324,0.17955446610122489,212,0.005053929082969019
RP3betaRecommender,0.5682873396017891,0.23270612860564105,364,0.005085949949922879
RP3betaRecommender,0.7098975795742032,0.31737386640272275,243,0.00508248928422882
RP3betaRecommender,0.6358392637537039,0.2670502113759857,273,0.005088039258305507
RP3betaRecommender,0.5158263296528961,0.6684984738630128,437,0.0036417289833430423
RP3betaRecommender,0.5318484697189428,0.25156979151597547,234,0.0050850363651068495
RP3betaRecommender,0.5826198967557813,0.20378399531027558,166,0.004997465090537677
RP3betaRecommender,0.6746772286211067,0.23388741537871044,297,0.005084875732810519
RP3betaRecommender,0.49485149668106715,0.2734520632589669,250,0.005103924922363398
RP3betaRecommender,0.6038184074516854,0.28012595845445587,350,0.005133898647775272
RP3betaRecommender,0.6488703067464668,0.1445653739634769,347,0.0050329089260069786
RP3betaRecommender,0.6072186168465388,0.3296356711098564,318,0.005131597290492982
RP3betaRecommender,0.608870505548739,0.3055258166750298,326,0.005129069516135082
RP3betaRecommender,0.6073822173906067,0.3350707726394658,305,0.0051022211490364955
RP3betaRecommender,0.5988614081252271,0.3072995459698024,388,0.005125906538863685
RP3betaRecommender,0.5591400975985347,0.3060684833034579,343,0.005138977808060832
