recommender,alpha,beta,MAP
RP3beta_ItemKNNCF,0.24897047331922728,0.6365213980446579,0.005343896253980827
RP3beta_ItemKNNCF,0.2389518907264705,0.5409361527968525,0.0053424100421464
RP3beta_ItemKNNCF,0.06446784848820475,0.5372967321591506,0.005327789336584818
RP3beta_ItemKNNCF,0.8411075056167842,0.09178420037362256,0.005191542117282476
RP3beta_ItemKNNCF,0.5606099811530577,0.4237697408612011,0.005300559877818615
RP3beta_ItemKNNCF,0.22848561889694008,0.09562585172505755,0.005292123089048644
RP3beta_ItemKNNCF,0.9036132526358764,0.10039758245164099,0.005190360458658933
RP3beta_ItemKNNCF,0.5939334115974566,0.41528186186351357,0.005297058421689568
RP3beta_ItemKNNCF,0.5442750840980938,0.8194254597339375,0.005338860981670188
RP3beta_ItemKNNCF,0.2172837008307461,0.8934783086380642,0.0053250240217575795
RP3beta_ItemKNNCF,0.9171301673027579,0.3267105633050056,0.005266236689939498
RP3beta_ItemKNNCF,0.9006111221053353,0.1639201482682351,0.005212599128543736
RP3beta_ItemKNNCF,0.0002795601668499348,0.023047300421556782,0.005305349265277671
RP3beta_ItemKNNCF,0.12692648654740513,0.8702882095668631,0.0053263806486237505
RP3beta_ItemKNNCF,0.7671890713481408,0.9111977321418037,0.0053412328484698434
RP3beta_ItemKNNCF,0.9707224903638281,0.9385417325963926,0.005315884755244277
RP3beta_ItemKNNCF,0.8564937290216529,0.7695244809212252,0.005310041870964784
RP3beta_ItemKNNCF,0.5915452142900001,0.5734801221860405,0.005315145398862995
RP3beta_ItemKNNCF,0.19341629524936244,0.7815078324248228,0.005322633948482292
RP3beta_ItemKNNCF,0.9237755023679197,0.033964782772696656,0.0051308800870635465
RP3beta_ItemKNNCF,0.3477828323858204,0.7037248687778702,0.005342774919860024
RP3beta_ItemKNNCF,0.3724815347058028,0.10426900203727918,0.005249302469956373
RP3beta_ItemKNNCF,0.47477163568101466,0.13997818272523987,0.00525304460548105
RP3beta_ItemKNNCF,0.6993874325993397,0.6896281764619551,0.005314498725525914
RP3beta_ItemKNNCF,0.12174665081264768,0.49264243621111237,0.005321981612770623
RP3beta_ItemKNNCF,0.13433053821959384,0.712653132389804,0.00532588810815588
RP3beta_ItemKNNCF,0.2787752142715221,0.46141123574922416,0.0053389795268557845
RP3beta_ItemKNNCF,0.46856834774270995,0.7294288901933746,0.005334955918833344
RP3beta_ItemKNNCF,0.31075881715923004,0.9082573001025616,0.005333404095613939
RP3beta_ItemKNNCF,0.6024763030464954,0.9916418138585447,0.005337345299992097
RP3beta_ItemKNNCF,0.23407866235396735,0.7572007352125475,0.0053250688702994224
RP3beta_ItemKNNCF,0.38818397485358846,0.6684028877354644,0.005338289073742609
RP3beta_ItemKNNCF,0.3225086293140389,0.29854717183798785,0.0053132866006992754
RP3beta_ItemKNNCF,0.5988557486696987,0.6722510957084664,0.005334763131956865
RP3beta_ItemKNNCF,0.8116864169512427,0.49969037095238755,0.00528176963623739
RP3beta_ItemKNNCF,0.03048522238565865,0.7572009374739941,0.0053083599028433195
RP3beta_ItemKNNCF,0.29627880789936334,0.759490679773501,0.005344190245614062
RP3beta_ItemKNNCF,0.13827951528409888,0.335120750709352,0.005346114220940051
RP3beta_ItemKNNCF,0.8209902698804782,0.9654005501527413,0.005340720921782147
RP3beta_ItemKNNCF,0.19383990572354504,0.48114803973909304,0.005340862463086948
RP3beta_ItemKNNCF,0.10948116047037082,0.469759011518989,0.005327109047036988
RP3beta_ItemKNNCF,0.14495995346153734,0.41792290660141895,0.005333260397510322
RP3beta_ItemKNNCF,0.12381115620298688,0.02402384584403594,0.0052229584426601765
RP3beta_ItemKNNCF,0.0371664733811492,0.9262641459531167,0.005307915807354659
RP3beta_ItemKNNCF,0.5718553888153612,0.9852917569144272,0.005338127892578132
RP3beta_ItemKNNCF,0.09590290273008917,0.8606105894626401,0.005325142121364982
RP3beta_ItemKNNCF,0.7448221910521797,0.9364353625449957,0.005337603546157516
RP3beta_ItemKNNCF,0.002884155115998932,0.9496903849463066,0.00530726876137741
RP3beta_ItemKNNCF,0.5276901797391248,0.49051201332740724,0.005315910479286969
RP3beta_ItemKNNCF,0.4131915891409378,0.041175279192003145,0.005184131556423695
RP3beta_ItemKNNCF,0.38868230557759065,0.4243061562899757,0.005332788629227772
RP3beta_ItemKNNCF,0.2189796562297518,0.9962959913238174,0.005326709297845143
RP3beta_ItemKNNCF,0.8861949834609405,0.11922046583229406,0.005204667676852904
RP3beta_ItemKNNCF,0.6498147229050384,0.23164573052373194,0.0052662200896349915
RP3beta_ItemKNNCF,0.20541503430553487,0.4410705904576502,0.005344518450681066
RP3beta_ItemKNNCF,0.9143178776839173,0.3337377483448857,0.005272994887245838
RP3beta_ItemKNNCF,0.231146546504422,0.14214607662997114,0.005281776468126463
RP3beta_ItemKNNCF,0.7824401453088917,0.6925731935618489,0.005306439126278112
RP3beta_ItemKNNCF,0.26061029190940566,0.8513811072376456,0.00532432191763733
RP3beta_ItemKNNCF,0.8713747488184372,0.036597329983538485,0.0051347190934154805
RP3beta_ItemKNNCF,0.9604330238659664,0.6710938779108597,0.0052964431430914186
RP3beta_ItemKNNCF,0.4248489020328946,0.9453215273014914,0.005343101711528359
RP3beta_ItemKNNCF,0.9818941017660454,0.9580044882216853,0.005314949693291021
RP3beta_ItemKNNCF,0.4955005849244333,0.7224062384004393,0.005342675019308674
RP3beta_ItemKNNCF,0.183498309472509,0.2623601684402199,0.00534165505562999
RP3beta_ItemKNNCF,0.2087701108865858,0.5536908863934915,0.005341356229178256
RP3beta_ItemKNNCF,0.927896702104788,0.5720517921398222,0.005281335062517538
RP3beta_ItemKNNCF,0.6961080349129689,0.7203004059564581,0.005318567195229125
RP3beta_ItemKNNCF,0.9541870007203236,0.6477740209540399,0.005294962847885783
RP3beta_ItemKNNCF,0.23328682379831434,0.2556793750559043,0.005332702678578226
RP3beta_ItemKNNCF,0.7560271471167187,0.7931738704588106,0.005320973756688551
RP3beta_ItemKNNCF,0.7246861423097011,0.027464715298606723,0.005130419494078771
RP3beta_ItemKNNCF,0.8244796416338109,0.15755416486561735,0.005218907060352026
RP3beta_ItemKNNCF,0.5751142300156175,0.29824471758341997,0.005279639430220739
RP3beta_ItemKNNCF,0.6579652134535677,0.7544123873209199,0.0053381717642558306
RP3beta_ItemKNNCF,0.41209934019999583,0.6687060986455662,0.005336297340078772
RP3beta_ItemKNNCF,0.2124573826661842,0.6129994551646936,0.005333424447578401
RP3beta_ItemKNNCF,0.23587955953879258,0.3735961642241733,0.0053368526818337965
RP3beta_ItemKNNCF,0.21694052519184492,0.8181849167201025,0.005317130042533897
RP3beta_ItemKNNCF,0.26352685847662805,0.5149312436841734,0.005342301854273766
RP3beta_ItemKNNCF,0.7907635199834473,0.30825398125901793,0.005277165200116319
RP3beta_ItemKNNCF,0.24573985734980797,0.5299375557001892,0.005343426627417484
RP3beta_ItemKNNCF,0.9805730231179139,0.5611375515782192,0.0052805066799482036
RP3beta_ItemKNNCF,0.6926348850135643,0.8244161796798453,0.005340542027617824
RP3beta_ItemKNNCF,0.34343360297629544,0.29859771656426537,0.005303644108919543
RP3beta_ItemKNNCF,0.54963453922427,0.28656802987771934,0.005281162079944886
RP3beta_ItemKNNCF,0.26342888948656684,0.27856954011320834,0.0053229210744066115
RP3beta_ItemKNNCF,0.05943248661182188,0.5450139732804994,0.0053230461028790374
RP3beta_ItemKNNCF,0.9585051745063267,0.5507219281343929,0.00528117933986508
RP3beta_ItemKNNCF,0.16453803614689644,0.8500277997470528,0.005326454179033155
RP3beta_ItemKNNCF,0.9978613421202104,0.0008310081824564053,0.005090838484310199
RP3beta_ItemKNNCF,0.8283653233102349,0.589616119420669,0.005300954264922743
RP3beta_ItemKNNCF,0.3830109056127897,0.3888045318870227,0.005317367099326683
RP3beta_ItemKNNCF,0.18774001192619094,0.3039596667260873,0.00533474675613958
RP3beta_ItemKNNCF,0.16904813230321314,0.8542973740039037,0.005323937709614909
RP3beta_ItemKNNCF,0.26436303669244343,0.4687329965383309,0.005338763266730741
RP3beta_ItemKNNCF,0.49621172711775297,0.4811118872635364,0.005315145398862995
RP3beta_ItemKNNCF,0.5533550071383294,0.8440571058042518,0.005337304110360013
RP3beta_ItemKNNCF,0.3283299783066963,0.4254865212939326,0.0053440548027933465
RP3beta_ItemKNNCF,0.6523733880207655,0.2839872396544181,0.00528844014121023
RP3beta_ItemKNNCF,0.31278718466956046,0.8879149061890051,0.005336258530562
RP3beta_ItemKNNCF,0.38262700627077884,0.9751045668069502,0.0053428475224234434
RP3beta_ItemKNNCF,0.5436795491082588,0.40860842120579244,0.005302548154194733
RP3beta_ItemKNNCF,0.36087697472599056,0.6190267066097501,0.005340800946801681
RP3beta_ItemKNNCF,0.34883062465929915,0.41762240630594083,0.005338452193510442
RP3beta_ItemKNNCF,0.5463194107485093,0.23801768929858813,0.005288194029770971
RP3beta_ItemKNNCF,0.17914885022943927,0.7072654696178444,0.005316862851231588
RP3beta_ItemKNNCF,0.8607801782960581,0.9897283155902931,0.005340826891158268
RP3beta_ItemKNNCF,0.3298604333175623,0.303289641732191,0.005311631387474648
RP3beta_ItemKNNCF,0.6541301439631726,0.4500221767127307,0.0052935570443574725
RP3beta_ItemKNNCF,0.5733810256340289,0.8024785569914143,0.005341544845424225
RP3beta_ItemKNNCF,0.998527983383858,0.47804559080843634,0.0052741498742413335
RP3beta_ItemKNNCF,0.057139942968084334,0.8931845310972392,0.005309341336357205
RP3beta_ItemKNNCF,0.8248767708148099,0.8252055795909484,0.0053178127423182025
RP3beta_ItemKNNCF,0.37319385069563515,0.7664538941432705,0.005343592385821689
RP3beta_ItemKNNCF,0.86145309121581,0.5641978475603078,0.005289053257786413
RP3beta_ItemKNNCF,0.6616688580769434,0.37433484953905316,0.005280245930725118
RP3beta_ItemKNNCF,0.4589071017136327,0.76259735483154,0.005338586273251164
RP3beta_ItemKNNCF,0.2784992574183516,0.6466513185638881,0.005346373854721732
RP3beta_ItemKNNCF,0.05057742603182691,0.7321306497825066,0.005310299698651002
RP3beta_ItemKNNCF,0.3774109988749407,0.48718713076072284,0.005343144570724962
RP3beta_ItemKNNCF,0.011993584370965205,0.0934525057968556,0.005326721069023238
RP3beta_ItemKNNCF,0.8830282278124931,0.8365209857250748,0.005318118246396911
RP3beta_ItemKNNCF,0.14887321317317914,0.21333105865783186,0.005342184476304732
