recommender,TopK,Epochs,lambda_i,lambda_j,MAP
SLIM_BPR_Recommender,500,10,0.004,0.005,0.00440627777905168
SLIM_BPR_Recommender,500,100,0.004,0.005,0.004615870483491363
SLIM_BPR_Recommender,500,10,0.005,0.005,0.004447209681237886
SLIM_BPR_Recommender,100,10,0.004,0.005,0.004403608700298931
SLIM_BPR_Recommender,500,10,0.004,0.003,0.004400452295656676
SLIM_BPR_Recommender,500,100,0.005,0.003,0.00461482526026074
SLIM_BPR_Recommender,100,100,0.004,0.003,0.004603295564337088
SLIM_BPR_Recommender,100,10,0.005,0.005,0.004423389440453553
SLIM_BPR_Recommender,100,10,0.005,0.003,0.004409490054909278
SLIM_BPR_Recommender,100,100,0.004,0.005,0.0045746986489317585
SLIM_BPR_Recommender,500,100,0.004,0.003,0.0046306258373228675
SLIM_BPR_Recommender,100,100,0.005,0.005,0.004619361346289488
SLIM_BPR_Recommender,500,10,0.005,0.003,0.004437744699297337
SLIM_BPR_Recommender,500,100,0.005,0.005,0.004606845908732741
SLIM_BPR_Recommender,100,10,0.004,0.003,0.004355175975817881
SLIM_BPR_Recommender,100,100,0.005,0.003,0.004602598110009686
