recommender,alpha,l1_ratio,TopK,MAP
SLIMElasticNetRecommender,0.9909977950725528,0.08848413823630685,363,0.0032289760717187227
SLIMElasticNetRecommender,0.08510601819555663,0.8446962757542578,422,0.0033831492592726596
SLIMElasticNetRecommender,0.20079034667543205,0.9085904910283238,298,0.0020481520087868156
SLIMElasticNetRecommender,0.3101005147100485,0.41715093909100354,227,0.002542833613571065
SLIMElasticNetRecommender,0.43771640364772046,0.4488643325821524,345,0.0019916229301596288
SLIMElasticNetRecommender,0.7536189524453748,0.9755168347170531,461,0.0004787467349543268
SLIMElasticNetRecommender,0.23251169871897315,0.16026972722593402,465,0.003963581915436152
SLIMElasticNetRecommender,0.7191450609671542,0.5780292824725765,118,0.0012004377776081074
SLIMElasticNetRecommender,0.7303795818270488,0.2204266319263477,138,0.0022789347604012865
SLIMElasticNetRecommender,0.49575194495808306,0.7816865111122159,58,0.0012602235490784576
SLIMElasticNetRecommender,0.8415150319362934,0.32603057988821094,57,0.001694611250242093
SLIMElasticNetRecommender,0.9464379790591924,0.9648339167388094,497,0.00021042011896317634
SLIMElasticNetRecommender,0.13706863118255175,0.13415521416599874,219,0.004343611302201791
SLIMElasticNetRecommender,0.8738836851022945,0.24994223331207321,453,0.001893684329445271
SLIMElasticNetRecommender,0.5861443784342132,0.8013372392383886,396,0.0011055599122199572
SLIMElasticNetRecommender,0.8345290669610975,0.05961268376098283,123,0.003741256336120049
SLIMElasticNetRecommender,0.42616895670480304,0.9427795411243758,441,0.0012294950292372666
SLIMElasticNetRecommender,0.9219028564684925,0.5361246634105723,438,0.0010669440993608672
SLIMElasticNetRecommender,0.41298930001195233,0.07490438124914489,154,0.004068535148442503
SLIMElasticNetRecommender,0.6525151741912473,0.5942946074780663,43,0.0012568798807509264
SLIMElasticNetRecommender,0.47877002693398873,0.8858393351008677,88,0.001173786467450745
SLIMElasticNetRecommender,0.15068893841100295,0.82110034789687,383,0.0026098556347806715
SLIMElasticNetRecommender,0.5568428738263224,0.07958997317035921,323,0.0038333393536601045
SLIMElasticNetRecommender,0.8347252617559568,0.8524173889657933,38,0.0005271645106115032
SLIMElasticNetRecommender,0.17333163622008085,0.7597305793203788,283,0.0024729703159871055
SLIMElasticNetRecommender,0.6650969125452126,0.5592668221263161,466,0.0012918948344598483
SLIMElasticNetRecommender,0.5135493067554592,0.2426925043945316,337,0.002644804408950836
SLIMElasticNetRecommender,0.3540442706430508,0.838853157289829,52,0.001529580618397022
SLIMElasticNetRecommender,0.33935022860555086,0.8850884505447704,236,0.0015138725936610607
SLIMElasticNetRecommender,0.3994092504720902,0.5694303531056636,261,0.0018500232769535156
SLIMElasticNetRecommender,0.18283233363733742,0.2111925065360939,258,0.003935700325685187
SLIMElasticNetRecommender,0.38510413264228494,0.8818812079022699,51,0.0014019196501232594
SLIMElasticNetRecommender,0.2305874743913382,0.23382619181627806,383,0.0036596222003036534
SLIMElasticNetRecommender,0.6848778130279739,0.6128806969510187,187,0.001197786816099751
SLIMElasticNetRecommender,0.9446591638572654,0.57951061291751,236,0.0007837651990832388
SLIMElasticNetRecommender,0.572884724338796,0.23746299932760428,485,0.0024763094160834714
SLIMElasticNetRecommender,0.11482499376610122,0.12112842911249477,380,0.004455264279576027
SLIMElasticNetRecommender,0.29893896024545275,0.04662279540888137,193,0.004435200010677141
SLIMElasticNetRecommender,0.9637274443098698,0.06330868135010714,140,0.003581183095434245
SLIMElasticNetRecommender,0.5695007659276231,0.6445474021766898,116,0.0012994316417462438
SLIMElasticNetRecommender,0.20835843633636908,0.40619589863812344,407,0.0032414068843543277
SLIMElasticNetRecommender,0.9351034873070979,0.5930579754032211,229,0.0007829405656328076
SLIMElasticNetRecommender,0.827828832216391,0.30322123295822245,167,0.0017726155552983517
SLIMElasticNetRecommender,0.304040862360503,0.3663634573899579,237,0.00281036918028041
SLIMElasticNetRecommender,0.9347197837422799,0.8654411362257856,498,0.0003974218449702468
SLIMElasticNetRecommender,0.8810257696349812,0.8440888750094894,89,0.0004787467349543268
SLIMElasticNetRecommender,0.7687778120084089,0.4326019163896473,224,0.0014281492196296117
SLIMElasticNetRecommender,0.4508598631687002,0.5410549168149605,26,0.0017847566803862
SLIMElasticNetRecommender,0.2712812157069483,0.9880914223487546,495,0.0016868272819331011
SLIMElasticNetRecommender,0.14657036160720993,0.8712796520952826,261,0.0025410154137655567
SLIMElasticNetRecommender,0.9535826983832061,0.9949689046046724,364,0.00017825941439635626
SLIMElasticNetRecommender,0.46951758716821534,0.5768553362888612,429,0.0016921104599972375
SLIMElasticNetRecommender,0.19760867156584783,0.21993158894897646,379,0.0038421571588698774
SLIMElasticNetRecommender,0.7556024603603094,0.10673183857200497,50,0.0033059475412680946
SLIMElasticNetRecommender,0.6647337553923812,0.9543913060674099,226,0.0006688307488401667
SLIMElasticNetRecommender,0.23068044826715317,0.6449554477500116,299,0.0023541701291631234
SLIMElasticNetRecommender,0.25409200514795416,0.8905669861778855,500,0.0018357996383722857
SLIMElasticNetRecommender,0.48119477581047065,0.7366865353049333,327,0.001343049882853379
SLIMElasticNetRecommender,0.021474043647446872,0.6368234619045219,221,0.004499409194031069
SLIMElasticNetRecommender,0.13720290765154874,0.9533669302417577,436,0.0024911974648753232
SLIMElasticNetRecommender,0.6029120968844418,0.3493549876345897,140,0.0019327705048988357
SLIMElasticNetRecommender,0.5384701487306295,0.1402318205343126,128,0.0033715680553845807
SLIMElasticNetRecommender,0.24619310408870998,0.5220244168678396,71,0.0025511923148867615
SLIMElasticNetRecommender,0.9012397346551206,0.4433225527732123,256,0.0012474119372798216
SLIMElasticNetRecommender,0.8123009102009141,0.9012056165682123,435,0.000491061399256578
SLIMElasticNetRecommender,0.9680793245815519,0.8734265547681792,24,0.0002623465875831141
SLIMElasticNetRecommender,0.5700313409005354,0.32071446494808775,413,0.0020613325322736964
SLIMElasticNetRecommender,0.42326722101106273,0.5883032243154649,11,0.0017581926156909344
SLIMElasticNetRecommender,0.48146407794289836,0.1877756236187954,122,0.0031633841366896114
SLIMElasticNetRecommender,0.18625453673833292,0.2575336580159632,482,0.00377322929637949
SLIMElasticNetRecommender,0.7425003214899177,0.03201567368154001,133,0.004183599979500068
SLIMElasticNetRecommender,0.10522434552021542,0.6454385765142522,111,0.0034556669118076984
SLIMElasticNetRecommender,0.25991478286976166,0.8675461565733456,231,0.0018376463323430074
SLIMElasticNetRecommender,0.013907449763268409,0.1340394392197115,340,0.004507634022069818
SLIMElasticNetRecommender,0.3295858685805986,0.7592913446192068,409,0.0017521487097921522
SLIMElasticNetRecommender,0.08985146738387895,0.4841961023903124,74,0.0038418570322812846
SLIMElasticNetRecommender,0.46314061328889145,0.4933382432695248,306,0.0018539745035360013
SLIMElasticNetRecommender,0.12876667600588299,0.13415175313996575,261,0.004364357361742247
SLIMElasticNetRecommender,0.2697913060076058,0.06866139720199427,93,0.00432210827756035
SLIMElasticNetRecommender,0.8331444980465369,0.7549015789644914,405,0.0006786824802819677
SLIMElasticNetRecommender,0.259076757345984,0.8149672952726722,153,0.0018947847360761977
SLIMElasticNetRecommender,0.3958837472023884,0.65342256742387,77,0.0017272130287137371
SLIMElasticNetRecommender,0.6200909547919841,0.7297991536807152,215,0.001122019114922224
SLIMElasticNetRecommender,0.8539701464222734,0.8042076403389583,158,0.0005838558363652327
SLIMElasticNetRecommender,0.669649258569472,0.42684875398134736,257,0.0016060693931587483
SLIMElasticNetRecommender,0.047113820932374706,0.10588260934035176,314,0.004714927571424384
SLIMElasticNetRecommender,0.7891160043387292,0.4166447870957948,117,0.0014411450806685589
SLIMElasticNetRecommender,0.2336759084897605,0.4074682521340236,72,0.003077256004399618
SLIMElasticNetRecommender,0.8647350047173686,0.9857577515115488,391,0.0002623465875831141
SLIMElasticNetRecommender,0.2214820529936451,0.20078005306850522,196,0.0038321928238175176
SLIMElasticNetRecommender,0.7511103407096329,0.7942032585129541,377,0.0007368773642900129
SLIMElasticNetRecommender,0.8580228780425612,0.25062942352229667,461,0.0019164895862550698
SLIMElasticNetRecommender,0.5054524735422866,0.310064480175793,49,0.002291143796886611
