recommender,shrink,topk,similarity,normalization,MAP
ItemKNNCFRecommender,36.20649999993893,796,cosine,tidfi,0.03970754761651636
ItemKNNCFRecommender,59.84549999988383,991,cosine,tidfi,0.0395977970600521
ItemKNNCFRecommender,60.608499999882056,688,cosine,tidfi,0.03973663466437467
ItemKNNCFRecommender,65.17059999987143,915,cosine,tidfi,0.03965296890412249
ItemKNNCFRecommender,67.95279999986494,907,cosine,tidfi,0.03963079476957483
ItemKNNCFRecommender,34.09639999994384,979,cosine,tidfi,0.039606365319250804
ItemKNNCFRecommender,62.21159999987832,631,cosine,tidfi,0.039781515111610065
ItemKNNCFRecommender,76.3376999998454,835,cosine,tidfi,0.03970781687103583
ItemKNNCFRecommender,88.32629999981745,453,cosine,tidfi,0.03988877746119694
ItemKNNCFRecommender,82.14559999983186,642,cosine,tidfi,0.03977127558040891
ItemKNNCFRecommender,35.51989999994052,775,cosine,tidfi,0.03969187463275416
ItemKNNCFRecommender,86.11379999982262,406,cosine,tidfi,0.03980515136074312
ItemKNNCFRecommender,40.447499999929036,776,cosine,tidfi,0.03968960369557724
ItemKNNCFRecommender,22.163499999971652,444,cosine,tidfi,0.03984243240057772
ItemKNNCFRecommender,81.64079999983304,970,cosine,tidfi,0.03963269650029504
ItemKNNCFRecommender,32.4008999999478,854,cosine,tidfi,0.039698456058313486
ItemKNNCFRecommender,43.37649999992222,1047,cosine,tidfi,0.039557761889501455
ItemKNNCFRecommender,25.512799999963846,743,cosine,tidfi,0.03971643021198154
ItemKNNCFRecommender,46.53109999991486,776,cosine,tidfi,0.03969145624702789
ItemKNNCFRecommender,86.65699999982135,417,cosine,tidfi,0.03980621034102698
ItemKNNCFRecommender,56.21309999989229,1097,cosine,tidfi,0.039525816661307264
ItemKNNCFRecommender,48.137099999911115,1149,cosine,tidfi,0.039496687373824134
ItemKNNCFRecommender,56.92039999989065,856,cosine,tidfi,0.039690054707939085
ItemKNNCFRecommender,56.77709999989098,1081,cosine,tidfi,0.039538428639778876
ItemKNNCFRecommender,89.5490999998146,964,cosine,tidfi,0.0396349468292113
ItemKNNCFRecommender,20.854599999974702,963,cosine,tidfi,0.03964386498821933
ItemKNNCFRecommender,73.48039999985205,736,cosine,tidfi,0.03972191258360284
ItemKNNCFRecommender,54.35609999989663,1123,cosine,tidfi,0.03951015722322345
ItemKNNCFRecommender,25.11649999996477,750,cosine,tidfi,0.0397212375756947
ItemKNNCFRecommender,85.35019999982438,799,cosine,tidfi,0.03967684281772589
ItemKNNCFRecommender,74.43099999984983,639,cosine,tidfi,0.03978959002548911
ItemKNNCFRecommender,74.47129999984975,816,cosine,tidfi,0.03973309574672164
ItemKNNCFRecommender,36.39179999993849,424,cosine,tidfi,0.03980533731183137
ItemKNNCFRecommender,37.3324999999363,417,cosine,tidfi,0.03979559394115334
ItemKNNCFRecommender,20.99369999997438,909,cosine,tidfi,0.039629403794562305
ItemKNNCFRecommender,26.3901999999618,611,cosine,tidfi,0.03977052241499775
ItemKNNCFRecommender,73.49799999985201,1182,cosine,tidfi,0.039548384051263104
ItemKNNCFRecommender,85.11949999982492,592,cosine,tidfi,0.03981033301020773
ItemKNNCFRecommender,54.033999999897375,721,cosine,tidfi,0.03969848705580141
ItemKNNCFRecommender,86.96219999982063,473,cosine,tidfi,0.039881214440957616
ItemKNNCFRecommender,30.064499999953238,1193,cosine,tidfi,0.03954220995154336
