recommender,factors,alpha,regularization,iterations,MAP
ImplicitALSRecommender,75,75,0.00556702042240731,75,0.01054560375249713
ImplicitALSRecommender,515,6,0.006314492440901362,16,0.03522226426865121
ImplicitALSRecommender,611,94,0.004323025541384065,16,0.020112791990448547
ImplicitALSRecommender,611,88,0.0008322207833369682,39,0.027609164263664308
ImplicitALSRecommender,683,8,0.0035344861085384975,69,0.0353552923253533
ImplicitALSRecommender,602,41,0.0029569186240699674,34,0.030849073854063703
ImplicitALSRecommender,198,76,0.000479576156440877,10,0.015432476857352087
ImplicitALSRecommender,212,72,0.0095829506527289,74,0.022347090338219477
ImplicitALSRecommender,68,76,0.008982531220618269,10,0.010536216642758894
ImplicitALSRecommender,537,14,0.006453512423089742,20,0.032965629977734945
ImplicitALSRecommender,504,29,0.006822599259409241,51,0.032251275815774035
ImplicitALSRecommender,68,88,0.00041987214231190223,17,0.010448730735646299
ImplicitALSRecommender,518,50,0.004519663150767959,46,0.030589759836664333
ImplicitALSRecommender,593,89,0.007438665567864445,19,0.021969977871844334
ImplicitALSRecommender,203,93,0.005573245761501874,61,0.021159249383237485
ImplicitALSRecommender,152,46,0.008028165989859136,59,0.020835010301375054
ImplicitALSRecommender,565,31,0.0008768201906662595,85,0.0337026525429778
ImplicitALSRecommender,272,55,0.0011755453297511084,100,0.026711326330158307
ImplicitALSRecommender,464,30,0.004970609331749757,79,0.03195585320516015
ImplicitALSRecommender,489,37,0.009418041825374117,18,0.02747481125553569
ImplicitALSRecommender,293,20,0.008111189020261419,26,0.02953013604464352
ImplicitALSRecommender,537,85,0.00718188043435144,99,0.03193164228462697
ImplicitALSRecommender,649,46,9.897159017812784e-05,72,0.033307205877895235
ImplicitALSRecommender,166,55,0.0038960104090629273,52,0.020337046130799553
ImplicitALSRecommender,627,54,0.007995256891650253,30,0.02882919029333735
ImplicitALSRecommender,664,50,0.007876348185135792,99,0.0334711845065754
ImplicitALSRecommender,209,63,0.004909784676202723,89,0.022999149782091863
ImplicitALSRecommender,509,40,0.004300869234714781,64,0.03205816536762755
ImplicitALSRecommender,230,1,0.003394436028814581,43,0.03637216321054796
ImplicitALSRecommender,688,33,0.007646741340813463,46,0.0328768631212726
ImplicitALSRecommender,159,52,0.0002997914804849496,65,0.020775492603250827
ImplicitALSRecommender,250,42,0.008947310612001795,44,0.02504195598032223
ImplicitALSRecommender,337,26,0.005830492929185979,94,0.029924890899294922
ImplicitALSRecommender,316,46,0.004211365740443798,30,0.025817050120321188
ImplicitALSRecommender,192,68,0.004132700141231967,99,0.021962341066942753
ImplicitALSRecommender,91,48,0.004099708071655724,82,0.015033649366027866
ImplicitALSRecommender,541,38,0.007101831687621822,86,0.03248972551504425
ImplicitALSRecommender,414,63,0.0034286501951622567,91,0.02961829176114887
ImplicitALSRecommender,150,34,0.00217063650940445,28,0.021843053881032
ImplicitALSRecommender,136,19,0.0032917342534004705,99,0.024351370273565764
ImplicitALSRecommender,430,99,0.003659345512878648,66,0.027932508636629872
ImplicitALSRecommender,343,30,0.008057814879522255,96,0.030215644400637925
ImplicitALSRecommender,181,69,0.004644801850197759,71,0.02115458760764614
ImplicitALSRecommender,57,5,0.007332319691728711,69,0.030946047097867534
ImplicitALSRecommender,199,6,0.0034267255262539287,14,0.032194659810165276
ImplicitALSRecommender,673,34,0.003098969243418638,44,0.032850948342539515
ImplicitALSRecommender,51,30,0.002481812745960254,53,0.012374672306755105
ImplicitALSRecommender,169,49,0.002047502452715718,93,0.02182302071324427
ImplicitALSRecommender,669,2,0.009755513212638737,11,0.03391278690576419
ImplicitALSRecommender,274,53,0.004420634133291817,75,0.026511336890656767
ImplicitALSRecommender,691,46,0.005706108455444764,32,0.029978292308730337
ImplicitALSRecommender,647,38,0.009773703841754649,66,0.03267408199444793
ImplicitALSRecommender,696,87,0.0027156562958211487,88,0.031708757097779434
ImplicitALSRecommender,357,75,0.003285332745483154,11,0.01763130708658334
ImplicitALSRecommender,679,24,0.007766920099213349,81,0.03418595424370697
ImplicitALSRecommender,179,16,0.0035165677483105853,35,0.02675596888173117
ImplicitALSRecommender,610,69,0.007134418247878639,15,0.021802391072858557
ImplicitALSRecommender,162,15,0.006529210911626727,36,0.027242089159941685
ImplicitALSRecommender,334,20,0.0031957308848436666,66,0.030793689906608024
ImplicitALSRecommender,122,98,0.0009265837689061968,37,0.0152146616875872
ImplicitALSRecommender,59,71,0.004849374064368686,98,0.007822948354273457
ImplicitALSRecommender,396,45,0.00841731028792481,15,0.024446197193840818
ImplicitALSRecommender,513,21,0.002539476895337506,32,0.033145784258794796
ImplicitALSRecommender,341,76,0.004535555512645682,18,0.021006491284166328
ImplicitALSRecommender,506,63,0.0052608964084249615,30,0.027236786909675428
ImplicitALSRecommender,310,42,0.005219522111125594,68,0.02842602370831902
ImplicitALSRecommender,306,53,0.0038950769463444814,50,0.026908306516512007
ImplicitALSRecommender,195,16,0.006720327752858628,95,0.028071406081478123
ImplicitALSRecommender,154,62,0.0028756010388255268,73,0.01936325816800772
ImplicitALSRecommender,419,84,0.008811700937135451,36,0.02615233127892524
ImplicitALSRecommender,478,98,0.009760393808400604,41,0.026245053433188698
ImplicitALSRecommender,568,97,0.009530701294506611,78,0.03021098262504653
ImplicitALSRecommender,440,97,0.004992597783418887,58,0.027655945805086405
ImplicitALSRecommender,569,4,0.003231972999855222,76,0.03570717448974708
ImplicitALSRecommender,145,62,0.006704206327666369,18,0.017211512605617197
ImplicitALSRecommender,306,79,0.000647919659647511,15,0.019648440517503512
ImplicitALSRecommender,271,82,0.0036448176490504335,86,0.025044488544303665
ImplicitALSRecommender,253,65,0.0021216829055997056,33,0.023390360024993107
ImplicitALSRecommender,212,10,0.006072283324558201,39,0.030731879211365453
ImplicitALSRecommender,309,59,0.0035951066435194095,96,0.02720192748653291
ImplicitALSRecommender,498,53,0.006413942717496306,45,0.02974705161639184
