recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.10896651765655677,0.786973161702829,237,0.03124811266302471
RP3betaRecommender,0.1540983546785081,0.3591970345392972,373,0.04485455351355901
RP3betaRecommender,0.6822684649797792,0.889191715853252,232,0.029587357742507186
RP3betaRecommender,0.17670360581451527,0.18756157808799634,489,0.041792411293829164
RP3betaRecommender,0.8837492658459586,0.6576793048456165,489,0.04594820060026602
RP3betaRecommender,0.1668775129791963,0.16531898197429779,344,0.043191877354647024
RP3betaRecommender,0.5266291226664692,0.7421474596543559,325,0.04032852572856174
RP3betaRecommender,0.8121255915559059,0.7140529060090873,134,0.04345861539107815
RP3betaRecommender,0.7516527350027267,0.5195686513471924,476,0.045670541321421725
RP3betaRecommender,0.3184770870989604,0.3014638550708403,250,0.045417451085244344
RP3betaRecommender,0.46650938842538225,0.7454176546789143,130,0.039330372991916364
RP3betaRecommender,0.4448793063141201,0.18504192860743213,291,0.043773466546635977
RP3betaRecommender,0.33664771126744225,0.3043433854777591,218,0.04573984263560795
RP3betaRecommender,0.5407923665508749,0.5903102165352739,479,0.04616363744667696
RP3betaRecommender,0.48197489432905505,0.12799032354568318,309,0.043297854780359156
RP3betaRecommender,0.6394692711892205,0.23239600708549002,108,0.04773216668247381
RP3betaRecommender,0.10270269416937446,0.5957966496058811,340,0.04403928974109821
RP3betaRecommender,0.43408009138042325,0.5570217539904431,305,0.04639938447008737
RP3betaRecommender,0.3120727547773954,0.5220589937217179,478,0.04590802523770259
RP3betaRecommender,0.20302812108415733,0.6291710918376758,451,0.044208357006128095
RP3betaRecommender,0.20876883452410128,0.101665264777873,179,0.046308858726990566
RP3betaRecommender,0.2739746036219307,0.10556414332681063,326,0.04317765750639329
RP3betaRecommender,0.8712304709676969,0.48077442181672436,479,0.044831874153302066
RP3betaRecommender,0.5087065198143745,0.2275761569941177,285,0.04402919970400095
RP3betaRecommender,0.5858491911412275,0.6014105637083113,426,0.04610676844379002
