recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.6124109934474506,0.7207732248804973,196,0.0419508615883697
RP3betaRecommender,0.7950457072287115,0.6441225170136553,20,0.04369051338908964
RP3betaRecommender,0.5811192170659416,0.7923872899368822,58,0.03569678671590383
RP3betaRecommender,0.42166676620146804,0.49696616722236453,373,0.046319262235706614
RP3betaRecommender,0.5164773820325032,0.31966670813729997,394,0.0436896968356767
RP3betaRecommender,0.8113303530328958,0.13815356204377727,46,0.04596821298621189
RP3betaRecommender,0.5768527675876304,0.6100461536975861,411,0.046113112768191696
RP3betaRecommender,0.8804775690901704,0.4520271199878023,380,0.044670437384598895
RP3betaRecommender,0.2302882157914919,0.8142099124982143,216,0.0302197617672367
RP3betaRecommender,0.5346054885371875,0.6164788690220107,153,0.045609541029166596
RP3betaRecommender,0.8739222241577943,0.542187390743169,385,0.045806608498530216
RP3betaRecommender,0.5340551616043786,0.655953075005127,311,0.044923565469788346
RP3betaRecommender,0.47215274173968014,0.38842140820865034,384,0.04484613144631109
RP3betaRecommender,0.6300061070938707,0.45539060626726036,403,0.04540398345260103
RP3betaRecommender,0.39637864390717903,0.6708702715401993,95,0.04330750913734043
RP3betaRecommender,0.8400782267497039,0.12757020582273215,434,0.041365075251208375
RP3betaRecommender,0.5368663411128559,0.23215537994329047,278,0.04391745879976702
RP3betaRecommender,0.6473918332567458,0.4466433925305572,272,0.04603329948038026
RP3betaRecommender,0.23579233589309043,0.7908036088512765,45,0.03401531319087752
RP3betaRecommender,0.6104488444897623,0.3479225539558727,466,0.04316548565210926
RP3betaRecommender,0.3961769271392972,0.11216291165734554,111,0.04735081076022904
RP3betaRecommender,0.44221246304369677,0.5308063420292671,486,0.04622613101189214
RP3betaRecommender,0.8617764987334454,0.28130352622948684,189,0.04520887014712283
RP3betaRecommender,0.8061862720051604,0.2388903000656841,40,0.047949406058688075
RP3betaRecommender,0.456121480908086,0.1631204088298505,170,0.04651914520134528
RP3betaRecommender,0.24446619799634783,0.2660667180389285,311,0.04440163040980474
RP3betaRecommender,0.13557027157196988,0.7235995336147506,390,0.03654151026663909
RP3betaRecommender,0.5166091312859731,0.20510255306317876,103,0.04824248947174073
RP3betaRecommender,0.3462256342472215,0.1276766639743661,498,0.041270696525965024
RP3betaRecommender,0.10057290704326256,0.8848445270177604,380,0.022543614381075727
RP3betaRecommender,0.8242989307463809,0.44173159168838183,275,0.04537484040584735
RP3betaRecommender,0.855067439570754,0.18342967038683025,440,0.04140486905538848
RP3betaRecommender,0.5733273066342698,0.24417182635095563,455,0.04208433770399842
RP3betaRecommender,0.10492417735459725,0.8600175802300768,479,0.024139497229919663
RP3betaRecommender,0.567315926171627,0.5126464915801415,18,0.04571874623851827
RP3betaRecommender,0.48513547771625143,0.27981675423439756,340,0.043785896486798905
RP3betaRecommender,0.7331698924417129,0.2693080567493138,373,0.042656663226699844
RP3betaRecommender,0.568418868757957,0.8845037871582595,76,0.028899269567400743
RP3betaRecommender,0.4320795082848289,0.8476569863696166,124,0.03032467378579014
RP3betaRecommender,0.8364168436504045,0.8728008679045777,163,0.030059728491486044
RP3betaRecommender,0.6051312318423016,0.7387835451282386,493,0.040854605000337156
RP3betaRecommender,0.7967437475920537,0.5366159363207068,431,0.045979098131188285
RP3betaRecommender,0.5036603599069903,0.1202034333262084,384,0.04218738818018842
RP3betaRecommender,0.16560644861635138,0.3125761756900215,322,0.04479352855567934
RP3betaRecommender,0.3847284913511605,0.4962392588306067,143,0.04742089592274206
RP3betaRecommender,0.45278819873206766,0.7264544655817603,30,0.04114648537580199
RP3betaRecommender,0.41280353688517524,0.5041597613780765,398,0.04629519989476349
RP3betaRecommender,0.7321978499961082,0.429830243106581,358,0.04495392266266196
RP3betaRecommender,0.34520633608190454,0.1091087461103312,24,0.03581982751885177
RP3betaRecommender,0.5507691077505187,0.40608103836523013,460,0.04448017789580922
