recommender,alpha,l1_ratio,TopK,MAP
SLIMElasticNetRecommender,0.49514871872849386,0.8191611954021393,451,0.014318569027676774
SLIMElasticNetRecommender,0.9983450691492388,0.3736765662220821,44,0.015542986566861981
SLIMElasticNetRecommender,0.027299200168056093,0.9413992693373456,186,0.043358254043285256
SLIMElasticNetRecommender,0.15229801381293873,0.26822475431041115,351,0.039764356902808
SLIMElasticNetRecommender,0.0036271189686696292,0.08275703108491139,454,0.04617060778637045
SLIMElasticNetRecommender,0.052692051443371524,0.9310099038670787,207,0.039304363161733503
SLIMElasticNetRecommender,0.43480046412253914,0.3747445603631063,309,0.026823953513973656
SLIMElasticNetRecommender,0.4530810429855441,0.2990686008176693,290,0.02895681862531139
SLIMElasticNetRecommender,0.6323581817183503,0.6253258399894903,171,0.014725260605423748
SLIMElasticNetRecommender,0.798848035130547,0.6942022795025045,452,0.008648937127964001
SLIMElasticNetRecommender,0.024011980998836724,0.7551713586443799,381,0.045069865901088135
SLIMElasticNetRecommender,0.2532439641529879,0.08981797104945421,187,0.042060404925182225
SLIMElasticNetRecommender,0.3279969817746824,0.5276898030043842,351,0.026192203799198076
SLIMElasticNetRecommender,0.005115226996260769,0.4508183629218001,38,0.048333062423078964
SLIMElasticNetRecommender,0.47598827971665547,0.8566497208261978,248,0.014319684115645248
SLIMElasticNetRecommender,0.4530268501780075,0.838683961896361,105,0.015139688633151535
SLIMElasticNetRecommender,0.7610169872982934,0.6446614014249002,139,0.010935029524797841
SLIMElasticNetRecommender,0.6336582083446491,0.6284368545655519,125,0.014724437254194011
SLIMElasticNetRecommender,0.15938952209680346,0.21770902408226223,147,0.040630753200784214
SLIMElasticNetRecommender,0.938551493301592,0.9706824045891547,75,0.0015482934333293054
SLIMElasticNetRecommender,0.7887130129281077,0.7572515505865058,294,0.0078072462689442465
SLIMElasticNetRecommender,0.4291992449187525,0.38367011321356703,328,0.026657718222231872
SLIMElasticNetRecommender,0.7578533539280201,0.1360422178535654,113,0.03142541147381788
SLIMElasticNetRecommender,0.6138327205882609,0.8225456827750713,28,0.01025692834632833
SLIMElasticNetRecommender,0.9121364323355444,0.7268246743365676,104,0.006718008863696486
SLIMElasticNetRecommender,0.2375174604024034,0.23676665572968525,189,0.03731686733050657
SLIMElasticNetRecommender,0.8801534478591088,0.05730269536946586,396,0.036134669250840835
SLIMElasticNetRecommender,0.13994409832881327,0.6217194098954532,71,0.03420729931511914
SLIMElasticNetRecommender,0.7948230191450074,0.9969934683007081,327,0.00460162528982666
SLIMElasticNetRecommender,0.03917337482357408,0.047770458848683806,398,0.050531210302822406
SLIMElasticNetRecommender,0.2303342742697988,0.7128981720428521,447,0.026944118794248285
SLIMElasticNetRecommender,0.9776484527490922,0.6221980311233988,189,0.0077259230012832894
SLIMElasticNetRecommender,0.7377671025415086,0.4033151023731132,118,0.01884424389121379
SLIMElasticNetRecommender,0.6296355502812757,0.10306731557754123,489,0.03535732450039932
SLIMElasticNetRecommender,0.8022117383286549,0.51164698097706,176,0.014239371029804507
SLIMElasticNetRecommender,0.8856238522005813,0.47700732679998503,472,0.013625831923450465
SLIMElasticNetRecommender,0.4577751831613259,0.2801024909341757,183,0.02959186901400153
SLIMElasticNetRecommender,0.6655240848284703,0.5535826053338331,184,0.015639059608467763
SLIMElasticNetRecommender,0.22048157870738472,0.012806398451339351,465,0.04748988157335854
SLIMElasticNetRecommender,0.18365556287256712,0.6855224281810226,345,0.030235647452040586
SLIMElasticNetRecommender,0.07437575607990654,0.018722568241359983,220,0.05038099703239296
SLIMElasticNetRecommender,0.21229811297054757,0.7636703733448021,493,0.027157071961156454
SLIMElasticNetRecommender,0.7744299700213613,0.2990831183908046,63,0.0225766549810676
SLIMElasticNetRecommender,0.5453769653450807,0.9297704578567868,423,0.010350478890814316
SLIMElasticNetRecommender,0.7330277462742157,0.6782897482649837,37,0.010509689032457423
SLIMElasticNetRecommender,0.9911401916463877,0.6084280098891884,413,0.007804688933483212
SLIMElasticNetRecommender,0.41709038290985234,0.4302621093116853,314,0.02581392038567192
SLIMElasticNetRecommender,0.5445775717776774,0.9427994242997788,294,0.01014133160288358
SLIMElasticNetRecommender,0.7965473044585877,0.09590658516637718,136,0.03377050893108014
SLIMElasticNetRecommender,0.33606528898460886,0.6056331936212302,437,0.02441085362719288
