recommender,alpha,MAP
SlimRP3Beta,0.12960399873503037,0.018755376442477323
SlimRP3Beta,0.13860955862231983,0.018775073621493502
SlimRP3Beta,0.058413768567281976,0.018491550738691912
SlimRP3Beta,0.36102479267479026,0.019211208272031596
SlimRP3Beta,0.882027545126871,0.01909879470547628
SlimRP3Beta,0.42190348243228837,0.019251528821014455
SlimRP3Beta,0.12047850812666572,0.018724881728610185
SlimRP3Beta,0.019868360828458886,0.018308096074401817
SlimRP3Beta,0.5919458662470644,0.01925514248916622
SlimRP3Beta,0.17925259905974977,0.018899641567341394
SlimRP3Beta,0.48651527697879393,0.019275240653209486
