recommender,alpha,beta,MAP
SlimRP3Beta,0.045129271610432564,0.908331929570259,0.04867076405501333
SlimRP3Beta,0.6533144093541862,0.31413538510604777,0.05092965191076182
SlimRP3Beta,0.6881964302410147,0.5307529502109417,0.05109248979191853
SlimRP3Beta,0.06196685431599769,0.23730127558686187,0.049938246732191015
SlimRP3Beta,0.8188102624858994,0.3442130938664639,0.050883628429410355
SlimRP3Beta,0.10493456529866618,0.1490968858701791,0.05096301083155771
SlimRP3Beta,0.3190192200493859,0.21291772393233577,0.05099581198032265
SlimRP3Beta,0.26207503626548323,0.29409598209963217,0.0511422658459065
SlimRP3Beta,0.12587278206216312,0.2058291429693283,0.05087795929801144
SlimRP3Beta,0.25839623914644017,0.39815709234801067,0.05090670748794127
SlimRP3Beta,0.44383556758454323,0.6223652797539916,0.05095266772353315
SlimRP3Beta,0.9894441259223417,0.5934481213901105,0.05099457141855616
SlimRP3Beta,0.6164291230508376,0.0006057908964894887,0.050139867599710036
SlimRP3Beta,0.475621863269066,0.7780133011688375,0.05087952382701318
SlimRP3Beta,0.6880300509239055,0.4728102922770157,0.05100895030137217
SlimRP3Beta,0.3178414390025769,0.5988154206177032,0.05071417789518132
SlimRP3Beta,0.856062999766936,0.7179107713140473,0.051140517350702686
SlimRP3Beta,0.9180995954071437,0.8370239386379599,0.05119024353516497
SlimRP3Beta,0.21571918819228825,0.9539848834190019,0.04981130176983348
SlimRP3Beta,0.4076456767418749,0.7621604823544734,0.05072446752783765
SlimRP3Beta,0.5617978792282295,0.8651940518003752,0.050908706447506634
SlimRP3Beta,0.9204315839268568,0.7195117205836024,0.05110658101383497
SlimRP3Beta,0.7883400738133237,0.8460486679988233,0.05112049708469039
SlimRP3Beta,0.8424301850386631,0.7100286554414347,0.05112978863996245
SlimRP3Beta,0.9841013809357535,0.4813153661502485,0.05093253785346291
SlimRP3Beta,0.7580627785114211,0.063106910449793,0.050455730741806364
SlimRP3Beta,0.5278441572983726,0.6647516652707146,0.05103487138565269
SlimRP3Beta,0.9235993441223732,0.9638666901982743,0.05114777090714811
SlimRP3Beta,0.9389076821282996,0.9674092684345784,0.05114433311451307
SlimRP3Beta,0.8710823732017077,0.9979386603576047,0.05113594413024249
SlimRP3Beta,0.937497507981697,0.902331294017724,0.05119403932332633
SlimRP3Beta,0.9085427642093227,0.9037259912475023,0.0511574131284472
SlimRP3Beta,0.7467485819266666,0.8962537503371258,0.05109329440472823
