recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.4001327362108593,0.8813804206806944,542,0.009470848943008675
RP3betaRecommender,0.11403065527357033,0.6517814436148821,376,0.01694409762662628
RP3betaRecommender,0.7980748714474114,0.5634111087585796,165,0.01916941913092138
RP3betaRecommender,0.3843661745204736,0.3401064599528823,340,0.01855189373639218
RP3betaRecommender,0.2764148044363204,0.31807211301702343,310,0.018550660345092833
RP3betaRecommender,0.8877457445910018,0.850315698150183,10,0.010715880137690738
RP3betaRecommender,0.16933552689686504,0.8584780744589292,749,0.009139241195779557
RP3betaRecommender,0.8731162100106039,0.130202497479287,539,0.016894625926178727
RP3betaRecommender,0.6996594649292694,0.1782420191374702,327,0.01767068100704085
RP3betaRecommender,0.8961970392864699,0.8029174500509879,995,0.008541385941244312
RP3betaRecommender,0.6242534956291598,0.5288738963974349,7,0.015480804485709708
RP3betaRecommender,0.4491500835516042,0.3926903056302745,179,0.019304468295884114
RP3betaRecommender,0.5653229316202755,0.5028973876274523,136,0.019446937708770567
RP3betaRecommender,0.5538161065378263,0.41113154165750665,174,0.019362184067848818
RP3betaRecommender,0.5687343088873094,0.6639464198489891,169,0.017977297772537756
RP3betaRecommender,0.5423669004088572,0.40032008150549747,670,0.01839310734912295
RP3betaRecommender,0.6637843961602761,0.24911141987595015,128,0.01911112759350522
RP3betaRecommender,0.7506786407137108,0.4357298295318829,444,0.018755943356235868
RP3betaRecommender,0.4890558851644251,0.6198518958387618,109,0.01846674321418545
RP3betaRecommender,0.30921757739387745,0.4854841482251921,280,0.019249383999606545
RP3betaRecommender,0.5866748389801789,0.28774979321454963,228,0.018655116159640613
RP3betaRecommender,0.46643864149676817,0.38841459133417156,80,0.01955785623126288
RP3betaRecommender,0.49408860191417225,0.4762434404581034,75,0.019317702170236137
RP3betaRecommender,0.40197343573362027,0.7305817075530816,60,0.015608294702638506
RP3betaRecommender,0.3171445598484878,0.5689306912442265,252,0.018873296000884835
RP3betaRecommender,0.5342775410328954,0.37812162888961753,219,0.019151045417161568
RP3betaRecommender,0.6692521236360645,0.2183986145654368,431,0.01749462943414447
RP3betaRecommender,0.4494577128208716,0.44962117087886566,85,0.019403610654128153
RP3betaRecommender,0.4614062473356825,0.4552324365221452,68,0.019335430064371686
RP3betaRecommender,0.38752003262841506,0.5259770998346651,640,0.01903902105096579
RP3betaRecommender,0.4300662166204508,0.3474746032015603,20,0.018307693968114335
RP3betaRecommender,0.592348707116614,0.44430831866722725,124,0.019478722693440934
RP3betaRecommender,0.6011211051503605,0.5857567139930091,96,0.018897756735043476
RP3betaRecommender,0.5054355582565228,0.5106563071255108,144,0.019370284539538603
RP3betaRecommender,0.352257404832777,0.4457030582037123,224,0.0193330131363918
RP3betaRecommender,0.20397359659677383,0.2947048705299075,382,0.018193511528055067
RP3betaRecommender,0.6259439530911899,0.6893077978966753,896,0.01609755508434309
RP3betaRecommender,0.7376515214687175,0.35277196712929815,56,0.019588609360905635
RP3betaRecommender,0.8158533721176106,0.33732743723966,277,0.01854710965563922
RP3betaRecommender,0.7339170381256438,0.2684878029217499,385,0.017851555453427658
RP3betaRecommender,0.7910924750887229,0.36169494270112124,31,0.01916285691141127
RP3betaRecommender,0.6642396609453082,0.42615240310196106,123,0.019471613945816094
RP3betaRecommender,0.6677403228325567,0.32444782235117564,138,0.01928733495956164
RP3betaRecommender,0.6289744657086642,0.5368556387653136,191,0.019353924281050892
RP3betaRecommender,0.7235868082833813,0.4124490982131263,51,0.019463007442535308
RP3betaRecommender,0.8295485490946936,0.4127974740100665,47,0.019384911029172235
RP3betaRecommender,0.7296685921642464,0.11508300262146687,9,0.01148540082799762
RP3betaRecommender,0.7039708153011296,0.23297366329941033,327,0.017905783933329224
RP3betaRecommender,0.7734376262694449,0.1780685393133106,110,0.01921011671762467
RP3betaRecommender,0.8364031408701905,0.37379846727114197,189,0.019122023955905055
RP3betaRecommender,0.6971546496254153,0.4143741654940842,53,0.01947150479610042
RP3betaRecommender,0.7710133520662964,0.4205569789056555,64,0.01947034521397631
RP3betaRecommender,0.7661950515551719,0.47839206139871215,98,0.019377785631262818
RP3betaRecommender,0.8589091192051025,0.3079830436800287,147,0.01910485402347824
RP3betaRecommender,0.6891261681153679,0.4306452174162789,7,0.015398456437009378
RP3betaRecommender,0.6243551808160643,0.3978043288182729,166,0.019335209196049422
RP3betaRecommender,0.6488688194879639,0.3565995251890184,54,0.019510529323315724
RP3betaRecommender,0.6500426390049784,0.37502012813840413,115,0.019460651799529508
