recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.11809053356984647,0.40496829919380983,153,0.018892627427365593
RP3betaRecommender,0.6454177081851058,0.37254151606343633,186,0.019071361764424994
RP3betaRecommender,0.25115730499361294,0.738508456747473,110,0.01465620830300547
RP3betaRecommender,0.42266274973858275,0.2996621247496461,39,0.01897949390664138
RP3betaRecommender,0.4822347975481832,0.3173433271879488,14,0.016473374469899795
RP3betaRecommender,0.33397514264543926,0.7051190593298359,112,0.016044823195805087
RP3betaRecommender,0.22030975201992656,0.7698838736529929,118,0.013405505654323949
RP3betaRecommender,0.16448668017213547,0.24544192746425494,238,0.01829261228693391
RP3betaRecommender,0.4067496916931891,0.5224410553349894,64,0.018730592676015012
RP3betaRecommender,0.18074703622816068,0.3580095522387542,213,0.018851015106786422
RP3betaRecommender,0.6257523524531925,0.5662579625094093,110,0.01881060301070756
RP3betaRecommender,0.5822646054735601,0.3835603967311235,93,0.019378978439806807
RP3betaRecommender,0.5624203487693781,0.6298534282978858,37,0.017531659984523842
RP3betaRecommender,0.6610608138818825,0.5130212594251802,202,0.019230413352248593
RP3betaRecommender,0.7477434487243326,0.24145156500273954,188,0.018569232874730265
RP3betaRecommender,0.8794808983484297,0.7961816825073751,177,0.013319221962244278
RP3betaRecommender,0.22288328373273433,0.29368490892297183,189,0.018743312424525715
RP3betaRecommender,0.4546999246655735,0.4551113649156575,298,0.01910678436353538
RP3betaRecommender,0.6963047706907592,0.15494375411441902,282,0.017760804914611874
RP3betaRecommender,0.8963598156343666,0.22026942196085564,268,0.017849912029145782
RP3betaRecommender,0.3768481515748734,0.12067284634579654,61,0.017981649349372374
RP3betaRecommender,0.15811015644719345,0.2582455899578492,254,0.018280452018795842
RP3betaRecommender,0.4165415747708964,0.5445853408809862,25,0.017937433156970772
RP3betaRecommender,0.2895476502865229,0.5713652611516538,190,0.018621119371087177
RP3betaRecommender,0.1264694744157497,0.6258079990820534,33,0.01688785392743341
RP3betaRecommender,0.4895771674243169,0.5462180448935101,263,0.019082138250287248
RP3betaRecommender,0.7207244289513318,0.4673382305700652,280,0.019106075976988764
RP3betaRecommender,0.11821497502666355,0.5210210824128567,219,0.018771281830190403
RP3betaRecommender,0.8071791210450748,0.46477214837071257,114,0.01925357302655104
RP3betaRecommender,0.8029492773104503,0.6325338422957627,214,0.018381663975403428
RP3betaRecommender,0.31582100839503036,0.21769409064536058,180,0.018612581948681383
RP3betaRecommender,0.6517906362285116,0.5713503649197959,195,0.018990838806532653
RP3betaRecommender,0.43328495651377186,0.2836343903521006,100,0.019235477336377083
RP3betaRecommender,0.8975999099513157,0.4007999612583977,147,0.01911270703090438
RP3betaRecommender,0.6427438751116767,0.13509924575051732,122,0.018894847885528834
RP3betaRecommender,0.7878321264372009,0.12092552339536927,33,0.0168550753582188
RP3betaRecommender,0.6909944642161456,0.7419394676230769,210,0.015653495895887295
RP3betaRecommender,0.4769920989077101,0.7981594507600416,91,0.013478797597091705
RP3betaRecommender,0.7302329093872844,0.7489575681821273,80,0.015410160816205562
RP3betaRecommender,0.10198357831413443,0.6462808536404788,192,0.01677679818387115
RP3betaRecommender,0.16164367193092533,0.42721390445079965,115,0.01896047661721031
RP3betaRecommender,0.10190411574038816,0.25136938617779797,196,0.01846729685164392
RP3betaRecommender,0.5105122268955661,0.6302944856219792,184,0.018202221388431517
RP3betaRecommender,0.5787622302070624,0.21929753253012382,110,0.019159821120262183
RP3betaRecommender,0.164630628492334,0.7136689228495076,95,0.015059354696183233
RP3betaRecommender,0.7401031248080572,0.780476300259221,19,0.013850782300362319
RP3betaRecommender,0.575387689669679,0.11274283931246308,165,0.01853124727099153
RP3betaRecommender,0.7265312450614874,0.10271131456566272,145,0.01869206783892093
RP3betaRecommender,0.23443630358081702,0.6405832269422393,162,0.01734263687810227
RP3betaRecommender,0.593854637040743,0.612318159224119,163,0.018522410882796603
RP3betaRecommender,0.48402536869388313,0.30726598418946494,196,0.018802535914976732
RP3betaRecommender,0.35450564047437483,0.5502620373642646,55,0.018390164650336452
RP3betaRecommender,0.6563048005305404,0.469805106727606,82,0.019177685511506583
RP3betaRecommender,0.8086028207322935,0.3517866726780543,41,0.019207319805994407
RP3betaRecommender,0.5743464028051334,0.3818406924980924,82,0.019355290017900675
RP3betaRecommender,0.8072308631691144,0.7445583116634381,266,0.01539313469274281
RP3betaRecommender,0.13050371074961697,0.34806044565214367,160,0.018847272630385516
RP3betaRecommender,0.5492374342133642,0.6300550243258691,290,0.018344537595788815
RP3betaRecommender,0.2855183759921632,0.4709094719958128,127,0.019003143303762713
RP3betaRecommender,0.820450050583316,0.3953800392419151,63,0.01928946700848713
RP3betaRecommender,0.8952740822473884,0.8299241358033406,48,0.012080655328772864
RP3betaRecommender,0.8322203097881125,0.5467203958172362,176,0.019080421674454454
RP3betaRecommender,0.7447295559151076,0.796678676308718,40,0.01353710153256772
RP3betaRecommender,0.8865490925438358,0.8538149778169344,120,0.010985696133120976
RP3betaRecommender,0.7958104824717579,0.8114885789748525,54,0.013039510237654844
RP3betaRecommender,0.4409191418808136,0.46781625133831317,88,0.01916977274017138
RP3betaRecommender,0.7405614131919034,0.5312385220403705,164,0.0191735752271264
RP3betaRecommender,0.7162375451243548,0.5199197944242973,37,0.01855930363235208
RP3betaRecommender,0.7233812461864874,0.5817987946507719,298,0.018872792727356785
RP3betaRecommender,0.4154444838296387,0.42472554141853747,64,0.019201101718549777
RP3betaRecommender,0.35274797904679667,0.6735383582329798,152,0.016981603868729045
RP3betaRecommender,0.17692166570417528,0.26283516062300494,179,0.018618994450997784
RP3betaRecommender,0.1958567839971951,0.8202899344359165,200,0.011552364051532385
RP3betaRecommender,0.6633624530626008,0.5198499598768223,275,0.019146410534857487
RP3betaRecommender,0.7195382841853559,0.10135568815159282,18,0.013597865328118785
RP3betaRecommender,0.7125392779052804,0.8724495105921254,124,0.010790812122355222
RP3betaRecommender,0.49601859782491886,0.3613829334958494,216,0.018897738772461075
RP3betaRecommender,0.8406256610771077,0.23557152949560303,64,0.019310498266266365
RP3betaRecommender,0.3226862309162251,0.6795969020720771,216,0.016788621296417245
RP3betaRecommender,0.14993744208677243,0.49318535507426187,171,0.018868275963229143
RP3betaRecommender,0.2045741969071938,0.5425281894420799,185,0.018727671612009507
RP3betaRecommender,0.3549442053947346,0.6725050810863659,176,0.01702676725209455
RP3betaRecommender,0.2885259176401392,0.4087039283067804,235,0.019043013143993853
RP3betaRecommender,0.7836060412125804,0.8403171304059859,183,0.0117258175468138
RP3betaRecommender,0.44944677099778596,0.5655994629218436,259,0.018962726579208763
RP3betaRecommender,0.5525546900262607,0.22245298259838953,209,0.01844961314155059
RP3betaRecommender,0.17251942832347716,0.8876413965172041,165,0.009268516453782006
RP3betaRecommender,0.15530392953097494,0.3954602692619692,170,0.018972758785304543
RP3betaRecommender,0.6442465365382176,0.5129582247392421,158,0.019212289608044567
RP3betaRecommender,0.35800893446549975,0.8704688753476156,47,0.010774523105968431
RP3betaRecommender,0.2499455543185496,0.599222559052126,210,0.018175169069846092
RP3betaRecommender,0.8355396981628938,0.5275750570100863,68,0.018750697302407835
RP3betaRecommender,0.29828947682528445,0.23876618631157012,291,0.018088412650768618
RP3betaRecommender,0.35901990620141866,0.28385918157218326,183,0.018790529567077035
RP3betaRecommender,0.2552640968458418,0.29944383304510175,171,0.018835712515478675
RP3betaRecommender,0.7638324101937549,0.5921110569810535,78,0.01844314467260684
RP3betaRecommender,0.5525604684535147,0.35102978711343824,112,0.019250266587008815
RP3betaRecommender,0.15783761636378868,0.30668922473920934,213,0.01862616180237892
RP3betaRecommender,0.8961123109737911,0.44165254604126314,253,0.01895615345021152
RP3betaRecommender,0.8956610109284059,0.14485681171198542,178,0.018364703972341693
RP3betaRecommender,0.25505476545098793,0.6022024444413414,57,0.017616090920107463
RP3betaRecommender,0.5250996489329482,0.4742240108036131,238,0.019248435157161747
RP3betaRecommender,0.45214995959417303,0.6939828259299727,41,0.016509481299184666
RP3betaRecommender,0.270958960167654,0.8246791118189172,291,0.011682926838127883
RP3betaRecommender,0.11995896056248077,0.8658126307922902,296,0.009509138670209541
RP3betaRecommender,0.10750451580837064,0.49442609279984906,247,0.01887341864848451
RP3betaRecommender,0.1590867364084475,0.11338638612111618,43,0.015551346892062392
RP3betaRecommender,0.7158122150899592,0.16155530718629177,248,0.017943954736393656
RP3betaRecommender,0.370992966464753,0.21340010829667388,147,0.018849196185644693
