recommender,alpha,l1_ratio,TopK,MAP
SLIMElasticNetRecommender,0.04180222147981093,0.07756186677157935,138,0.019546452854370084
SLIMElasticNetRecommender,0.09804477105817218,0.07396589790342571,197,0.018823632673302507
SLIMElasticNetRecommender,0.024281216105101047,0.03859242116254792,59,0.01850949771305786
SLIMElasticNetRecommender,0.030526524524636334,0.09832793543137659,121,0.01954785971903959
SLIMElasticNetRecommender,0.09449344811266813,0.07669490168476506,133,0.01883874341652745
SLIMElasticNetRecommender,0.08323272881313898,0.047022837255539886,192,0.019338487622265588
SLIMElasticNetRecommender,0.010326869540387371,0.029334649711576725,226,0.0172067650913496
SLIMElasticNetRecommender,0.03885398100905133,0.011241272876897105,126,0.019117269703429213
SLIMElasticNetRecommender,0.08742855487607669,0.07802387545002916,100,0.01886907575384325
SLIMElasticNetRecommender,0.04944085079780013,0.06216047928754954,91,0.019442154151109753
SLIMElasticNetRecommender,0.08539336573890856,0.01870846920859666,238,0.01961402163507174
SLIMElasticNetRecommender,0.054938361145597976,0.03691123713497776,105,0.019552933680508464
SLIMElasticNetRecommender,0.06910637729155038,0.017635274465200065,113,0.019613874126891428
SLIMElasticNetRecommender,0.018660906155309687,0.034143355974537985,177,0.018553696547748945
SLIMElasticNetRecommender,0.05651945704489746,0.08636434681391542,134,0.019284916488249274
SLIMElasticNetRecommender,0.01599164445789073,0.07940631163595478,240,0.019252548151361463
SLIMElasticNetRecommender,0.08164510220122591,0.09899124225202008,203,0.01877637555383065
SLIMElasticNetRecommender,0.06009713786750582,0.05029594676517039,158,0.019507790959413965
SLIMElasticNetRecommender,0.09278051588085907,0.09892855145773387,92,0.018542039259332847
SLIMElasticNetRecommender,0.09647191029064751,0.041413030954156764,128,0.019253989823037648
SLIMElasticNetRecommender,0.03251377687999826,0.02370717790210522,65,0.018854161065152062
SLIMElasticNetRecommender,0.0257980012538672,0.0765797682536682,71,0.019224217570792932
SLIMElasticNetRecommender,0.06235390254424252,0.06830211870120695,74,0.01927219643895249
SLIMElasticNetRecommender,0.02505689174429659,0.07987303028518057,160,0.01958236354449588
SLIMElasticNetRecommender,0.07402909678107829,0.05134842318385889,121,0.019351682429782704
SLIMElasticNetRecommender,0.07143998637074482,0.09979063899752705,84,0.01887217625964761
SLIMElasticNetRecommender,0.02652185656557112,0.014777038013256484,164,0.0187181506770908
SLIMElasticNetRecommender,0.033734160340736834,0.018325381883788086,157,0.01917576019167784
SLIMElasticNetRecommender,0.06784956345717214,0.06735461330504079,185,0.019312340079884704
SLIMElasticNetRecommender,0.08667753198780694,0.08205792048440913,132,0.018860521819576044
SLIMElasticNetRecommender,0.07603310187708191,0.016844603878939567,239,0.019679426277845743
SLIMElasticNetRecommender,0.08736961671115034,0.08668648863132938,62,0.018707869294830745
SLIMElasticNetRecommender,0.04609045178117769,0.07835164072520077,114,0.019452299448944468
SLIMElasticNetRecommender,0.09218163530715107,0.02062594089744601,75,0.0194668433423403
SLIMElasticNetRecommender,0.022807945781336776,0.06195275846629922,247,0.01955599165111186
SLIMElasticNetRecommender,0.04368508132488319,0.030457441402990858,156,0.019616264615652468
SLIMElasticNetRecommender,0.06447464644706667,0.09848712471611833,109,0.019034867892814424
SLIMElasticNetRecommender,0.07569552302376942,0.017096393456038347,150,0.019657807670008836
SLIMElasticNetRecommender,0.04709638711572712,0.03511213351962405,242,0.01973999606904919
SLIMElasticNetRecommender,0.05811898943066809,0.038541679041595424,217,0.01966080091101469
SLIMElasticNetRecommender,0.056656148882135146,0.01126592424385866,195,0.019622781834165628
SLIMElasticNetRecommender,0.034143630987125334,0.04802976517402539,54,0.01914574153618632
SLIMElasticNetRecommender,0.021040905262364764,0.0940907985973161,58,0.019051692536872
SLIMElasticNetRecommender,0.07436267191638302,0.07399556873851822,234,0.01916579057416858
SLIMElasticNetRecommender,0.08562805350555693,0.03694720434288026,89,0.01936512289610792
SLIMElasticNetRecommender,0.07232597108180112,0.07711967784544808,126,0.01911944069627056
SLIMElasticNetRecommender,0.06960241535310709,0.03821486820739345,106,0.019498869755833866
SLIMElasticNetRecommender,0.08224116268548397,0.032680041977114944,82,0.01939221433980994
SLIMElasticNetRecommender,0.03204908651714564,0.05219772596485596,141,0.019568079476057022
SLIMElasticNetRecommender,0.01368919351327616,0.052917609705825396,206,0.0183737803945641
