recommender,alpha,beta,MAP
SlimRP3Beta,0.22102365730003992,0.9373590684250822,0.019311780780299187
SlimRP3Beta,0.71091284478396,0.9665196666496273,0.01935170488938659
SlimRP3Beta,0.7488037197183685,0.8377098332356274,0.01931936484168669
SlimRP3Beta,0.36970176490297435,0.3836240953303277,0.019300903947125993
SlimRP3Beta,0.518036726599976,0.5002084540353815,0.019287077411556813
SlimRP3Beta,0.49065035887815855,0.5370491987257208,0.019312063945041504
SlimRP3Beta,0.40696652847781023,0.24339507611398925,0.01919137855947125
SlimRP3Beta,0.6913743152039259,0.4891575992691508,0.019227134843897934
SlimRP3Beta,0.6627122245979447,0.896787706844381,0.01935028065444377
SlimRP3Beta,0.37782954663743584,0.8389106972789819,0.0193548725332766
SlimRP3Beta,0.03027607571560842,0.3411393098018737,0.01901153938133751
SlimRP3Beta,0.03810552198518258,0.37554883347074186,0.01905728531623116
SlimRP3Beta,0.9282987396740929,0.8242176866724612,0.01926731383048509
SlimRP3Beta,0.0728393875730059,0.8448832038612483,0.019010139401628868
SlimRP3Beta,0.2078925615043259,0.6504808746874499,0.019380932823251106
SlimRP3Beta,0.8323788560376962,0.7654128768015597,0.01927145415752012
SlimRP3Beta,0.913732714672786,0.7371816653575544,0.019259333637105084
SlimRP3Beta,0.17493115763790346,0.3156557316295622,0.019378580833872658
SlimRP3Beta,0.6866771109385074,0.24906623132159555,0.019070687185305062
SlimRP3Beta,0.6520418579176195,0.9014980093341454,0.019355882455548565
SlimRP3Beta,0.8990174970810672,0.45526707729219207,0.01915344823577511
SlimRP3Beta,0.07137766748382834,0.5579404226884856,0.019119551583249992
SlimRP3Beta,0.14862848051403998,0.3681526515796073,0.019364921256379498
SlimRP3Beta,0.20772249924235497,0.8362588460343408,0.0193257620654556
SlimRP3Beta,0.9217409854418036,0.8343309532104517,0.019268628544458787
SlimRP3Beta,0.11522416595265916,0.4032264305421501,0.01935385913154002
SlimRP3Beta,0.06060303146992119,0.1730188150443568,0.019378344279166886
SlimRP3Beta,0.5315847106862617,0.07153796933226331,0.01891831144302826
SlimRP3Beta,0.2570810854017521,0.6672528569789793,0.019372050962177825
SlimRP3Beta,0.9679291726965876,0.32896952042645233,0.019057693931311164
SlimRP3Beta,0.5691517494778977,0.057735047643430626,0.0188864065594163
SlimRP3Beta,0.3031185771899607,0.3625937077229059,0.019336806298015614
SlimRP3Beta,0.5304391032371472,0.6209865874072154,0.019330652961124833
SlimRP3Beta,0.3744211746859639,0.993564095319023,0.01937742541400286
SlimRP3Beta,0.14562683113929153,0.393039042817671,0.01937397760298337
SlimRP3Beta,0.4974911696632486,0.07567224419047769,0.01892345065238478
SlimRP3Beta,0.030578937404589612,0.7162124124567606,0.01879677193586046
SlimRP3Beta,0.9786459063157351,0.051479149559871984,0.01884463326507885
SlimRP3Beta,0.01374342265153461,0.2557813614939186,0.018867211160486157
SlimRP3Beta,0.23813515824696485,0.6585713690590738,0.019374802785961622
SlimRP3Beta,0.3898081422865137,0.49171987661137184,0.019348879364244034
SlimRP3Beta,0.1603508125649128,0.9023327395057614,0.01924716677618452
SlimRP3Beta,0.2653717749832336,0.05908609197998693,0.018977375293232988
SlimRP3Beta,0.09758385677090053,0.8166301377340425,0.019108642381963917
SlimRP3Beta,0.6802410194179536,0.3732894087063573,0.019170935724735674
SlimRP3Beta,0.5113679734117551,0.17875622495662424,0.019066272592195954
SlimRP3Beta,0.027802381400501952,0.6678902377619221,0.018790576324066
SlimRP3Beta,0.308974998419711,0.8093787368835053,0.019378073704861692
SlimRP3Beta,0.006844726996407147,0.8080700191517856,0.01859090806263487
SlimRP3Beta,0.5177894122574258,0.4696178447574998,0.01926720289993454
