recommender,alpha,MAP
SlimRP3Beta,0.730275827261547,0.019117043333147673
SlimRP3Beta,0.13958723029031006,0.01894769798781203
SlimRP3Beta,0.6280398827277096,0.01918942802817809
SlimRP3Beta,0.8807564494291684,0.0190112376125974
SlimRP3Beta,0.04570262673559522,0.01863315113047783
SlimRP3Beta,0.06714393286245035,0.018708985607489532
SlimRP3Beta,0.9851881284760308,0.018925095779053148
SlimRP3Beta,0.5850560394081673,0.019208453547547032
SlimRP3Beta,0.0486900603976107,0.018645801657957053
SlimRP3Beta,0.6810190831087783,0.019153652309238153
SlimRP3Beta,0.4793743732958722,0.01924290304312676
SlimRP3Beta,0.2588360903336713,0.019177906691165415
SlimRP3Beta,0.4364826403889924,0.019258277485069985
SlimRP3Beta,0.09616463171006095,0.018810565154583823
SlimRP3Beta,0.4378831493342259,0.019256077771962466
SlimRP3Beta,0.9803556788357745,0.018931186063856614
