recommender,shrink,topk,similarity,normalization,MAP
ItemKNNCFRecommender,23,800,rp3beta,bm25plus,0.004916982767462256
ItemKNNCFRecommender,176,921,rp3beta,bm25plus,0.004952834068758217
ItemKNNCFRecommender,103,320,rp3beta,bm25plus,0.004954979480893094
ItemKNNCFRecommender,57,345,rp3beta,tfidf,0.004940205704624675
ItemKNNCFRecommender,69,418,rp3beta,tfidf,0.004952115776604986
ItemKNNCFRecommender,150,799,rp3beta,tfidf,0.004881944256596903
ItemKNNCFRecommender,153,260,rp3beta,bm25plus,0.004910082296458975
ItemKNNCFRecommender,24,896,rp3beta,bm25plus,0.004915474615054017
ItemKNNCFRecommender,136,163,rp3beta,bm25plus,0.004907049085089624
ItemKNNCFRecommender,42,704,rp3beta,bm25plus,0.0049579819573527546
ItemKNNCFRecommender,83,578,rp3beta,tfidf,0.004966910295176974
ItemKNNCFRecommender,80,593,rp3beta,tfidf,0.004977321997845137
ItemKNNCFRecommender,91,536,rp3beta,tfidf,0.004952560209282542
ItemKNNCFRecommender,84,591,rp3beta,tfidf,0.004969189610745165
ItemKNNCFRecommender,121,581,rp3beta,tfidf,0.004924108831000704
ItemKNNCFRecommender,112,474,rp3beta,tfidf,0.0049233304412783846
ItemKNNCFRecommender,60,667,rp3beta,tfidf,0.004989298547468831
ItemKNNCFRecommender,54,697,rp3beta,tfidf,0.0050066745477682995
ItemKNNCFRecommender,47,736,rp3beta,tfidf,0.004990928599851054
ItemKNNCFRecommender,12,995,rp3beta,tfidf,0.004919111736885495
ItemKNNCFRecommender,42,756,rp3beta,tfidf,0.004998216489632413
ItemKNNCFRecommender,36,739,rp3beta,tfidf,0.004972691741155077
ItemKNNCFRecommender,44,821,rp3beta,tfidf,0.0050315068407067245
ItemKNNCFRecommender,30,854,rp3beta,tfidf,0.004975097716502012
ItemKNNCFRecommender,54,660,rp3beta,tfidf,0.004991896697140819
ItemKNNCFRecommender,68,791,rp3beta,tfidf,0.005009339547607582
ItemKNNCFRecommender,70,993,rp3beta,tfidf,0.005006350422281
ItemKNNCFRecommender,99,849,rp3beta,tfidf,0.004972183350252939
ItemKNNCFRecommender,68,663,rp3beta,tfidf,0.0049794456550250376
ItemKNNCFRecommender,12,793,rp3beta,tfidf,0.004858014176949148
ItemKNNCFRecommender,200,844,rp3beta,tfidf,0.004806531913247772
ItemKNNCFRecommender,67,928,rp3beta,tfidf,0.005003575651281419
ItemKNNCFRecommender,74,976,rp3beta,tfidf,0.005007282806048514
ItemKNNCFRecommender,50,930,rp3beta,tfidf,0.005035981344576948
ItemKNNCFRecommender,30,936,rp3beta,bm25plus,0.004975571239552664
ItemKNNCFRecommender,77,956,rp3beta,tfidf,0.0049939167692922
ItemKNNCFRecommender,94,885,rp3beta,tfidf,0.0049726917685610295
ItemKNNCFRecommender,111,790,rp3beta,bm25plus,0.005007428335388362
ItemKNNCFRecommender,114,782,rp3beta,bm25plus,0.005006164508101956
ItemKNNCFRecommender,130,832,rp3beta,bm25plus,0.00498594800603491
ItemKNNCFRecommender,154,887,rp3beta,bm25plus,0.004970388402315355
