recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.46654076314398474,0.5365257008764409,305,0.004357347084894376
RP3betaRecommender,0.39053680584262107,0.3198877587141323,98,0.004555133609889938
RP3betaRecommender,0.8962699151401713,0.7814018699554046,761,0.0007379934316729285
RP3betaRecommender,0.6574333091608114,0.3269977971785265,332,0.004796075877801949
RP3betaRecommender,0.7479312565052746,0.7966678576421621,484,0.0013025056480396545
RP3betaRecommender,0.49677474456535087,0.15932033868770015,116,0.004747668981451244
RP3betaRecommender,0.816545619215951,0.4857051384072333,173,0.004525067059980084
RP3betaRecommender,0.6403028441217324,0.32275174527791506,809,0.004599403090025991
RP3betaRecommender,0.7797892452406097,0.3510373691474361,575,0.004654553227666686
RP3betaRecommender,0.3820694637104145,0.3007665313573938,574,0.004767358351176137
RP3betaRecommender,0.14420691180069167,0.10010103611422688,389,0.004614312550591961
RP3betaRecommender,0.28173941303895833,0.48041893101200084,641,0.00438969329527835
RP3betaRecommender,0.5754553394907935,0.22699767448161406,329,0.004820777211044336
RP3betaRecommender,0.6279377810099315,0.2097428324961282,289,0.004837261476311129
RP3betaRecommender,0.6318027016481037,0.2243067275177725,232,0.0048385793269356235
RP3betaRecommender,0.6344017221460388,0.6362022708411411,7,0.0028652067422831862
RP3betaRecommender,0.568173840045006,0.19224931874422713,217,0.004854740172087188
RP3betaRecommender,0.5346241704095801,0.4062712390334837,183,0.004659230460000908
RP3betaRecommender,0.712639296739954,0.11871897995661997,457,0.004780887989160573
RP3betaRecommender,0.41879289912347417,0.2223108794349185,970,0.004637668632912133
RP3betaRecommender,0.2731936670968329,0.88542762721876,218,0.0014488536760101725
RP3betaRecommender,0.5860849871315905,0.1948354313656704,251,0.004835701286223074
RP3betaRecommender,0.6964255585489099,0.24088240796615648,14,0.003463924454510685
RP3betaRecommender,0.5685233664789268,0.3963759981846023,405,0.004742149607266989
RP3betaRecommender,0.8293554049557494,0.25436953366736936,99,0.004764541095873025
RP3betaRecommender,0.4702397591163163,0.5832658534258546,253,0.004122412472562685
RP3betaRecommender,0.615354391993058,0.16582793096817736,393,0.004834760076281111
RP3betaRecommender,0.701630781454236,0.2722716042699894,145,0.004816308931860024
RP3betaRecommender,0.5387382630978923,0.410339154212268,258,0.004689118864692193
RP3betaRecommender,0.4354543042623462,0.15044249355147232,317,0.00476775313824099
RP3betaRecommender,0.32942970519782566,0.18869439084956682,50,0.004220793983649157
RP3betaRecommender,0.5895132519106184,0.1990999374031855,257,0.0048538675495802585
RP3betaRecommender,0.5233184254743802,0.2779277804916398,288,0.004805536957905538
RP3betaRecommender,0.6727446424597596,0.3640363712140222,183,0.004759076706534024
RP3betaRecommender,0.5930636660146893,0.14241269050682592,372,0.004796651778595523
RP3betaRecommender,0.7659146901632241,0.20438347705452833,82,0.004740859182525309
RP3betaRecommender,0.4757040160261432,0.10325931685288378,442,0.0047232979971714465
RP3betaRecommender,0.7343537959968082,0.44006044584289705,213,0.004632971064761619
RP3betaRecommender,0.6638680067853482,0.6454624910837673,532,0.0030636821331695347
RP3betaRecommender,0.6281697574101233,0.2980252548276089,136,0.004786152854039618
RP3betaRecommender,0.8682532700367211,0.32687590730440647,286,0.004794316777646509
RP3betaRecommender,0.5703037770458237,0.1899917055149481,244,0.004844294359130694
RP3betaRecommender,0.5140159167877061,0.15045864031787995,335,0.004781002948133555
RP3betaRecommender,0.562087296167094,0.18709245893366022,208,0.004853851995229382
RP3betaRecommender,0.5537824220190497,0.2665243056306602,195,0.0048297850219496076
