recommender,alpha,l1_ratio,TopK,MAP
ItemKNNCFRecommender,166,724,rp3beta,bm25plus,0.004880465572122294
ItemKNNCFRecommender,109,699,rp3beta,tfidf,0.004875764017850038
ItemKNNCFRecommender,98,574,rp3beta,bm25plus,0.004955985902244325
ItemKNNCFRecommender,148,334,rp3beta,tfidf,0.004786053016375936
ItemKNNCFRecommender,186,515,rp3beta,tfidf,0.004691693745595939
ItemKNNCFRecommender,39,869,rp3beta,tfidf,0.004989655418162601
ItemKNNCFRecommender,199,676,rp3beta,tfidf,0.004675430459266223
ItemKNNCFRecommender,30,954,rp3beta,bm25plus,0.004940154613637126
ItemKNNCFRecommender,195,742,rp3beta,bm25plus,0.004833347589753737
ItemKNNCFRecommender,37,678,rp3beta,bm25plus,0.004902171773215874
ItemKNNCFRecommender,65,992,rp3beta,tfidf,0.00495999583422724
ItemKNNCFRecommender,71,999,rp3beta,tfidf,0.004931894083812359
ItemKNNCFRecommender,11,903,rp3beta,tfidf,0.0048528506819886475
ItemKNNCFRecommender,65,848,rp3beta,tfidf,0.0049575793267728945
ItemKNNCFRecommender,64,107,rp3beta,tfidf,0.00481110404876199
ItemKNNCFRecommender,101,843,rp3beta,tfidf,0.0048867611834692605
ItemKNNCFRecommender,40,449,rp3beta,tfidf,0.00491918081531864
ItemKNNCFRecommender,125,826,rp3beta,tfidf,0.004825542868907471
ItemKNNCFRecommender,82,934,rp3beta,tfidf,0.004918626091667897
ItemKNNCFRecommender,12,157,rp3beta,tfidf,0.004657065030265632
ItemKNNCFRecommender,55,787,rp3beta,tfidf,0.004978462584959505
ItemKNNCFRecommender,51,786,rp3beta,tfidf,0.004997085174076959
ItemKNNCFRecommender,49,796,rp3beta,tfidf,0.004988469982009862
ItemKNNCFRecommender,47,589,rp3beta,tfidf,0.004930826904941115
ItemKNNCFRecommender,24,877,rp3beta,tfidf,0.004948775502688785
ItemKNNCFRecommender,84,632,rp3beta,tfidf,0.0048951766096742184
ItemKNNCFRecommender,49,784,rp3beta,tfidf,0.004991015819858411
ItemKNNCFRecommender,25,485,rp3beta,bm25plus,0.004828072659099406
ItemKNNCFRecommender,87,779,rp3beta,tfidf,0.004900144427340179
ItemKNNCFRecommender,134,407,rp3beta,bm25plus,0.0048924337130782725
ItemKNNCFRecommender,57,755,rp3beta,tfidf,0.004968335276220946
ItemKNNCFRecommender,43,800,rp3beta,tfidf,0.004970572825720978
ItemKNNCFRecommender,51,723,rp3beta,tfidf,0.004974667383202155
