recommender,alpha,l1_ratio,TopK,MAP
SLIMElasticNetRecommender,0.15087385251291086,0.4516766151085284,257,2.8987735378624316e-05
SLIMElasticNetRecommender,0.16763240815826408,0.4548813264662155,171,2.8987735378624316e-05
SLIMElasticNetRecommender,0.4342547433436851,0.28153420215569847,33,2.8987735378624316e-05
SLIMElasticNetRecommender,0.10242507427702308,0.5729793113990035,88,2.8987735378624316e-05
SLIMElasticNetRecommender,0.42347226353560463,0.3359370312503035,71,2.8987735378624316e-05
SLIMElasticNetRecommender,0.21142486869523236,0.1111761669925474,291,0.0006799075752864056
SLIMElasticNetRecommender,0.3000115993036938,0.8062075214239441,21,2.8987735378624316e-05
SLIMElasticNetRecommender,0.8314596843382012,0.5208145342896602,160,2.8987735378624316e-05
SLIMElasticNetRecommender,0.47451100007322966,0.728345476710238,11,2.8987735378624316e-05
SLIMElasticNetRecommender,0.3351255975007167,0.5511718459235629,54,2.8987735378624316e-05
SLIMElasticNetRecommender,0.8575270313363645,0.7018336685167991,255,2.8987735378624316e-05
SLIMElasticNetRecommender,0.43065217248976806,0.5871523705360717,214,2.8987735378624316e-05
SLIMElasticNetRecommender,0.7361410142257642,0.7600401498415893,26,2.8987735378624316e-05
SLIMElasticNetRecommender,0.8217789333546504,0.05380986319136616,290,2.8987735378624316e-05
SLIMElasticNetRecommender,0.08996441189147852,0.7072870350936482,49,2.8987735378624316e-05
SLIMElasticNetRecommender,0.14725492373778548,0.33936017014867403,140,2.8987735378624316e-05
SLIMElasticNetRecommender,0.7420983516493284,0.7982411271634792,241,2.8987735378624316e-05
SLIMElasticNetRecommender,0.9256178755195125,0.4616277482445422,208,2.8987735378624316e-05
SLIMElasticNetRecommender,0.9544577729173788,0.6379214631128761,278,2.8987735378624316e-05
SLIMElasticNetRecommender,0.685706874933441,0.7869760535755844,256,2.8987735378624316e-05
SLIMElasticNetRecommender,0.7096883096735205,0.5279558511467096,29,2.8987735378624316e-05
SLIMElasticNetRecommender,0.8467669557697428,0.05541497876126722,249,2.8987735378624316e-05
SLIMElasticNetRecommender,0.3793812335710395,0.7698601426271126,30,2.8987735378624316e-05
SLIMElasticNetRecommender,0.15382420717284018,0.035758332633683665,50,0.0025984783545621487
SLIMElasticNetRecommender,0.5545138998112628,0.4563764087497949,270,2.8987735378624316e-05
SLIMElasticNetRecommender,0.6788968675436202,0.39348620080470487,23,2.8987735378624316e-05
SLIMElasticNetRecommender,0.583508578887014,0.7945737215024262,172,2.8987735378624316e-05
SLIMElasticNetRecommender,0.2551069249829925,0.6825738949523114,86,2.8987735378624316e-05
SLIMElasticNetRecommender,0.44417715850260675,0.3069951395843874,271,2.8987735378624316e-05
SLIMElasticNetRecommender,0.6378354967383292,0.8177526859630204,10,2.8987735378624316e-05
