recommender,alpha,beta,TopK,MAP
RP3betaRecommender,0.4765974547201174,0.34962711298765203,615,0.017004576170634177
RP3betaRecommender,0.882394937485777,0.27424840975321746,949,0.016099310061390225
RP3betaRecommender,0.20173154986823694,0.31528531521193937,147,0.018158232649451947
RP3betaRecommender,0.49952451030326384,0.14460835299698324,177,0.017813039274209675
RP3betaRecommender,0.6018677161581729,0.7239531821360045,727,0.013767464871471943
RP3betaRecommender,0.6263557047767018,0.17863881628529177,914,0.01560406405845261
RP3betaRecommender,0.1933991962347683,0.8517657152022278,915,0.007706907314309223
RP3betaRecommender,0.32391070991370063,0.4061486026230481,991,0.017041594062291294
RP3betaRecommender,0.526597947003272,0.3304201962582403,593,0.01688886263968463
RP3betaRecommender,0.768329876248408,0.21117633902885302,782,0.015837110193201803
RP3betaRecommender,0.10249745571488272,0.5683742640079623,106,0.017009769170481134
RP3betaRecommender,0.36253335606465087,0.1453869481514947,137,0.01813467025865649
RP3betaRecommender,0.3245312360596769,0.4926916466783779,315,0.01810994435948383
RP3betaRecommender,0.31989301445655394,0.11143437524610779,361,0.016557730175652183
RP3betaRecommender,0.2076771988659365,0.455479563721363,329,0.01800649230926904
RP3betaRecommender,0.3679935289740443,0.5965197217035765,226,0.01734900479383171
RP3betaRecommender,0.2041330122459828,0.25291801846025563,457,0.016795623305907625
RP3betaRecommender,0.4127520884769129,0.3308293792058804,108,0.018573305061015927
RP3betaRecommender,0.10608041960651465,0.37253467291499753,247,0.0178987047305664
RP3betaRecommender,0.43576530169044914,0.6061907546198084,475,0.017376245954840216
RP3betaRecommender,0.24480545403276335,0.2919502956769909,434,0.017077013284960668
RP3betaRecommender,0.39581711103399136,0.2067754371853162,107,0.018465439831902675
RP3betaRecommender,0.5812065166583199,0.23493216382993956,224,0.01768707522289438
RP3betaRecommender,0.2595207613973226,0.4201704312640899,100,0.018350270507243856
RP3betaRecommender,0.4148043858558912,0.4180138160857092,105,0.018436712945861865
RP3betaRecommender,0.41371810327873115,0.524584391954575,270,0.018105565512272558
RP3betaRecommender,0.7169578527830598,0.44843000668274435,179,0.018353232442917776
RP3betaRecommender,0.39904791270977763,0.3727948609487603,288,0.017955696659078226
RP3betaRecommender,0.465741328120461,0.22175393142456623,391,0.016826005508546297
RP3betaRecommender,0.5148820470479616,0.6760425896735316,520,0.01591115789814908
RP3betaRecommender,0.676981288481399,0.37789397412587505,195,0.018262027776985528
RP3betaRecommender,0.7433136467065993,0.45808453828643475,172,0.018355980463329324
RP3betaRecommender,0.8462584151353474,0.4909092278254388,104,0.01829057813877528
RP3betaRecommender,0.45977756016633314,0.3041342770611001,158,0.018295719644114233
RP3betaRecommender,0.5610801462361167,0.339023173439845,201,0.018166879794491574
RP3betaRecommender,0.8396179071942023,0.5307949120595061,163,0.018122448674979585
RP3betaRecommender,0.6548583861548645,0.44048872116406607,667,0.017424023193547498
RP3betaRecommender,0.5457479923626207,0.2999282292614087,255,0.017760880681098306
RP3betaRecommender,0.48743604822804615,0.17832502005193374,149,0.018123294827287955
RP3betaRecommender,0.37877776069323843,0.26843358519161464,293,0.017489904595805104
RP3betaRecommender,0.4385929651715102,0.39226608657818784,819,0.01705960273953876
RP3betaRecommender,0.7866052667481999,0.46398502355672916,196,0.018300852701921822
RP3betaRecommender,0.7121638816326569,0.41874876053535354,131,0.018472014571087964
RP3betaRecommender,0.7417343550935258,0.42023484963220004,122,0.01847892626858371
RP3betaRecommender,0.6193543949241582,0.3377544071419627,128,0.018500677836825494
RP3betaRecommender,0.604332879377436,0.33160833117644195,140,0.018454311504152776
RP3betaRecommender,0.7000206624408001,0.8478664357947097,134,0.010272690398607462
RP3betaRecommender,0.6374410812903194,0.18647069423274337,225,0.017500232469199826
RP3betaRecommender,0.7669885090314088,0.26902542175525507,340,0.01711599386315106
RP3betaRecommender,0.807097779339217,0.11765192158228782,381,0.016322369143511328
RP3betaRecommender,0.7195618142414868,0.34221030163400934,135,0.0184977149252907
RP3betaRecommender,0.6902162839046116,0.3559882296039814,130,0.01851858478876464
RP3betaRecommender,0.7339013093126382,0.34653156689604386,220,0.018025966630885393
RP3betaRecommender,0.6757976429146418,0.3616250608128405,126,0.018538945351757822
RP3betaRecommender,0.6733558846691373,0.3711580315151612,159,0.018404813723076462
RP3betaRecommender,0.6163965235637461,0.32385614244923916,255,0.017831832912397247
RP3betaRecommender,0.8776922516391068,0.29785920235492014,187,0.017974520320258303
RP3betaRecommender,0.676299460263835,0.3980444538533326,134,0.018473702748452548
RP3betaRecommender,0.7457295469217748,0.3554544880576784,613,0.016947109174054235
RP3betaRecommender,0.582632084654171,0.24845480980541546,309,0.01726107392583826
RP3betaRecommender,0.6368667612447578,0.4842518923309941,232,0.01830041471243753
RP3betaRecommender,0.6816088575670983,0.40373407704086345,132,0.018461289859113193
RP3betaRecommender,0.8063435528594597,0.356449090587107,125,0.01853313884537922
RP3betaRecommender,0.7924655446382132,0.35863285956438745,109,0.018589219456700837
RP3betaRecommender,0.8023390913197843,0.2779467516077094,103,0.018636325143292356
RP3betaRecommender,0.8972940658949098,0.280794786550296,104,0.018556879500855928
RP3betaRecommender,0.8737996518638775,0.2741805517921448,181,0.017954402770081163
RP3betaRecommender,0.898326424619913,0.3059258474622414,213,0.01780802548916212
RP3betaRecommender,0.8217916967919828,0.20881170219396217,102,0.01848807915472633
RP3betaRecommender,0.8417790745493772,0.24180643839103394,171,0.017951796830492476
RP3betaRecommender,0.7935928491567414,0.28719476530880117,273,0.017527082823923183
RP3betaRecommender,0.8594128760293996,0.3649780299610464,100,0.018599463112952987
RP3betaRecommender,0.8604495385708428,0.3729471914622765,100,0.018597900834380083
RP3betaRecommender,0.855851853628768,0.37719633597483654,102,0.01859221508354988
RP3betaRecommender,0.8590619122053289,0.318608036581172,167,0.01820166324874299
RP3betaRecommender,0.8984393890306409,0.3846049291340973,110,0.018521954608147997
RP3betaRecommender,0.8275296679391513,0.4396688615856287,101,0.01843540787283611
RP3betaRecommender,0.863775318024311,0.2810432482185405,155,0.01814873797754865
RP3betaRecommender,0.7698948983434988,0.5148475109338116,185,0.01821959900216567
RP3betaRecommender,0.8506656509492313,0.5535483306291085,544,0.017541069765175145
RP3betaRecommender,0.8221209194207244,0.2539587923508104,205,0.017752418493332173
RP3betaRecommender,0.8024145477437205,0.37054601096809786,153,0.01840087866667682
RP3betaRecommender,0.7784225630385408,0.3215497379299737,117,0.018590339136066798
RP3betaRecommender,0.7759761169072689,0.31278841923722933,104,0.01861988010544184
RP3betaRecommender,0.7713604808909376,0.32033050826474374,848,0.01646526306026386
RP3betaRecommender,0.8868171614545725,0.22313471997939685,151,0.018085126296223494
RP3betaRecommender,0.8310625376044052,0.26309559581336217,101,0.01859082537103825
RP3betaRecommender,0.3051264204533475,0.30944806772706657,717,0.016605816423251322
RP3betaRecommender,0.7800161379233064,0.2588417637480953,195,0.01786824471757791
RP3betaRecommender,0.8269562069532213,0.17439929197572893,116,0.018366161610141825
RP3betaRecommender,0.7489187200313466,0.4296169044938812,958,0.01704120917883944
RP3betaRecommender,0.8615203519761148,0.28836395549897453,100,0.018605406492090488
RP3betaRecommender,0.8647124799012685,0.3916019871173162,143,0.01840321366493114
RP3betaRecommender,0.8437174942574385,0.2312900902489444,171,0.01793500057072974
RP3betaRecommender,0.8132081728475614,0.3379027565218452,101,0.018653525501019102
RP3betaRecommender,0.8140777031926465,0.3330044830547011,121,0.01851123276952533
RP3betaRecommender,0.7906319498358853,0.19736778513705194,100,0.018500723612131925
RP3betaRecommender,0.7564834766427685,0.1604916356328829,146,0.018045643852334082
RP3betaRecommender,0.8356159244862612,0.2939212365925816,168,0.018132776755687415
RP3betaRecommender,0.8803457390106327,0.4698007482491748,116,0.018323923510214748
RP3betaRecommender,0.7975014282531158,0.40781679064011045,147,0.018427772360506776
RP3betaRecommender,0.8539286241314675,0.3277680021954526,118,0.01851761192944026
RP3betaRecommender,0.723633161829302,0.35177634336092556,240,0.017945246896913566
RP3betaRecommender,0.8140614112269364,0.3064487182397158,118,0.018574963397462962
RP3betaRecommender,0.8153702784070529,0.3113531281727898,101,0.018632497671661752
RP3betaRecommender,0.7816666162906173,0.27027822456805906,100,0.0186460821234378
RP3betaRecommender,0.7607409754659533,0.27501232763997524,142,0.01831670989067258
RP3betaRecommender,0.8332957741531817,0.23867086211792707,100,0.018545836518811778
RP3betaRecommender,0.8661716813678311,0.26295825767239184,207,0.017716693796838115
RP3betaRecommender,0.785066804929094,0.31647630207366173,188,0.018105364508836316
RP3betaRecommender,0.8813849936963546,0.2914280287928662,161,0.01813670674685623
RP3betaRecommender,0.13277969267088063,0.3798809462606168,130,0.01817801233322276
RP3betaRecommender,0.8019523388351335,0.3449173821064637,120,0.018543270063364457
RP3betaRecommender,0.7823814258594095,0.36608328660263645,149,0.018425944800309225
RP3betaRecommender,0.8422764251881248,0.8226026599863705,100,0.011115200815772832
RP3betaRecommender,0.8158661949295507,0.3408343990459512,176,0.018229383871602948
RP3betaRecommender,0.7311991460869262,0.3003941765351201,131,0.018452678584244066
RP3betaRecommender,0.8624229360305904,0.21866020387801746,117,0.01838099484459836
RP3betaRecommender,0.7702861109495212,0.254004180972519,449,0.016635228135578866
RP3betaRecommender,0.8283728868820056,0.3193283921343995,100,0.018633156165443563
RP3betaRecommender,0.852330270894764,0.2806693105725954,138,0.018310405626290032
RP3betaRecommender,0.8220470756884858,0.3205747612060388,158,0.018256819222462712
RP3betaRecommender,0.7960970129664487,0.3316387721369675,102,0.018643962466591713
RP3betaRecommender,0.8050746207028774,0.3307544775494248,101,0.018642758439633252
RP3betaRecommender,0.8339873613639545,0.2657615795193122,133,0.01833607946330473
RP3betaRecommender,0.805156885580029,0.2950654497802876,165,0.018150991217161336
RP3betaRecommender,0.846343966634887,0.3388300581854778,100,0.01862406254297101
RP3betaRecommender,0.8907303882640214,0.38472800292504006,142,0.018382467711858873
RP3betaRecommender,0.8511076642949179,0.3384699635375007,183,0.01814391540874614
RP3betaRecommender,0.8673487516453995,0.3684295780284303,119,0.018529970385880383
RP3betaRecommender,0.8769730484384797,0.41216972851003697,412,0.017543256795319324
RP3betaRecommender,0.8290355225421288,0.31369757697223805,100,0.018637088893635505
RP3betaRecommender,0.8140285346393745,0.3112903732268683,103,0.018624222964141738
RP3betaRecommender,0.757509227078413,0.3080205519262787,100,0.018678366399736676
RP3betaRecommender,0.7048747767822414,0.30642475304349703,131,0.018452968797513233
RP3betaRecommender,0.7550047400645532,0.6394076622146492,150,0.017180153006026603
RP3betaRecommender,0.8088439641171148,0.28368979377063186,499,0.016625618854922853
RP3betaRecommender,0.7895891071371334,0.3265996583449026,100,0.018646666208861015
RP3betaRecommender,0.791672117003704,0.3310142611883432,122,0.018525819558585104
RP3betaRecommender,0.7433202100060756,0.3150144720639567,100,0.01866548304811475
RP3betaRecommender,0.7407816822281023,0.3124658506453342,139,0.01840877493551384
RP3betaRecommender,0.7689840616225901,0.29218849683883735,100,0.01866585729113142
