recommender,shrink,topk,similarity,normalization,MAP
ItemKNNCFRecommender,141,1688,rp3beta,tfidf,0.014308287366677956
ItemKNNCFRecommender,175,496,rp3beta,tfidf,0.013937674158428509
ItemKNNCFRecommender,199,1725,rp3beta,tfidf,0.013838562546780321
ItemKNNCFRecommender,69,1793,jaccard,tfidf,0.015999099085443794
ItemKNNCFRecommender,108,1653,jaccard,bm25,0.01699617419263302
ItemKNNCFRecommender,83,656,asym,bm25,0.01706696233161491
ItemKNNCFRecommender,82,256,jaccard,bm25,0.016978081520007442
ItemKNNCFRecommender,179,1746,jaccard,tfidf,0.016075500613641523
ItemKNNCFRecommender,94,1256,jaccard,bm25,0.01699879384195174
ItemKNNCFRecommender,93,1408,jaccard,bm25,0.016984073666299563
ItemKNNCFRecommender,23,814,asym,bm25plus,0.016951970209423933
ItemKNNCFRecommender,44,1078,dice,bm25,0.01689979316302463
ItemKNNCFRecommender,123,1011,asym,bm25,0.01691050789069899
ItemKNNCFRecommender,58,697,cosine,bm25plus,0.016956129450458508
ItemKNNCFRecommender,136,1308,asym,bm25,0.01684951589108012
ItemKNNCFRecommender,19,121,cosine,bm25,0.016850401626120108
ItemKNNCFRecommender,108,541,dice,bm25,0.01702790949534605
ItemKNNCFRecommender,115,483,dice,bm25plus,0.016803144686520038
ItemKNNCFRecommender,155,512,dice,bm25,0.017117420996463514
ItemKNNCFRecommender,154,829,dice,bm25,0.01710259006712712
ItemKNNCFRecommender,152,939,dice,bm25plus,0.01692444488747293
ItemKNNCFRecommender,150,733,dice,bm25,0.017101183626426094
ItemKNNCFRecommender,161,800,dice,bm25,0.017114209984453073
ItemKNNCFRecommender,170,304,dice,bm25,0.01708737097841338
ItemKNNCFRecommender,195,1995,dice,bm25,0.017045225289711058
ItemKNNCFRecommender,159,872,dice,bm25,0.017119220507454028
ItemKNNCFRecommender,166,1152,dice,bm25,0.01709302993024665
ItemKNNCFRecommender,133,920,dice,bm25,0.01707177314213654
ItemKNNCFRecommender,188,351,cosine,bm25plus,0.016908267593926673
ItemKNNCFRecommender,158,651,dice,bm25,0.017107727519359947
ItemKNNCFRecommender,126,1490,rp3beta,tfidf,0.014457012826093624
ItemKNNCFRecommender,162,622,dice,bm25,0.017128101472500427
ItemKNNCFRecommender,141,476,dice,bm25,0.017085941310474462
ItemKNNCFRecommender,182,557,dice,bm25,0.01710801350699066
ItemKNNCFRecommender,162,834,rp3beta,bm25,0.014129294370848753
ItemKNNCFRecommender,174,409,dice,tfidf,0.016019997689067148
ItemKNNCFRecommender,146,581,dice,bm25,0.017071870882967445
ItemKNNCFRecommender,187,770,rp3beta,tfidf,0.01387003745521067
ItemKNNCFRecommender,164,186,dice,bm25,0.016965025136868702
ItemKNNCFRecommender,198,907,dice,bm25,0.017163902228983136
ItemKNNCFRecommender,198,933,cosine,tfidf,0.01623388941970275
ItemKNNCFRecommender,178,1125,dice,bm25,0.017111994828968125
ItemKNNCFRecommender,190,606,dice,bm25,0.017170331328112094
ItemKNNCFRecommender,200,635,dice,bm25,0.0171723205545007
ItemKNNCFRecommender,200,624,dice,bm25,0.017175303894754083
ItemKNNCFRecommender,191,632,jaccard,bm25,0.01712428586095391
ItemKNNCFRecommender,198,407,asym,bm25,0.0172132554343013
ItemKNNCFRecommender,197,430,asym,bm25,0.01718678082760848
ItemKNNCFRecommender,200,405,asym,bm25,0.017218859968277874
ItemKNNCFRecommender,180,389,asym,bm25plus,0.016908882873018272
ItemKNNCFRecommender,198,202,asym,bm25,0.01710772778707946
ItemKNNCFRecommender,189,255,asym,bm25,0.017159351730478122
ItemKNNCFRecommender,183,452,asym,bm25,0.017186346451719257
ItemKNNCFRecommender,200,451,asym,bm25,0.01719280721945248
ItemKNNCFRecommender,183,459,asym,bm25,0.017190986112732575
ItemKNNCFRecommender,183,417,asym,bm25,0.01719255819683128
ItemKNNCFRecommender,176,330,asym,bm25,0.01720171810260432
ItemKNNCFRecommender,173,120,asym,bm25,0.017056234126640035
ItemKNNCFRecommender,172,344,asym,bm25plus,0.01690410715042936
ItemKNNCFRecommender,183,246,asym,bm25,0.017147932061367496
ItemKNNCFRecommender,191,295,asym,tfidf,0.016124992698835813
ItemKNNCFRecommender,192,406,asym,bm25,0.017206703593102737
ItemKNNCFRecommender,177,340,asym,bm25,0.017202933082761745
ItemKNNCFRecommender,169,184,asym,bm25,0.01706386956535985
ItemKNNCFRecommender,176,355,asym,bm25,0.01720913037285691
ItemKNNCFRecommender,40,520,asym,bm25,0.017082526256964364
ItemKNNCFRecommender,83,314,asym,bm25,0.017093844119167353
ItemKNNCFRecommender,176,356,asym,bm25,0.0172070215904473
ItemKNNCFRecommender,174,231,asym,bm25,0.017119448201185085
ItemKNNCFRecommender,192,334,asym,bm25plus,0.01690709061969499
ItemKNNCFRecommender,100,707,asym,bm25,0.017043353057628396
