recommender,alpha,l1_ratio,TopK,MAP
SLIMElasticNetRecommender,0.6531230616495665,0.37868156530595265,448,0.007858986234779498
SLIMElasticNetRecommender,0.4392874450027002,0.15843285359378767,352,0.01319349734171396
SLIMElasticNetRecommender,0.8277187960554883,0.5980622440020935,340,0.004176937862111655
SLIMElasticNetRecommender,0.9844106276120707,0.1874413588692284,124,0.008952800337484954
SLIMElasticNetRecommender,0.3503111612680738,0.43365632734848836,72,0.009941321929888877
SLIMElasticNetRecommender,0.3489867579982472,0.1943440136377682,211,0.013339546903224211
SLIMElasticNetRecommender,0.5374037119925292,0.08359433347280498,335,0.014359409340360991
SLIMElasticNetRecommender,0.6408997304235822,0.44760061272240204,46,0.007152804856570595
SLIMElasticNetRecommender,0.8627921500230635,0.21571294344156422,368,0.008941083421910532
SLIMElasticNetRecommender,0.5641666363930963,0.16399061251753022,270,0.012089110577414417
SLIMElasticNetRecommender,0.01358342251765532,0.9419493303313493,487,0.01769066899105251
SLIMElasticNetRecommender,0.014044583964775167,0.984411661064426,492,0.01757021408212918
SLIMElasticNetRecommender,0.011278375359386607,0.9691196598338697,500,0.01792272755630236
