recommender,alpha,beta,MAP
IALS-RP3beta,0.9712209676199358,0.025649671998823842,0.014645152606285782
IALS-RP3beta,0.5700312124926409,0.67982152900957,0.01651666540074965
IALS-RP3beta,0.10795042116043874,0.4003667228962038,0.0181859835699805
IALS-RP3beta,0.2683578495449781,0.6995905913861913,0.017682821151256342
IALS-RP3beta,0.6618211300670684,0.6501742398292221,0.016277457540355037
IALS-RP3beta,0.7409456320431183,0.6200479356019698,0.016048146578938622
IALS-RP3beta,0.5054820415232782,0.5949977433628,0.01649033531765803
IALS-RP3beta,0.43981190861961295,0.5701807001480532,0.016611653675194134
IALS-RP3beta,0.09634292810412892,0.5366601198769325,0.018542690279181897
IALS-RP3beta,0.7491230149483841,0.23483315471866117,0.01522545683777126
