recommender,alpha,beta,MAP
Slim-Ials,0.3940732621087286,0.2756356650809002,0.018786430861620993
Slim-Ials,0.6029368021952437,0.9385685845233873,0.01855930202051719
Slim-Ials,0.2902898533664706,0.7001818939680576,0.018325159506571372
Slim-Ials,0.14071742824695488,0.9520854317469102,0.0178083316872843
Slim-Ials,0.31702579095782146,0.7191860415286188,0.01835348765498146
Slim-Ials,0.9601761678363806,0.7131574614103312,0.01878285440908949
Slim-Ials,0.3399499576680044,0.21941376256422618,0.018795616663723952
Slim-Ials,0.633492879539228,0.1870709774651631,0.018852602834014447
Slim-Ials,0.5910632704622459,0.257356091388775,0.01883847733298432
Slim-Ials,0.40873768500236163,0.07744708035237546,0.018867481346198377
Slim-Ials,0.8410231955323901,0.45797131129004837,0.01882911944214474
Slim-Ials,0.7275611767570268,0.0007347813091567179,0.018779103071655978
Slim-Ials,0.02318519845196937,0.05715054247592011,0.01831159690567979
Slim-Ials,0.5254654732295193,0.11146292968704069,0.018863338359063824
Slim-Ials,0.5166351152768858,0.396374975604503,0.018773126225861792
Slim-Ials,0.4499515760665217,0.11028395046453827,0.018870332330302924
Slim-Ials,0.4464708885001057,0.34290044725810515,0.018773130101457966
Slim-Ials,0.21523744291154812,0.5428213706340971,0.018298589804580104
Slim-Ials,0.7355423476270767,0.13200216781466925,0.01887067855452409
Slim-Ials,0.9232574289798469,0.5215015262189514,0.018824884115687435
Slim-Ials,0.7544874028114908,0.14919180781135408,0.0188678199645631
Slim-Ials,0.7786536890344217,0.1558073854688888,0.018867068866398124
Slim-Ials,0.6982581808164987,0.0040628292076257955,0.018782706076513743
Slim-Ials,0.8710871370250608,0.31821154997573586,0.018853682263616885
Slim-Ials,0.788777135126817,0.14859195305723089,0.018867461173370778
Slim-Ials,0.9991024377442617,0.2080173977769516,0.018862206388794073
Slim-Ials,0.696491840607559,0.4019737883536132,0.018819393605926507
Slim-Ials,0.5607521574436332,0.5993111218984247,0.018685575435750293
Slim-Ials,0.6423946272671408,0.07614639637365755,0.01884834448071875
Slim-Ials,0.46124016404551743,0.2912477916508739,0.018796955529944117
